Experiment,Algorithm,Budget,Calls,Spacing,Dataset,Radius,Turbines,Seed,Objective,Ideal,WakeLoss,Feasible,MinSpacing,Seconds,Coordinates
budget,LXSSA,3030,3030,4D,1,500,4,1,56080.50080650664,56182.949478939314,102.44867243267072,True,491.5593425393507,1.0151217310001357,-364.9685 285.8035;-175.3918 -426.2326;459.3850 -197.3932;255.5004 249.8893
budget,LXSSA,3030,3030,4D,1,500,4,2,56055.94255394914,56182.949478939314,127.00692499017168,True,489.7077407923623,1.0020223220001299,-275.8715 -416.6114;135.4214 -113.1498;401.4711 297.9842;-279.8364 414.3482
budget,LXSSA,3030,3030,4D,1,500,4,3,56088.04072118591,56182.949478939314,94.908757753401,True,475.5475058193815,0.9747640919999867,184.3876 441.9113;424.7226 -249.7080;-455.6280 72.9806;-271.0217 -365.2727
budget,LXSSA,3030,3030,4D,1,500,4,4,56083.567631871,56182.949478939314,99.38184706831089,True,418.6070750416748,1.0503538120001394,456.7636 43.7965;-389.3227 281.7315;220.5204 389.3700;-81.8111 -492.5677
budget,LXSSA,3030,3030,4D,1,500,4,5,56067.53526805478,56182.949478939314,115.41421088453353,True,497.0886173295929,0.96222955799999,391.1742 311.4173;-323.0919 -40.9326;-84.9393 -492.1937;-92.9274 424.3012
budget,LXSSA,3030,3030,4D,1,500,4,6,56077.24558792016,56182.949478939314,105.70389101915498,True,546.8683539439648,1.0275783780000438,447.5767 -196.7118;237.6159 439.9295;-404.7262 282.8630;-84.8041 -321.7546
budget,LXSSA,3030,3030,4D,1,500,4,7,56020.659678439806,56182.949478939314,162.2898004995077,True,361.46186089380484,0.9445526980000523,-484.9146 107.0040;-1.2965 19.2563;228.4517 298.3090;-340.9281 -281.1351
budget,LXSSA,3030,3030,4D,1,500,4,8,56053.11433670679,56182.949478939314,129.83514223252132,True,372.6186387038574,1.0041724319999048,454.7977 207.2400;-370.7059 169.4273;87.8353 271.9181;278.8592 -204.6892
budget,LXSSA,3030,3030,4D,1,500,4,9,56085.317753027666,56182.949478939314,97.63172591164766,True,570.735207318246,0.996970311000041,416.3958 276.1111;180.8550 -442.7731;-259.3791 315.5683;-438.3448 -226.3818
budget,LXSSA,3030,3030,4D,1,500,4,10,56094.87765314174,56182.949478939314,88.071825797575,True,598.5316583912088,0.9637044989999595,450.7047 -182.9362;-137.1008 -295.7409;-391.9737 310.4101;254.8327 389.9147
budget,LXSSA,3030,3030,4D,1,500,4,11,56096.390137640105,56182.949478939314,86.55934129920934,True,624.2716138467799,0.9830982419998691,235.0283 -440.3437;422.3845 260.1433;-392.5761 -309.6513;-184.2434 407.5124
budget,LXSSA,3030,3030,4D,1,500,4,12,56074.6894478662,56182.949478939314,108.26003107311408,True,571.2473600493297,0.9452025509999658,-461.9825 109.6244;480.0042 -138.8447;273.0529 415.8991;36.3322 -498.6762
budget,LXSSA,3030,3030,4D,1,500,4,13,56064.694634888154,56182.949478939314,118.25484405116003,True,446.6443196324241,0.9890652720000617,407.4945 -288.5783;-452.0226 213.4490;-189.6798 -443.7166;-5.5896 199.7121
budget,LXSSA,3030,3030,4D,1,500,4,14,56041.84836758248,56182.949478939314,141.1011113568311,True,458.0440341206437,0.9163215710000259,-14.4506 -203.9232;-471.0185 -167.1791;259.8748 425.6862;-311.9280 390.7693
budget,LXSSA,3030,3030,4D,1,500,4,15,56059.665382830244,56182.949478939314,123.28409610906965,True,434.49274543440566,0.9443044399999962,259.5378 -165.7392;-498.3145 13.3745;-18.9089 -499.2829;424.4132 264.3229
