Experiment,Algorithm,Budget,Calls,Spacing,Dataset,Radius,Turbines,Seed,Objective,Ideal,WakeLoss,Feasible,MinSpacing,Seconds,Coordinates
crowded,LXSSA,6030,6030,4D,1,500,10,1,130797.00282177258,140457.3736973483,9660.37087557571,False,305.8246639969075,2.667094655000028,-210.6794 72.2627;394.7757 -129.8751;-141.9747 -449.8290;388.9429 194.8164;76.5185 177.3631;166.5187 -466.3199;213.6694 451.8448;52.8281 -134.9785;-226.6949 425.5971;-336.3699 -207.8478
crowded,LXSSA,6030,6030,4D,1,500,10,2,121695.8387983676,140457.3736973483,18761.534898980695,True,308.01963283995633,2.6030823749999854,-82.1038 129.9358;-47.9604 -490.2770;-363.4351 -330.4638;473.5604 -157.7755;183.0901 -29.3354;-223.3828 403.6443;91.2284 396.7953;224.7516 -339.4459;446.2406 153.7045;-92.1352 -178.8665
crowded,LXSSA,6030,6030,4D,1,500,10,3,131779.1604013914,140457.3736973483,8678.213295956899,False,276.14699750359165,2.851858751000009,-292.0753 -380.0245;114.2601 405.2608;280.2720 99.8944;-27.1570 -498.4331;20.0450 -226.3501;252.2017 -431.7159;-280.0691 408.4068;-360.0953 104.0675;406.6197 -182.2047;-53.4271 61.4593
crowded,LXSSA,6030,6030,4D,1,500,10,4,128804.69574868015,140457.3736973483,11652.677948668133,False,269.41813746170766,2.721973982999998,-37.1892 -453.6509;65.4060 314.8789;283.9380 -373.4168;-210.8609 289.3550;-414.5096 -88.3027;350.7036 355.7041;-71.3984 -92.7199;412.2844 26.2288;-329.8710 -375.7458;-461.8716 191.4786
crowded,LXSSA,6030,6030,4D,1,500,10,5,131679.64935600385,140457.3736973483,8777.724341344438,False,279.35930787242205,2.7799290049999854,-120.4560 210.6767;-176.3351 -131.3231;-252.1112 -416.8053;290.3634 -405.4569;-415.9230 267.9982;123.3442 -143.4733;429.7585 255.5574;151.1962 276.6445;438.2382 -117.3699;-466.4356 -41.5083
crowded,LXSSA,6030,6030,4D,1,500,10,6,129608.82419021093,140457.3736973483,10848.549507137359,True,308.0000396835173,2.782222202000071,-138.0661 -480.1796;-415.2805 120.7548;291.4475 -329.8915;391.2628 229.8563;-443.3815 -208.0073;-179.8465 431.7678;157.8595 468.2091;-107.2820 119.7818;-49.5312 -184.9942;217.7859 -27.7347
crowded,LXSSA,6030,6030,4D,1,500,10,7,135431.44030748119,140457.3736973483,5025.933389867103,True,308.2940059254715,2.7984998020000376,14.2985 -100.8869;-337.6926 -183.4228;172.0930 171.2124;-190.0149 -462.4861;175.7293 -439.8030;-448.1621 105.7502;-219.7990 339.3287;486.6608 108.2072;61.7265 464.9812;346.8794 -168.2016
crowded,LXSSA,6030,6030,4D,1,500,10,8,132849.99687765993,140457.3736973483,7607.376819688361,True,308.0000392471541,2.6679632770000126,451.5727 183.2333;173.6183 319.2965;78.0840 -392.2262;-293.0703 394.0647;-88.3607 157.2206;-467.9932 121.0287;393.4988 -283.9723;175.3593 -66.5344;-376.5634 -328.1717;-123.6932 -151.3108
crowded,LXSSA,6030,6030,4D,1,500,10,9,131116.41648548289,140457.3736973483,9340.957211865403,True,310.6204764772896,2.614558203999991,392.2190 263.6318;436.9931 -148.2211;-250.0216 -39.8469;25.4346 -183.4051;-328.1048 -349.0776;-312.4122 279.8125;103.4710 477.5016;-47.0341 -490.7086;256.4140 -413.4638;2.7713 182.9346
crowded,LXSSA,6030,6030,4D,1,500,10,10,129681.85145336813,140457.3736973483,10775.522243980158,True,308.0027948850732,2.621251323000024,-175.8618 418.6317;410.4006 254.4656;-468.1384 -162.9140;-438.3785 236.5020;137.7213 410.1532;130.2010 -55.5496;-194.5780 23.0307;-187.2596 -313.9181;89.8806 -481.7396;438.1517 -61.2161
