Experiment,Algorithm,Budget,Calls,Spacing,Dataset,Radius,Turbines,Seed,Objective,Ideal,WakeLoss,Feasible,MinSpacing,Seconds,Coordinates
hornsrev,LXSSA,6030,6030,4D,3,500,4,1,47368.04690646622,47368.04690646621,-7.275957614183426e-12,True,388.25802565403444,1.634412063000127,-374.6304 269.2387;-188.5409 -214.9470;208.5710 -326.6923;477.3207 -46.4819
hornsrev,LXSSA,6030,6030,4D,3,500,4,2,47167.30499292518,47368.04690646621,200.74191354103095,True,370.70255408743407,1.6258986319999167,-417.9559 -274.4318;-289.7725 313.2736;469.4736 172.0306;-15.7473 63.6127
hornsrev,LXSSA,6030,6030,4D,3,500,4,3,47368.04690646622,47368.04690646621,-7.275957614183426e-12,True,380.4232007324633,1.5667554990000099,150.3542 111.3687;406.3609 -170.0249;-387.8244 -69.5754;55.6294 -473.7750
hornsrev,LXSSA,6030,6030,4D,3,500,4,4,47368.04690646622,47368.04690646621,-7.275957614183426e-12,True,375.32710592687675,1.539318860000094,-367.7985 -86.7517;-58.9668 -431.3388;-280.5251 326.8070;84.5406 413.9706
hornsrev,LXSSA,6030,6030,4D,3,500,4,5,47368.04690646622,47368.04690646621,-7.275957614183426e-12,True,330.907837075078,1.5974131699999816,194.7430 126.1955;-38.7297 360.6960;66.8502 -439.0457;-408.0580 -61.5938
hornsrev,LXSSA,6030,6030,4D,3,500,4,6,47235.569550041626,47368.04690646621,132.4773564245843,True,308.6675557628625,1.5877127280000423,422.2831 245.7334;-158.4194 474.2175;-190.5223 -461.4931;195.4603 36.3842
hornsrev,LXSSA,6030,6030,4D,3,500,4,7,47252.09796675883,47368.04690646621,115.94893970737758,True,439.0819212753876,1.5574786950000998,-120.2131 -140.4259;310.7236 294.4550;169.4440 -470.4133;-278.8030 415.0528
hornsrev,LXSSA,6030,6030,4D,3,500,4,8,47368.04690646622,47368.04690646621,-7.275957614183426e-12,True,435.67859043172103,1.6586341030001677,-250.9928 152.6067;452.5735 -90.7120;-336.5543 -361.5201;363.3984 335.7428
hornsrev,LXSSA,6030,6030,4D,3,500,4,9,47368.04690646622,47368.04690646621,-7.275957614183426e-12,True,336.10902972900544,1.6047734120002133,326.0922 -368.8705;-163.7354 -451.3922;215.9624 -51.3163;-285.9267 117.7103
hornsrev,LXSSA,6030,6030,4D,3,500,4,10,47368.04690646622,47368.04690646621,-7.275957614183426e-12,True,358.2810642845201,1.585163312000077,314.5710 -348.7271;-190.3764 311.4964;-28.2360 -452.8840;209.3273 204.6501
