Experiment,Algorithm,Budget,Calls,Spacing,Dataset,Radius,Turbines,Seed,Objective,Ideal,WakeLoss,Feasible,MinSpacing,Seconds,Coordinates
spacing,LXSSA,6030,6030,5D,1,500,4,1,56099.80039308553,56182.949478939314,83.14908585378726,True,620.2164706266375,1.8703298569998879,-393.7516 293.1021;-142.7322 -358.6129;457.2878 -201.6271;287.9032 408.5251
spacing,LXSSA,6030,6030,5D,1,500,4,2,56092.39394962467,56182.949478939314,90.55552931464626,True,473.22702422440136,2.0003655470000012,-317.0873 -386.5949;204.5541 -413.6802;394.5822 307.0285;-74.1941 242.2783
spacing,LXSSA,6030,6030,5D,1,500,4,3,56102.26082544729,56182.949478939314,80.68865349202679,True,630.3095329551368,1.8940636500001347,-494.1958 -61.3407;88.2552 -472.0261;-160.0502 473.1093;465.3803 182.8125
spacing,LXSSA,6030,6030,5D,1,500,4,4,56106.88560251531,56182.949478939314,76.0638764240066,True,517.0584308931913,1.8999413019998883,436.9368 241.0388;-433.1800 -249.6005;-223.5449 417.9161;30.3699 -478.6659
spacing,LXSSA,6030,6030,5D,1,500,4,5,56075.38207546163,56182.949478939314,107.56740347768209,True,451.72322024294454,1.8754413560000103,-29.1386 -254.4152;211.7878 414.6429;422.3936 -267.5511;-499.9782 -4.5168
spacing,LXSSA,6030,6030,5D,1,500,4,6,56023.13155602556,56182.949478939314,159.81792291375314,True,474.5274036188346,1.9232150529999217,-204.6601 456.1874;-495.4215 67.2856;414.8066 -279.1291;155.0876 146.7398
spacing,LXSSA,6030,6030,5D,1,500,4,7,56077.715835345945,56182.949478939314,105.23364359336847,True,571.9382416571428,1.8824842029998763,174.0003 468.7471;-441.1183 235.4031;426.7705 -245.8730;-89.5392 -491.9170
spacing,LXSSA,6030,6030,5D,1,500,4,8,56055.87502477404,56182.949478939314,127.0744541652748,True,428.53020578370786,1.8860550970000531,361.7287 344.7906;-392.5120 -99.3128;-55.6990 441.7044;210.1641 -192.5770
spacing,LXSSA,6030,6030,5D,1,500,4,9,56073.15849772529,56182.949478939314,109.79098121402058,True,547.3264941500044,1.966448870000022,289.7954 -338.0549;-256.6854 -368.4707;452.7892 212.0891;-251.8045 431.6646
spacing,LXSSA,6030,6030,5D,1,500,4,10,56080.60226515851,56182.949478939314,102.34721378080576,True,580.2661702194152,1.9262924659999499,-156.6481 409.6573;-464.2247 -185.7094;289.6334 -389.0548;473.2298 161.4007
spacing,LXSSA,6030,6030,5D,1,500,4,11,56067.44284926323,56182.949478939314,115.50662967608514,True,496.2663119312087,1.8716279319999103,-158.7762 262.9378;164.7101 -359.4464;-331.3757 -372.8295;382.2849 322.2703
spacing,LXSSA,6030,6030,5D,1,500,4,12,56114.82286148359,56182.949478939314,68.12661745572404,True,640.8875154614839,1.8813856039998882,-239.5243 387.0513;224.8872 -424.5794;410.1111 274.9558;-449.2467 -218.5504
spacing,LXSSA,6030,6030,5D,1,500,4,13,56062.74463471003,56182.949478939314,120.20484422928712,True,472.55900279261647,1.8573816709999846,458.2907 -199.9238;-394.0581 307.5904;-206.8273 -348.8546;74.0413 242.8225
spacing,LXSSA,6030,6030,5D,1,500,4,14,56088.88221774656,56182.949478939314,94.06726119275118,True,415.3138557015623,1.7912718750001204,192.6697 461.0678;446.9449 -217.5968;-41.3637 -178.9525;-455.8303 -205.4678
spacing,LXSSA,6030,6030,5D,1,500,4,15,56096.50857647939,56182.949478939314,86.44090245992265,True,612.9282800966338,1.857753473999992,-244.3971 -393.2901;394.6460 -306.9085;-457.5911 201.5195;147.6834 298.0798
spacing,LXSSA,6030,6030,5D,1,500,4,16,56119.78668843151,56182.949478939314,63.16279050780577,True,589.217260989334,1.8851882150001984,239.5618 -438.8734;-344.6478 -362.2174;486.7045 113.9163;-119.8873 463.4027
spacing,LXSSA,6030,6030,5D,1,500,4,17,56096.78612642919,56182.949478939314,86.1633525101206,True,523.0746705281338,1.7817332760000681,103.3744 -393.5846;-246.8023 279.2995;-408.8849 -287.7665;452.5752 210.1367
spacing,LXSSA,6030,6030,5D,1,500,4,18,56082.797054409806,56182.949478939314,100.1524245295077,True,524.50725835375,1.8349053490001097,-210.6891 -452.0186;272.3273 419.3302;-423.5977 95.6161;459.2876 -70.7246
spacing,LXSSA,6030,6030,5D,1,500,4,19,56080.674568127644,56182.949478939314,102.27491081166954,True,470.7424537850595,1.915835761000153,163.7397 356.2024;-52.9627 -387.0041;407.5922 -289.5999;-498.9838 -31.7628
spacing,LXSSA,6030,6030,5D,1,500,4,20,56071.38952477093,56182.949478939314,111.55995416838414,True,474.0051597186105,1.8154808689998845,384.2627 -319.9095;-467.7471 176.2931;-3.3542 271.2677;-230.9362 -443.4368
spacing,LXSSA,6030,6030,5D,1,500,4,21,56110.579570182235,56182.949478939314,72.36990875707852,True,647.6631167422127,1.9058382350001466,409.2224 287.1733;230.3205 -379.8916;-276.1520 398.7652;-445.8516 -226.2705
spacing,LXSSA,6030,6030,5D,1,500,4,22,56080.686571745275,56182.949478939314,102.26290719403914,True,523.7291814786001,1.8064052130000618,202.0473 -452.8716;489.2649 103.0514;-35.4305 496.9686;-460.0522 190.3930
spacing,LXSSA,6030,6030,5D,1,500,4,23,56067.428659984165,56182.949478939314,115.52081895514857,True,460.9231007996489,1.908373961000052,-174.5632 468.5378;-6.2785 39.4336;494.7073 -72.5584;-183.8572 -464.9694
spacing,LXSSA,6030,6030,5D,1,500,4,24,56072.0828646308,56182.949478939314,110.86661430851382,True,426.1046311573435,1.9560835529998712,434.7023 -245.6666;-66.2482 -231.0834;213.3629 452.1595;-481.4009 -135.0971
spacing,LXSSA,6030,6030,5D,1,500,4,25,56069.41758951745,56182.949478939314,113.53188942186534,True,543.3497541339407,2.016750247000118,-156.8810 -334.4354;465.6608 -180.5406;-386.6857 316.9746;239.7086 313.5996
spacing,LXSSA,6030,6030,5D,1,500,4,26,56070.779751990434,56182.949478939314,112.16972694887954,True,479.37145371840353,1.8641348229998584,499.5144 -21.6991;-419.1290 272.6369;-174.6386 -468.5007;50.5923 368.3392
spacing,LXSSA,6030,6030,5D,1,500,4,27,56102.00036161137,56182.949478939314,80.94911732794571,True,470.20706288892904,1.8612866089999898,-435.9286 74.9890;397.1706 303.5487;-92.1442 395.7801;130.4241 -482.6899
spacing,LXSSA,6030,6030,5D,1,500,4,28,56069.29481407726,56182.949478939314,113.65466486205696,True,559.6614058780558,1.837906526000097,-277.0039 391.0637;-482.9848 -129.3138;391.4561 311.0660;-25.8241 -499.3048
spacing,LXSSA,6030,6030,5D,1,500,4,29,56093.697445560625,56182.949478939314,89.2520333786888,True,459.5520663174079,1.940335455000195,431.8548 251.8504;-38.9121 168.5445;-489.5177 78.3080;247.9969 -434.1490
spacing,LXSSA,6030,6030,5D,1,500,4,30,56066.27045037956,56182.949478939314,116.67902855975262,True,477.8211211076861,1.8824696250001125,49.8834 497.5048;-494.7722 72.1119;-329.3791 -376.1716;407.1567 59.9690
spacing,SSA,6030,6030,5D,1,500,4,1,56095.32640032054,56182.949478939314,87.62307861877343,True,593.0629418263546,1.9181029259998468,-421.3300 269.2229;-209.7978 -345.4680;439.7020 -238.0380;169.5191 320.4178
spacing,SSA,6030,6030,5D,1,500,4,2,56063.50585803868,56182.949478939314,119.44362090063078,True,550.910156151621,1.9306854100000237,-374.3425 -267.2307;243.7131 -436.5623;428.1820 258.1862;-122.3823 238.6687
spacing,SSA,6030,6030,5D,1,500,4,3,56085.405863111606,56182.949478939314,97.54361582770798,True,485.38883064798154,1.8945542980000027,-439.7393 197.9191;462.7882 189.2805;76.4307 483.1006;-153.2186 -428.6428
spacing,SSA,6030,6030,5D,1,500,4,4,56107.879762987206,56182.949478939314,75.0697159521078,True,542.6048565879853,1.921464154999967,246.1618 -315.3013;466.2132 180.6799;-385.5855 -318.3138;-188.2741 439.1141
spacing,SSA,6030,6030,5D,1,500,4,5,56089.51859503627,56182.949478939314,93.43088390304183,True,522.0251364153216,1.8481222460000026,53.3960 -496.6525;-495.1382 -69.5561;492.4621 -86.4925;277.5497 389.2415
spacing,SSA,6030,6030,5D,1,500,4,6,56093.92663701278,56182.949478939314,89.02284192653315,True,579.3150430869916,1.9464130100000148,408.4196 288.1074;-161.1478 393.9320;-380.7979 -324.0259;211.4470 -453.0847
spacing,SSA,6030,6030,5D,1,500,4,7,56079.52233393412,56182.949478939314,103.42714500519651,True,438.55421314038676,1.8864913310001157,293.4985 392.5561;19.3548 -174.6216;456.9989 -202.8593;-462.5463 -56.5027
spacing,SSA,6030,6030,5D,1,500,4,8,56087.76069367732,56182.949478939314,95.18878526199114,True,556.5947193796081,1.8624137619999601,443.8601 -230.1856;-250.2900 -418.1367;55.9718 452.8821;-449.2883 219.4083
spacing,SSA,6030,6030,5D,1,500,4,9,56077.97446714807,56182.949478939314,104.97501179124083,True,478.2819117746241,1.9020295190000525,88.6317 -414.3396;-162.7986 472.7542;295.5172 131.5872;-357.5858 -242.1667
spacing,SSA,6030,6030,5D,1,500,4,10,56077.38433703863,56182.949478939314,105.56514190068265,True,555.1763672542866,1.8874372809998476,375.3760 -330.2918;155.3009 290.7252;-162.7290 -466.9074;-470.2606 169.8674
spacing,SSA,6030,6030,5D,1,500,4,11,56125.822737276656,56182.949478939314,57.12674166265788,True,498.48739701513057,1.871433960999866,419.1051 272.4574;-266.1783 -395.3517;229.9305 -443.9907;-439.7157 238.0128
spacing,SSA,6030,6030,5D,1,500,4,12,56060.51136606054,56182.949478939314,122.43811287877179,True,481.5850057083283,1.8984387830000742,74.5919 -279.1882;-236.0120 339.8510;390.0190 181.8841;-406.8571 -290.6325
spacing,SSA,6030,6030,5D,1,500,4,13,56078.94635385419,56182.949478939314,104.00312508512434,True,457.3827939483526,1.8472620040001857,99.3643 -459.4540;464.7706 -184.3590;-396.9483 -193.0330;-117.2489 390.4328
spacing,SSA,6030,6030,5D,1,500,4,14,56066.575079115195,56182.949478939314,116.37439982411888,True,584.732741696803,1.7628358229999321,-129.0663 432.2642;380.1718 -17.3318;-499.5963 -20.0851;-128.7326 -483.1437
spacing,SSA,6030,6030,5D,1,500,4,15,56093.59621668673,56182.949478939314,89.35326225258177,True,536.360227723673,1.8441576000000168,405.8418 292.0486;127.7276 -440.5205;-203.9762 400.7608;-392.4592 -309.7994
spacing,SSA,6030,6030,5D,1,500,4,16,56092.24861589195,56182.949478939314,90.70086304736469,True,579.724085059734,1.8607050059999892,71.8044 494.8172;-198.5959 -458.8677;368.4000 -338.0552;-478.3163 145.6485
spacing,SSA,6030,6030,5D,1,500,4,17,56065.51590181158,56182.949478939314,117.43357712773286,True,555.2429675164209,1.8357354550000764,-94.1790 -186.2356;461.0156 -193.5574;-389.8693 313.0522;272.5978 419.1544
spacing,SSA,6030,6030,5D,1,500,4,18,56083.904481624995,56182.949478939314,99.0449973143186,True,613.6472816012164,1.7982082259998151,-160.0498 -399.7214;175.0315 421.2471;-423.9607 265.0609;434.4266 -247.5346
spacing,SSA,6030,6030,5D,1,500,4,19,56078.67949533396,56182.949478939314,104.26998360535072,True,554.2116525788483,1.8434166059998915,-499.6777 -17.9492;142.4196 -479.2876;369.8059 336.4552;-167.8281 470.9922
spacing,SSA,6030,6030,5D,1,500,4,20,56099.38164923512,56182.949478939314,83.5678297041959,True,620.7374556331283,1.903406028000063,392.8846 -309.2598;-459.3064 197.5793;184.8115 366.7480;-236.0751 -381.6294
spacing,SSA,6030,6030,5D,1,500,4,21,56077.33178414813,56182.949478939314,105.61769479118084,True,566.6413053189093,1.8274113120000948,148.8783 -176.6175;356.4447 350.6382;-240.3704 431.9309;-425.1142 -263.2063
spacing,SSA,6030,6030,5D,1,500,4,22,56110.11693010709,56182.949478939314,72.83254883222253,True,581.3890208557459,1.7983811500000684,-201.0483 -447.9692;-390.4961 257.5597;241.4361 324.1926;449.6694 -218.6261
spacing,SSA,6030,6030,5D,1,500,4,23,56083.988687031626,56182.949478939314,98.96079190768796,True,540.3583368365007,1.856343349000099,-370.7910 -335.4310;153.9139 -464.5505;368.5432 101.9811;-219.2219 186.7978
spacing,SSA,6030,6030,5D,1,500,4,24,56101.595492934175,56182.949478939314,81.35398600513872,True,656.7118085944061,1.9298099380000622,236.7411 440.4015;-408.0975 288.8883;447.2609 -223.5122;-199.3649 -338.1661
