Dataset,Radius,Turbines,Algorithm,Seed,Objective,WakeLoss,Coordinates
1,500,4,LXSSA,6,56112.41003664397,70.53956335603289,196.03377392166234 -400.35061034624124;-279.0156265281115 410.21510548279906;-449.9119207920585 -177.22888836147146;385.6295821862514 318.26016214535093
1,500,4,SSA,25,56134.28861011529,48.66098988470912,-462.70390582224144 105.3219490613213;343.8523125683894 -362.9949485326231;-119.01812732140722 -448.23450832798403;132.80385637103026 449.01372753051936
1,500,4,PSO,15,56096.98168469254,85.96791530746123,-183.9466190949861 -449.0449925689785;190.92672250288086 -378.2699834097316;-366.5653543795296 237.8438700451331;464.10983156532996 183.23345133071274
1,500,4,DE,11,56084.26322533481,98.68637466519432,337.46942484285137 326.31039639989694;142.16271758620329 -400.7212506742923;-259.48917275673494 407.9929248812235;-419.30283917908775 -99.38501028426113
1,750,8,LXSSA,1,111936.7306222162,429.1685777838429,-681.805372760383 -15.550450772254148;-438.630734718288 -516.0056781312813;218.08927341437766 154.6219691407455;653.9773662257226 343.43848346090266;437.4793668799486 -505.94787584188924;-428.33719234714 524.3025350888558;-25.4647624951752 -663.0899636147362;-11.478047356852366 490.30428272299434
1,750,8,SSA,2,111912.7577908536,453.1414091464249,-519.5759132782724 -443.59260035194717;-727.7645439170608 181.26536754819014;664.5856430429087 345.78512457199054;260.6570895792147 -623.926080524259;-123.17935167479634 496.13260936120133;501.52479025457995 -175.45641510841003;-503.36179764103457 536.0207728898183;-129.22571504508812 -356.6550961753525
1,750,8,PSO,10,111507.0667887735,858.8324112265254,661.894754936181 115.4179033036673;-493.2329768513513 499.31717481816344;-729.4007808933543 -87.79996343991982;-209.54035013646748 -264.8716813503074;176.34109334856814 -106.04043784608547;-27.668691018875986 -726.3778767644944;277.55745848600424 510.68492459547406;513.5904560423321 -334.2700100264221
1,750,8,DE,20,110735.6306522049,1630.268547795116,39.543315620921334 -298.0145477087344;119.57139157595056 505.35499867168494;-312.4068545453312 -416.952881532732;225.4416851589652 -675.2037616586108;363.29865985758147 -294.88988715601516;-321.67358001807673 496.66512375583443;-154.57286714528865 196.954131521308;548.6950981110325 199.7197564059811
1,1000,8,LXSSA,13,112092.1045076601,273.794692339914,72.44112007843857 277.39651745216054;985.2743062296217 -119.62979708696093;-728.9152486742747 674.759710958375;431.48223835786274 -214.79146590348918;-718.9825910161672 -268.90005897344867;-325.83151263052866 -943.2144930875911;-132.60245852878748 -205.31586190774124;681.1729517206362 699.824762119338
1,1000,8,SSA,13,112146.9070853977,218.9921146022825,676.2805791106908 456.2134126193048;425.15059267869543 -531.5259582285413;908.2275051507341 -418.4753293596962;-9.19589332563185 938.3008069893314;-756.9163813278434 613.9362810790262;-744.1043329729384 -625.5941027936992;5.9318211082536285 -181.82144881683007;-959.4629331512722 152.26402409655373
1,1000,8,PSO,1,111999.462019494,366.4371805060509,-728.844599809637 -599.6992369686637;144.66219064994553 -257.2805623529529;-952.1075978026569 108.30230664469505;170.22192514316043 894.956581880855;-431.09282433413523 611.151917596325;-18.132775604706495 -803.6282528067527;590.398263834331 495.8554531000864;819.1522506840325 -380.1691679609547
1,1000,8,DE,30,111939.6242678701,426.2749321299052,69.2790625134876 362.23481108875393;-219.0561411466307 748.0215446460312;-716.6991623683907 426.3912167935613;930.2297685589815 329.35197901264155;512.2658629241054 -773.6242028421661;770.9000435691444 -141.73491841240823;518.1351019353758 273.786143967166;-206.83537501135618 -708.6094471151614
2,500,4,LXSSA,10,29151.2254178603,110.2881608783718,-74.95464879793354 493.7469076128668;-62.08984492120555 -481.3359570341191;181.7863668425966 -211.80766037775933;-417.7761371405377 133.9194533942451
2,500,4,SSA,22,29094.79324157333,166.7203371653377,182.0616820605513 -465.6753609719596;-436.85545961166355 -27.99861024069371;478.7565461437994 -15.302689421411523;-258.5135427200872 416.276340790564
2,500,4,PSO,14,29139.78259230534,121.7309864333329,-21.7400090054541 -422.77199559865375;187.86020420955072 -128.80759362533726;399.6166112111237 180.55611610861968;-318.8911811634442 376.0857690289512
2,500,4,DE,11,29036.1452292922,225.3683494464749,424.67671838393125 217.62083263925902;47.19333329997937 -437.069402008049;-280.8160664676464 407.9950438758724;-257.70815581785075 -180.25684082275703
2,750,8,LXSSA,23,57331.95830606867,1191.068851408672,608.2837965604838 144.1336626169814;-551.5075963070648 479.59317851415085;22.008519798902014 -741.0069875876669;133.40658018738722 737.0741438010267;-167.3190160256301 -179.13166919122958;545.104088904203 466.6107919460251;580.3519264196826 -182.3473942790567;-718.2718695100541 -215.83284398059402
2,750,8,SSA,23,57463.43664622418,1059.590511253162,-319.3341646852548 588.3944703117515;379.56294477769745 -624.7364322006393;-562.6720023759691 39.61274253642727;607.9631053878818 -347.4720279130155;-384.67925791932686 -624.2869561547203;454.58943823308977 386.4406185330762;-183.21463272328057 -256.78284105027154;725.8321360903982 14.437032171670504
2,750,8,PSO,14,56980.75302490377,1542.274132573577,-223.6213860257837 676.7937898059868;81.37673124960362 -106.65920874170061;734.5545854417533 109.54256192967108;-451.02253374101826 117.9668848310622;425.2410801852426 486.0998379367765;-518.4383881622999 -276.1629374287314;-72.47809456053619 -738.9015314159476;623.5231215027028 -262.97010872140726
2,750,8,DE,17,56259.95915966653,2263.067997810816,-329.38294274966785 56.49254751533121;282.45480238291486 -135.15222112778068;-551.8308702949789 384.09120183476807;183.76612337267204 -701.7596861908231;-354.64090274159173 657.7357440703597;-720.6748553239731 -116.81629228641037;-306.955090011179 -404.63794695674744;118.82469916702698 440.32514511874035
2,1000,8,LXSSA,17,58117.49185887793,405.5352985994177,524.1591154686837 -325.31171514545457;-576.3507401293604 -335.687414742606;-633.3613473646384 -663.5664001772888;549.9689988331207 -665.6189348546035;282.8368873084935 911.830757335198;684.156622698833 -10.80081560213963;-357.38643219978053 261.6450995405797;-510.23550635558814 702.3063226313669
2,1000,8,SSA,5,57946.12321553323,576.9039419441106,387.5122472259777 -875.34658492925;-73.08586486994076 334.95103617958983;782.3672510274273 568.3093669622668;-610.9814853573848 -626.9295582351994;785.3219635692662 -295.60448798251315;-329.48743208182736 859.7418773762066;-915.1760856234059 106.78337441171819;461.74486036732776 100.40050374430827
2,1000,8,PSO,14,57831.91259282322,691.114564654119,107.46910877158362 -946.1995653705544;961.3726954108645 -101.65034051366578;16.524059744937205 165.7001392971722;219.4485189155106 600.7292133958772;-976.4786567111888 -82.48445659920814;-521.2366467851265 838.027499432529;796.7661839506361 -539.8874027766346;-622.1099626139817 -530.5116293574318
2,1000,8,DE,18,57354.52449330606,1168.502664171283,797.0751223648225 100.05209501124148;342.1658516966854 -330.23304091637397;641.7580564918399 408.04264516623425;156.9739526022737 -591.086967081159;-12.83022312916924 -997.1525348187592;206.87800136071684 943.1348173142312;-5.684925535104412 501.7060837700784;-608.8041969425942 107.00147035000731
