Algorithm,Penalty,Dataset,Radius,Turbines,Seed,Score,Objective,Feasible
LXSSA,count,1,500,4,1,89.1103028114594,56093.839176127854,True
LXSSA,count,1,500,4,2,136.80352688975108,56046.14595204956,True
LXSSA,count,1,500,4,3,83.20141491429968,56099.748064025014,True
LXSSA,count,1,500,4,4,71.01686645242444,56111.93261248689,True
LXSSA,count,1,500,4,5,104.18718698392331,56078.76229195539,True
LXSSA,count,1,500,4,6,89.50815704557317,56093.44132189374,True
LXSSA,count,1,500,4,7,86.862085110326,56096.08739382899,True
LXSSA,count,1,500,4,8,83.62742076392169,56099.32205817539,True
LXSSA,count,1,500,4,9,113.64816609088302,56069.30131284843,True
LXSSA,count,1,500,4,10,121.0895110213387,56061.859967917975,True
LXSSA,count,1,500,4,11,85.33623247163632,56097.61324646768,True
LXSSA,count,1,500,4,12,150.50411276711384,56032.4453661722,True
LXSSA,count,1,500,4,13,122.69200078315771,56060.257478156156,True
LXSSA,count,1,500,4,14,92.32384317792457,56090.62563576139,True
LXSSA,count,1,500,4,15,93.9275067598719,56089.02197217944,True
LXSSA,count,1,500,4,16,114.61490166815202,56068.33457727116,True
LXSSA,count,1,500,4,17,85.59019803535921,56097.359280903955,True
LXSSA,count,1,500,4,18,137.86273995188822,56045.086738987426,True
LXSSA,count,1,500,4,19,44.38314154339605,56138.56633739592,True
LXSSA,count,1,500,4,20,81.13465767321031,56101.8148212661,True
LXSSA,count,1,500,4,21,105.53430277050211,56077.41517616881,True
LXSSA,count,1,500,4,22,96.47387053271086,56086.4756084066,True
LXSSA,count,1,500,4,23,94.452322341931,56088.49715659738,True
LXSSA,count,1,500,4,24,134.09086942679278,56048.85860951252,True
LXSSA,count,1,500,4,25,82.15720504000637,56100.79227389931,True
LXSSA,count,1,500,4,26,143.13997929871402,56039.8094996406,True
LXSSA,count,1,500,4,27,76.6378593819536,56106.31161955736,True
LXSSA,count,1,500,4,28,123.30057066132576,56059.64890827799,True
LXSSA,count,1,500,4,29,96.3687265913104,56086.580752348,True
LXSSA,count,1,500,4,30,96.5037285345461,56086.44575040477,True
LXSSA,count,1,750,8,1,958.9138343900559,111406.98512348857,True
LXSSA,count,1,750,8,2,474.16176599076425,111891.73719188786,True
LXSSA,count,1,750,8,3,975.4907082436985,111390.40824963493,True
LXSSA,count,1,750,8,4,655.8605179337319,111710.0384399449,True
LXSSA,count,1,750,8,5,1312.6158329259342,111053.2831249527,True
LXSSA,count,1,750,8,6,675.4314157954504,111690.46754208318,True
LXSSA,count,1,750,8,7,1439.1457581993163,110926.75319967931,True
LXSSA,count,1,750,8,8,823.8405885204411,111542.05836935819,True
LXSSA,count,1,750,8,9,1044.9438056615618,111320.95515221707,True
LXSSA,count,1,750,8,10,547.4616619955632,111818.43729588306,True
LXSSA,count,1,750,8,11,890.4602346725587,111475.43872320607,True
LXSSA,count,1,750,8,12,532.4686590430938,111833.43029883553,True
LXSSA,count,1,750,8,13,765.8397530993534,111600.05920477927,True
LXSSA,count,1,750,8,14,596.6952731814381,111769.20368469719,True
LXSSA,count,1,750,8,15,588.8487303151487,111777.05022756348,True
LXSSA,count,1,750,8,16,519.8951678230515,111846.00379005558,True
LXSSA,count,1,750,8,17,696.4430863262969,111669.45587155233,True
LXSSA,count,1,750,8,18,832.2469993869745,111533.65195849165,True
LXSSA,count,1,750,8,19,10000000631.32083,111734.57812884665,False
LXSSA,count,1,750,8,20,518.0401853564545,111847.85877252217,True
LXSSA,count,1,750,8,21,1213.7721149926074,111152.12684288602,True
LXSSA,count,1,750,8,22,735.0374472542171,111630.86151062441,True
LXSSA,count,1,750,8,23,587.8727736460278,111778.0261842326,True
LXSSA,count,1,750,8,24,10000001069.99198,111295.9069789962,False
LXSSA,count,1,750,8,25,1644.797426859368,110721.10153101926,True
LXSSA,count,1,750,8,26,748.0193560625339,111617.8796018161,True
LXSSA,count,1,750,8,27,560.7172768580349,111805.1816810206,True
LXSSA,count,1,750,8,28,1255.7984079526505,111110.10054992598,True
LXSSA,count,1,750,8,29,1403.3220292723709,110962.57692860626,True
LXSSA,count,1,750,8,30,10000000700.179958,111665.7190004644,False
LXSSA,count,1,1000,8,1,730.2757257343474,111635.62323214428,True
LXSSA,count,1,1000,8,2,292.6747365647461,112073.22422131388,True
LXSSA,count,1,1000,8,3,403.3980725060828,111962.50088537254,True
LXSSA,count,1,1000,8,4,530.1564174978557,111835.74254038077,True
LXSSA,count,1,1000,8,5,273.11366667749826,112092.78529120113,True
LXSSA,count,1,1000,8,6,700.2804437731393,111665.61851410549,True
LXSSA,count,1,1000,8,7,547.1449105015636,111818.75404737706,True
LXSSA,count,1,1000,8,8,310.72394180871197,112055.17501606992,True
LXSSA,count,1,1000,8,9,361.9969024685997,112003.90205541003,True
LXSSA,count,1,1000,8,10,244.48211475215794,112121.41684312647,True
LXSSA,count,1,1000,8,11,344.06718484808516,112021.83177303054,True
LXSSA,count,1,1000,8,12,473.09506483428413,111892.80389304434,True
LXSSA,count,1,1000,8,13,349.4801341910934,112016.41882368753,True
LXSSA,count,1,1000,8,14,360.7496610152739,112005.14929686335,True
LXSSA,count,1,1000,8,15,399.39592203222855,111966.5030358464,True
LXSSA,count,1,1000,8,16,332.18731843128626,112033.71163944734,True
LXSSA,count,1,1000,8,17,431.8604064414976,111934.03855143713,True
LXSSA,count,1,1000,8,18,725.517642017192,111640.38131586144,True
LXSSA,count,1,1000,8,19,1007.4576300132903,111358.44132786534,True
LXSSA,count,1,1000,8,20,433.343503009266,111932.55545486936,True
LXSSA,count,1,1000,8,21,533.6352759828878,111832.26368189574,True
LXSSA,count,1,1000,8,22,313.9310613942798,112051.96789648435,True
LXSSA,count,1,1000,8,23,722.660397737287,111643.23856014134,True
LXSSA,count,1,1000,8,24,402.3530675240472,111963.54589035458,True
LXSSA,count,1,1000,8,25,336.9419334904669,112028.95702438816,True
LXSSA,count,1,1000,8,26,313.93951657411526,112051.95944130451,True
LXSSA,count,1,1000,8,27,430.0776573729818,111935.82130050565,True
LXSSA,count,1,1000,8,28,359.2349719438789,112006.66398593475,True
LXSSA,count,1,1000,8,29,276.89301320973027,112089.0059446689,True
LXSSA,count,1,1000,8,30,574.0010558364593,111791.89790204217,True
LXSSA,count,2,500,4,1,239.12943318673206,29022.38414555193,True
LXSSA,count,2,500,4,2,235.09684162806298,29026.416737110598,True
LXSSA,count,2,500,4,3,216.6339871276541,29044.879591611007,True
LXSSA,count,2,500,4,4,360.98680869103555,28900.526770047625,True
LXSSA,count,2,500,4,5,387.2877452996181,28874.225833439043,True
LXSSA,count,2,500,4,6,237.06867613150098,29024.44490260716,True
