Dataset,Radius,Turbines,Algorithm,Rerun,Recorded,P
1,500,4,LXSSA,56078.803207433644,56080.340479170365,0.8533817367547931
1,500,4,SSA,56076.065918360175,56082.39784829725,0.16237502241276747
1,500,4,PSO,56082.067468144465,56073.166818648344,0.006097142345173947
1,500,4,DE,56046.12615770528,56037.53997086783,0.1668661704632597
1,750,8,LXSSA,111374.03149005234,111434.969541432,0.6308762921617199
1,750,8,SSA,111367.050201147,111270.5171070566,0.491782956953405
1,750,8,PSO,110946.45438127828,110713.36612091117,0.38709977767912396
1,750,8,DE,109578.07815024855,109402.64246617793,0.12967022490828164
1,1000,8,LXSSA,111924.5712746559,111927.21351261907,0.9587314908134437
1,1000,8,SSA,111805.27978909269,111886.13061490435,0.02812866989728732
1,1000,8,PSO,111724.65059315944,111744.34745893917,0.5592305357919067
1,1000,8,DE,111376.83152862595,111333.80044820339,0.4289633888604326
2,500,4,LXSSA,29004.167633075427,29024.388021735875,0.5792942105819812
2,500,4,SSA,28968.34435521639,28971.663793180625,0.6308762921617199
2,500,4,PSO,29004.84936956451,29023.489572399554,0.1536672354850899
2,500,4,DE,28922.920650686214,28897.18774486503,0.2170168245486217
2,750,8,LXSSA,56659.24018513107,56708.273672185474,0.6204037206277525
2,750,8,SSA,56601.678502629045,56620.37922337651,0.8766349003139949
2,750,8,PSO,56414.000543276816,56325.334412496275,0.5592305357919067
2,750,8,DE,55668.8430393324,55567.247557473915,0.5201446121616038
2,1000,8,LXSSA,57645.088807494256,57661.2600707206,0.773119942467523
2,1000,8,SSA,57572.99881652459,57506.61330014316,0.24581380245894136
2,1000,8,PSO,57376.15217260245,57398.245428805574,0.8072749507289148
2,1000,8,DE,56987.19323430508,56985.58249426136,0.6100075520376812
