Experiment,Algorithm,Budget,Calls,Spacing,Dataset,Radius,Turbines,Seed,Objective,Ideal,WakeLoss,Feasible,MinSpacing,Seconds,Coordinates
extra,VNS,3030,3030,4D,1,500,4,1,56100.040067003814,56182.949478939314,82.90941193549952,True,612.1455472395957,1.4575027369999134,-404.3566 293.1590;-204.5510 -454.8493;460.9220 -189.0578;189.3142 442.4142
extra,VNS,3030,3030,4D,1,500,4,2,56025.45276616987,56182.949478939314,157.49671276944719,True,375.24600486436174,1.5008201480000025,-170.2352 -339.4547;135.2368 -121.5180;464.9081 183.3123;-169.9074 418.1527
extra,VNS,3030,3030,4D,1,500,4,3,56054.40606900878,56182.949478939314,128.54340993053484,True,467.3445175414501,1.2420156609998685,-297.6066 395.4491;482.6200 -52.0814;-161.1052 -65.7108;11.9271 -499.8429
extra,VNS,3030,3030,4D,1,500,4,4,56084.641666527896,56182.949478939314,98.30781241141813,True,498.23115914138316,1.308744329999854,475.5351 105.2726;-444.2142 216.9994;144.1606 477.3281;-103.7968 -483.7355
extra,VNS,3030,3030,4D,1,500,4,5,56114.82789776707,56182.949478939314,68.12158117224317,True,459.6125779355408,0.9649098259999391,412.3482 279.1807;-236.6815 439.2031;225.8011 -424.2379;-233.4746 -441.8307
extra,VNS,3030,3030,4D,1,500,4,6,56061.45936203045,56182.949478939314,121.49011690886255,True,454.6429505552746,0.9941187470001296,239.8195 388.8370;-273.8687 417.3097;-116.3367 -148.8049;232.9852 -439.7936
extra,VNS,3030,3030,4D,1,500,4,7,56092.87161266763,56182.949478939314,90.07786627168389,True,467.8276802579216,0.9842013800000586,-405.0115 293.0483;100.3502 418.8027;466.7158 127.8748;-141.3034 -478.5759
extra,VNS,3030,3030,4D,1,500,4,8,56061.91578451323,56182.949478939314,121.03369442608528,True,410.1818601394722,0.9647574369998893,438.1344 240.2485;-382.0679 128.3589;28.9388 211.8206;288.5816 -264.5900
extra,VNS,3030,3030,4D,1,500,4,9,56121.18569297074,56182.949478939314,61.76378596857103,True,498.1675404907136,0.9427712379999775,306.9482 -352.7456;-179.9608 -458.0570;303.5186 397.3059;-455.9466 198.8459
extra,VNS,3030,3030,4D,1,500,4,10,56109.755475889746,56182.949478939314,73.19400304956798,True,500.18039893280644,1.00151423300008,471.4478 107.1396;147.7075 -470.7468;-338.2450 -352.2958;-105.2994 485.2639
extra,VNS,3030,3030,4D,1,500,4,11,56078.13591091392,56182.949478939314,104.81356802539085,True,531.1021935224541,1.064435777999961,234.4378 -440.8004;242.5868 395.0347;-267.3752 246.6827;-422.2156 -267.5487
extra,VNS,3030,3030,4D,1,500,4,12,56066.46708022259,56182.949478939314,116.48239871672558,True,390.29534234012766,0.9514469840000856,-496.6054 44.2470;107.1971 -407.5312;100.2404 488.8667;-373.1994 -326.0251
extra,VNS,3030,3030,4D,1,500,4,13,56050.201717523945,56182.949478939314,132.7477614153686,True,419.54285371973356,0.9273940770001445,336.2512 -349.8660;-82.6721 489.3116;-303.7699 -332.1018;108.2442 115.7247
extra,VNS,3030,3030,4D,1,500,4,14,56092.39008836401,56182.949478939314,90.55939057530486,True,555.9791333553742,0.9887883540000075,150.6617 473.8807;498.3166 -33.9046;-368.8150 -42.2948;158.5391 -473.9774
extra,VNS,3030,3030,4D,1,500,4,15,56069.41410799525,56182.949478939314,113.53537094406056,True,449.14391904167974,0.9489048550001371,113.9516 -461.0191;315.6884 -48.8589;-430.2077 78.0052;-194.0096 460.0271
extra,VNS,3030,3030,4D,1,500,4,16,56099.905532636316,56182.949478939314,83.04394630299794,True,602.0811178523155,0.9883309280000958,451.1930 -182.1660;-187.6609 -463.4026;-482.5923 61.4947;70.1723 474.1864
