Experiment,Algorithm,Budget,Calls,Turbines,Seed,AEP,IdealAEP,Feasible,MinSpacing,Seconds,Coordinates
hr16,LXSSA,6030,6030,16,1,137.49220055314947,149.2632720953485,True,321.5993991613187,5.934013341000082,749.83 232.75;608.78 -826.75;936.74 -785.66;-331.68 819.74;-838.22 543.52;681.01 -124.65;-490.93 514.59;-79.66 -714.41;745.39 656.47;16.78 622.20;-161.81 353.96;-153.71 -5.37;-670.13 833.32;-401.26 -713.48;-732.64 -828.91;299.50 140.56
hr16,LXSSA,6030,6030,16,2,137.2188977773976,149.2632720953485,True,340.8137654455872,6.1363337170000705,494.57 157.82;-469.80 -834.68;812.49 -263.70;-86.69 543.31;-37.52 -361.24;626.34 813.14;-84.55 93.44;321.44 -662.59;184.54 321.69;-696.26 -504.81;915.75 -736.64;-362.47 813.21;-520.35 23.77;243.87 701.79;-348.38 -500.95;-696.92 404.14
hr16,LXSSA,6030,6030,16,3,135.37783361945426,149.2632720953485,True,333.7571553546113,5.983487723000053,371.79 200.34;-511.61 321.51;-20.55 155.84;208.57 -751.71;124.12 819.60;-353.28 -466.07;748.51 273.12;155.58 464.13;-754.33 -158.50;190.53 -102.69;-350.69 -8.23;614.13 -216.87;-201.01 601.09;881.31 -449.80;540.65 559.62;-734.69 -655.85
hr16,LXSSA,6030,6030,16,4,135.78333481029497,149.2632720953485,True,320.75657381951777,5.894052162000207,-364.79 90.55;567.11 -747.22;265.30 -280.46;626.04 -422.92;-537.87 751.54;-170.94 -194.28;34.31 -529.32;284.31 428.75;89.32 149.22;-214.45 539.54;-796.14 -183.85;-872.46 289.36;645.31 755.55;493.55 80.15;238.94 -776.32;-311.98 -504.51
hr16,LXSSA,6030,6030,16,5,136.36972109448536,149.2632720953485,False,317.10834048870174,6.010842087000128,-734.96 586.63;341.11 609.16;679.56 527.22;643.01 171.00;-233.50 -175.85;-233.78 -514.18;705.94 -748.17;-214.08 833.19;-534.58 834.67;368.75 -47.43;-99.36 -819.95;-672.36 273.25;-373.98 125.93;-783.40 -25.48;740.47 838.43;-682.52 -502.99
hr16,LXSSA,6030,6030,16,6,136.15173766190634,149.2632720953485,True,322.21083263868053,6.461643957999968,749.03 746.32;-74.23 427.89;-539.22 22.04;541.82 63.82;-38.65 -218.27;-157.08 98.77;383.21 -462.42;-186.69 -538.07;-531.77 -672.45;-648.32 831.57;-676.54 -284.62;671.67 -628.89;272.02 -771.89;-338.59 730.33;666.28 -270.73;-49.54 -829.63
hr16,LXSSA,6030,6030,16,7,135.62455997263712,149.2632720953485,True,320.1883917265142,6.29865077400018,-27.92 -426.01;416.37 298.92;-796.33 -66.05;450.11 626.42;-905.90 678.54;-871.48 249.47;109.63 626.41;309.68 -630.75;253.87 -266.65;658.14 -693.23;-498.75 72.62;-602.66 459.55;84.84 302.76;469.02 -16.91;-748.96 -629.99;49.67 -833.08
hr16,LXSSA,6030,6030,16,8,136.98486301960955,149.2632720953485,True,324.7371089107688,6.334803676999854,-785.59 -374.74;119.71 491.29;42.53 -715.45;640.16 -638.00;572.06 211.23;177.28 821.85;765.31 574.84;-905.93 831.67;-759.11 -15.54;-317.13 -478.96;832.89 -165.93;-262.58 -147.54;-177.43 194.59;101.41 -245.88;-300.82 713.85;480.58 -100.36
hr16,LXSSA,6030,6030,16,9,135.97441870410128,149.2632720953485,False,318.72446995183367,6.261810740999863,-768.02 -579.72;318.62 -517.02;-862.31 410.35;-393.08 -754.82;-601.88 96.04;-696.00 717.75;670.74 -835.31;268.95 467.27;693.58 639.35;619.22 328.78;52.25 -726.59;829.44 85.48;680.53 -197.13;666.19 -516.62;-282.67 79.29;-250.71 509.82
hr16,LXSSA,6030,6030,16,10,136.3707665637433,149.2632720953485,True,320.4699006636945,6.093761215000086,-335.17 373.84;671.64 331.78;-580.30 -395.11;-117.63 686.00;36.72 -517.70;-767.43 718.47;390.00 786.06;606.20 -225.61;341.95 -406.92;-635.81 -25.29;258.05 -90.12;149.52 -823.90;140.03 310.57;736.05 689.20;-189.65 -262.22;608.09 -762.84
hr16,LXSSA,6030,6030,16,11,135.75500478734438,149.2632720953485,True,320.28849982795,6.114568687000428,732.22 638.54;115.76 13.34;-38.42 617.48;772.47 -57.36;845.07 -457.61;280.20 539.93;-781.10 94.18;-450.17 -335.17;-640.88 388.09;-368.58 32.97;-734.73 -587.27;-368.05 642.13;-92.93 256.30;479.09 -194.65;-166.73 -642.41;457.74 832.85
hr16,LXSSA,6030,6030,16,12,136.64489720931172,149.2632720953485,True,326.6225275424414,6.031513442999767,-899.10 827.47;797.42 75.14;752.44 519.40;121.47 -651.96;356.04 -204.03;524.42 -723.56;128.86 371.44;381.32 121.62;-294.01 -786.23;-462.60 145.42;-40.90 47.66;-791.40 -76.20;-794.07 262.71;-560.49 676.12;-101.97 -333.60;874.41 -322.51
