Dataset,Radius,Turbines,Algorithm,Seed,Objective,WakeLoss,Coordinates
1,500,10,LXSSA,7,135431.4403074812,5025.933389867103,14.299 -100.887;-337.693 -183.423;172.093 171.212;-190.015 -462.486;175.729 -439.803;-448.162 105.750;-219.799 339.329;486.661 108.207;61.727 464.981;346.879 -168.202
1,500,10,SLSQP,4,138171.16097149582,2286.2127258524706,-315.241 388.099;277.950 -409.233;-187.184 43.614;-27.616 -450.465;-17.684 306.630;460.744 -160.380;-365.669 -337.806;-485.533 -33.045;273.514 408.751;140.280 40.721
1,750,12,LXSSA,1,163799.02484404942,4749.823592768516,-482.449 421.947;469.380 -453.512;-330.603 -532.581;-592.431 112.527;643.889 5.775;127.460 -167.812;195.453 172.010;-35.339 666.206;80.234 -606.983;-246.709 -142.820;463.641 493.093;-221.958 193.215
1,750,12,VNS,14,166626.22462089037,1922.6238159275672,9.506 -749.877;-255.617 85.410;574.275 -135.765;134.335 167.224;-606.422 -345.158;-116.582 -388.897;297.572 -367.391;687.181 195.446;-21.440 692.317;-743.154 99.511;-405.127 546.296;360.517 625.137
1,1000,15,LXSSA,11,207463.25313835905,3222.8074076634075,649.113 386.560;-524.550 645.726;-815.620 -234.614;-651.374 261.510;466.641 10.165;-653.772 -697.749;646.062 -498.768;120.410 -568.971;-345.696 -878.118;-114.430 621.801;961.503 274.444;-331.447 360.925;247.803 586.355;134.258 905.000;-30.013 -137.284
1,1000,15,VNS,28,208107.84428658715,2578.216259435285,769.000 594.558;978.821 -162.644;10.980 61.219;-443.315 -12.617;462.708 -101.298;-137.617 -453.182;-378.258 424.155;5.564 -883.188;-849.449 511.335;646.301 261.239;-215.739 874.578;-486.110 -771.831;466.365 871.784;-852.806 -403.429;167.420 600.732
2,500,10,LXSSA,7,66927.83391801588,6225.950028830761,15.034 -103.179;-337.098 -181.590;172.410 168.708;-189.239 -461.681;177.924 -434.215;-447.322 106.076;-218.346 337.684;486.063 107.434;63.489 463.151;343.052 -170.399
2,500,10,VNS,27,68162.25334614678,4991.530600699858,-11.855 -263.861;472.005 -113.763;184.105 463.046;-307.826 131.552;-211.774 443.653;99.243 55.520;291.454 -405.590;-483.239 -125.987;418.586 201.269;-294.855 -399.613
2,750,12,LXSSA,20,82342.90262584233,5441.638110373649,-392.386 -299.162;-687.121 -154.913;52.068 670.898;-136.744 389.565;-309.799 83.436;428.724 -553.342;-204.510 -582.873;-543.380 408.429;-282.706 694.675;-17.388 -176.751;249.669 202.347;413.451 500.514
2,750,12,VNS,2,83596.10991062333,4188.430825592644,60.643 704.219;136.635 -451.870;-376.371 634.239;166.413 296.282;356.217 559.462;405.265 -630.977;617.251 15.140;446.412 -249.246;-722.073 48.205;-298.556 -220.058;-435.548 -521.435;-526.086 326.061
2,1000,15,LXSSA,2,104166.05071083928,5564.625209430698,840.056 -342.576;397.360 125.920;135.269 -498.726;-698.284 -171.981;-544.525 183.939;32.950 761.006;-183.306 -943.617;118.572 -65.709;-485.375 842.861;725.698 -665.749;224.249 478.386;694.990 500.965;-812.747 -490.552;774.978 7.886;-853.741 438.071
2,1000,15,SLSQP,10,105183.68193564596,4546.993984624001,480.112 134.742;887.911 -308.765;-932.203 -356.937;-954.080 299.380;-999.931 -11.187;469.785 644.080;-777.128 625.285;-106.494 301.614;-155.318 748.412;-430.932 -587.581;-311.436 -949.692;506.196 -845.798;61.247 997.214;990.658 -16.010;563.246 -540.451
