Algorithm,Turbines,Seed,Calls,AEP,IdealAEP,Feasible,MinSpacing,Seconds,Coordinates,Curve
LXBV,16,1,6030,137.56994861116334,149.2632720953485,True,324.8019800783572,5.702573229000336,757.52 256.29;568.41 -829.93;934.13 -796.63;-131.13 730.31;-741.63 458.48;811.15 -67.55;-408.42 486.07;-211.32 -473.83;720.15 730.51;255.39 411.39;-102.82 372.69;-241.69 -18.15;-552.79 807.80;-434.91 -832.97;-745.16 -736.87;465.78 -124.68,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;136.7806;136.7966;136.8676;136.8676;136.9084;136.9084;136.9369;136.9757;136.9772;137.0604;137.0604;137.0829;137.0829;137.1219;137.1219;137.1981;137.1981;137.2973;137.2973;137.3153;137.3153;137.3168;137.3190;137.3206;137.3206;137.3208;137.3224;137.3224;137.3399;137.3414;137.3414;137.3422;137.3422;137.3903;137.4228;137.4271;137.4682;137.4713;137.4724;137.4724;137.4724;137.4728;137.4728;137.4728;137.4818;137.4818;137.4871;137.4871;137.4925;137.4925;137.4928;137.4928;137.4928;137.4941;137.4965;137.4971;137.4987;137.4992;137.5009;137.5019;137.5036;137.5041;137.5055;137.5063;137.5076;137.5084;137.5097;137.5102;137.5116;137.5119;137.5133;137.5149;137.5149;137.5162;137.5168;137.5181;137.5189;137.5652;137.5699
LXBV,16,2,6030,138.49751367261234,149.2632720953485,True,324.14990125999105,5.654185229999712,-316.35 -172.81;-625.94 272.84;-780.39 -478.83;-833.08 -13.82;-64.74 -681.11;-415.67 519.54;-450.26 -536.03;533.26 815.33;25.80 -292.59;669.53 398.08;829.01 72.91;266.22 187.51;-900.25 834.66;-205.44 809.19;668.89 -633.14;509.97 -141.03,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;136.4035;136.4035;136.4312;136.4312;136.4312;136.4853;136.5179;136.6013;136.6013;136.6912;136.7633;136.7633;136.7633;136.7639;136.7639;136.7639;136.7641;136.8229;136.8232;136.8236;136.8238;136.8239;136.8246;136.8246;136.8247;136.8247;136.8248;136.8248;136.8248;136.8249;136.8251;136.8251;136.8254;136.8254;136.8256;136.8256;136.8259;136.8259;136.8260;136.8260;136.8260;136.8260;136.8260;136.8260;136.9956;136.9956;137.1120;137.1149;137.2310;137.2310;137.2555;137.2808;137.3303;137.3894;137.3894;137.4392;137.4880;137.4880;137.4880;137.6459;137.6459;137.6459;137.6602;137.6602;137.7031;137.7421;137.7990;137.8082;137.8082;137.8082;137.8289;137.8289;137.8853;137.8853;137.8910;137.9123;137.9123;137.9123;137.9123;137.9212;137.9212;137.9212;137.9216;137.9216;138.1175;138.1175;138.1175;138.1556;138.1556;138.1734;138.1748;138.1926;138.2024;138.2153;138.2202;138.2330;138.2330;138.2779;138.2779;138.2779;138.2928;138.2928;138.2928;138.2928;138.3366;138.3366;138.3422;138.3796;138.3852;138.3858;138.3914;138.3914;138.3941;138.3941;138.3941;138.3986;138.3986;138.4009;138.4023;138.4046;138.4084;138.4084;138.4084;138.4135;138.4135;138.4155;138.4158;138.4158;138.4453;138.4453;138.4473;138.4475;138.4495;138.4507;138.4527;138.4527;138.4546;138.4546;138.4950;138.4950;138.4950;138.4950;138.4975;138.4975
LXBV,16,3,6030,138.12910024506925,149.2632720953485,True,327.78778680695063,5.672874037999463,-618.58 97.37;353.96 -578.88;-134.06 -333.69;241.23 -161.19;-792.29 -381.01;-100.80 -678.94;882.79 -418.81;-456.69 -191.39;630.92 436.63;-390.22 -832.82;-729.64 -805.46;939.55 -830.38;263.72 656.48;697.36 -15.52;-614.83 445.35;-123.62 819.75,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;136.3934;136.3934;136.4330;136.4634;136.4639;136.4643;136.4651;136.4651;136.4651;136.4654;136.4654;136.4656;136.4657;136.4657;136.4660;136.4660;136.4660;136.4661;136.4661;136.4661;136.4662;136.4662;136.4662;136.4662;136.4663;136.4663;136.4663;136.4663;136.4663;136.4663;136.4663;136.4663;136.5365;136.5747;136.6322;136.6694;136.7312;136.7377;136.7377;136.8058;136.8058;136.8557;136.8557;137.0204;137.0204;137.0335;137.0335;137.0335;137.0335;137.0416;137.0956;137.1270;137.1847;137.1847;137.1847;137.2442;137.2568;137.2568;137.2568;137.3209;137.3209;137.3462;137.4374;137.4374;137.5194;137.5194;137.5332;137.5901;137.6040;137.6287;137.6877;137.6877;137.7247;137.7247;137.7360;137.7648;137.7929;137.8361;137.8361;137.8361;137.8361;137.8611;137.8795;137.9045;137.9045;137.9115;137.9254;137.9324;137.9324;137.9328;137.9488;137.9488;137.9488;137.9609;137.9609;137.9666;137.9666;137.9666;138.0092;138.0092;138.0418;138.0418;138.0613;138.0613;138.0613;138.0807;138.0807;138.0807;138.0863;138.0863;138.0895;138.0931;138.0931;138.0931;138.0964;138.0964;138.1053;138.1053;138.1083;138.1083;138.1102;138.1111;138.1130;138.1130;138.1130;138.1147;138.1147;138.1164;138.1164;138.1164;138.1180;138.1291
LXBV,16,4,6030,137.44568228530073,149.2632720953485,True,326.6702753881658,5.834176120999473,230.12 149.58;913.82 -676.51;-352.34 174.91;785.33 230.91;-605.66 799.31;-185.67 -117.54;629.54 -515.58;-56.03 454.27;300.66 -369.59;-779.10 507.79;-438.36 511.07;-938.09 832.28;721.72 816.57;335.73 628.78;238.65 -710.09;539.43 -94.55,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;135.3001;135.6654;135.6654;135.7593;135.9402;136.0148;136.0902;136.1078;136.1156;136.2585;136.2585;136.3583;136.3583;136.3757;136.3757;136.3839;136.3839;136.4035;136.4035;136.4035;136.4160;136.5378;136.5559;136.6010;136.6195;136.6195;136.6313;136.6921;136.7039;136.7039;136.7383;136.7383;136.7383;136.7566;136.7566;136.8588;136.8588;136.8588;136.8588;136.8904;136.9238;137.0215;137.0549;137.0549;137.2429;137.2429;137.2429;137.2652;137.2775;137.2775;137.2775;137.2789;137.2789;137.2789;137.3333;137.3415;137.3502;137.3502;137.3582;137.3582;137.3582;137.3643;137.3643;137.3659;137.3703;137.3719;137.3762;137.3779;137.3810;137.3826;137.3845;137.3845;137.3879;137.3879;137.3895;137.3895;137.3895;137.3909;137.4027;137.4070;137.4073;137.4094;137.4096;137.4102;137.4110;137.4120;137.4134;137.4136;137.4150;137.4457
LXBV,16,5,6030,137.18326084338034,149.2632720953485,True,322.7632299341759,5.752688145999855,-931.47 742.86;487.46 475.21;-212.25 142.77;428.77 125.06;172.57 -530.60;-544.92 251.13;867.00 -221.88;284.21 834.64;-207.03 518.00;-169.62 -317.57;-3.72 -832.23;131.67 514.41;-866.17 219.90;-745.12 -778.81;106.21 -50.80;-770.55 -192.13,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;135.0170;135.1045;135.1045;135.2928;135.2928;135.4952;135.4952;135.5722;135.5722;135.6043;135.6273;135.6276;135.6287;135.6287;135.6287;135.6294;135.6898;135.6898;135.6898;135.6901;135.6901;135.6903;135.6903;135.6903;135.6919;135.6919;135.6919;135.6920;135.6920;135.6920;135.6920;135.6920;135.6920;135.6920;135.6920;135.6920;135.6920;135.6920;135.6921;135.6921;135.7483;135.7483;135.8115;135.8115;135.8661;135.8661;135.9789;135.9789;136.0531;136.0531;136.1391;136.1391;136.1934;136.1934;136.1934;136.1934;136.2254;136.2254;136.3712;136.3712;136.3712;136.4041;136.4195;136.4524;136.5549;136.5892;136.5892;136.6127;136.6127;136.6635;136.6870;136.6896;136.7131;136.7131;136.7131;136.7131;136.7748;136.7748;136.8311;136.8311;136.8311;136.8535;136.8779;136.8779;136.9118;136.9118;136.9221;136.9221;136.9221;136.9299;137.0102;137.0180;137.0180;137.0209;137.0209;137.0237;137.0254;137.0283;137.0283;137.0313;137.0313;137.0342;137.0342;137.0342;137.0371;137.0371;137.0399;137.0399;137.1189;137.1189;137.1189;137.1211;137.1211;137.1211;137.1211;137.1239;137.1251;137.1265;137.1265;137.1288;137.1288;137.1310;137.1310;137.1327;137.1327;137.1342;137.1342;137.1354;137.1359;137.1371;137.1375;137.1386;137.1386;137.1400;137.1400;137.1403;137.1415;137.1415;137.1833;137.1833
LXBV,16,6,6030,138.13965458149374,149.2632720953485,True,353.38323021575985,5.755155393999303,175.23 -445.44;-202.56 177.26;-357.30 567.46;-742.02 -779.91;789.16 -819.93;-855.46 831.48;-607.15 -184.50;-106.75 -203.61;578.85 -281.62;-192.67 -553.09;68.12 792.10;37.02 -832.46;424.58 -791.23;631.80 824.30;146.35 121.22;338.00 475.77,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;134.9721;135.1544;135.1642;135.1642;135.3293;135.4037;135.5549;135.5597;135.6882;135.7559;135.8801;135.8801;136.0269;136.0269;136.1116;136.1368;136.3003;136.3003;136.3003;136.4431;136.4431;136.5390;136.5437;136.6178;136.6178;136.6877;136.6918;136.7886;136.7886;136.8259;136.8337;136.8809;136.9840;137.0424;137.0424;137.0424;137.0610;137.1596;137.1596;137.2021;137.2021;137.2227;137.2227;137.2227;137.2764;137.2764;137.2764;137.3580;137.3958;137.5148;137.5148;137.5242;137.6287;137.6719;137.7035;137.7467;137.7467;137.7733;137.7733;137.7940;137.8011;137.8011;137.8011;137.8064;137.8064;137.8970;137.8970;137.8970;137.9487;137.9976;138.0129;138.0129;138.0129;138.0129;138.0145;138.0145;138.0549;138.0578;138.0582;138.0983;138.0987;138.1178;138.1182;138.1182;138.1372;138.1375;138.1377;138.1377;138.1397
LXBV,16,7,6030,137.0747333863893,149.2632720953485,True,320.43639404630255,5.9751991869998164,278.60 820.90;23.46 497.31;-567.18 824.76;745.83 335.90;-579.20 -797.73;-645.76 284.34;537.16 33.15;146.94 -500.63;21.21 -36.94;649.19 -822.18;-755.58 -232.68;-326.42 -124.60;-173.27 217.73;504.89 -508.35;-161.66 -412.20;-127.82 -818.33,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;133.7069;133.8883;133.9247;133.9797;134.1433;134.1946;134.3080;134.3592;134.3917;134.4197;134.4998;134.5774;134.6554;134.6554;134.7299;134.7299;134.7909;134.8328;134.8921;134.9287;134.9825;135.0096;135.0631;135.0631;135.2183;135.2183;135.2183;135.2968;135.2968;135.3752;135.3920;135.4671;135.4671;135.5874;135.5874;135.6170;135.6339;135.6736;135.6736;135.7920;135.7920;135.7920;135.8349;135.8349;135.8711;135.8711;136.0514;136.0514;136.1948;136.1948;136.2266;136.2266;136.2266;136.2266;136.2285;136.2756;136.3067;136.3539;136.3740;136.4220;136.4220;136.4220;136.4220;136.4464;136.4865;136.5108;136.5412;136.5652;136.6202;136.6202;136.7033;136.7033;136.7240;136.7571;136.7778;136.7778;136.7879;136.7879;136.8763;136.8763;136.8851;136.8851;136.8851;136.8851;136.8926;136.9506;136.9582;136.9939;137.0070;137.0503;137.0503;137.0579;137.0631;137.0747;137.0747
LXBV,16,8,6030,136.74241508164806,149.2632720953485,True,320.5843524846969,5.83169726899996,-136.84 -235.56;559.85 834.66;126.18 352.45;855.51 -147.04;563.23 -350.74;675.87 535.81;810.88 240.92;-756.15 496.01;-664.32 -791.40;263.21 657.16;358.16 -57.56;-507.95 747.83;-323.56 -700.68;-154.80 644.02;-13.81 -543.05;899.75 -480.05,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;135.9341;136.0238;136.0316;136.0340;136.1227;136.1250;136.1951;136.1951;136.1982;136.1982;136.2595;136.2595;136.3355;136.3355;136.3957;136.3957;136.4533;136.4533;136.4558;136.5076;136.5101;136.5483;136.5505;136.5511;136.5511;136.5533;136.5533;136.5552;136.5562;136.5580;136.5583;136.5592;136.5604;136.5613;136.5626;136.5626;136.5647;136.5647;136.5668;136.5668;136.5687;136.5690;136.5708;136.5708;136.5726;136.5726;136.5738;136.5970;136.5979;136.5988;136.5997;136.6025;136.6033;136.6041;136.6054;136.6063;136.6081;136.6090;136.6101;136.6110;136.6119;136.6162;136.6168;136.6179;136.6186;136.6196;136.6203;136.6203;136.6806;136.7384;136.7392;136.7395;136.7404;136.7412;136.7421;136.7424
LXBV,16,9,6030,138.8661272678289,149.2632720953485,True,321.4608718097149,5.619459746999382,-850.32 198.26;-48.14 -827.90;-747.75 -757.21;-238.74 -430.18;-557.57 -487.12;-584.65 791.71;699.29 -833.45;615.32 98.81;473.29 419.84;70.08 279.57;-549.68 418.81;672.73 -219.15;772.75 536.70;865.49 -498.64;-78.59 765.27;441.17 786.94,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;136.8231;136.9126;137.0247;137.0254;137.0586;137.0586;137.0586;137.0640;137.0640;137.0640;137.0877;137.1000;137.1000;137.1002;137.1006;137.1015;137.1015;137.1020;137.1020;137.1021;137.1022;137.1022;137.1022;137.1022;137.1023;137.1023;137.1023;137.1023;137.1023;137.1024;137.1024;137.1025;137.1025;137.1026;137.1026;137.1029;137.1029;137.1032;137.1032;137.2719;137.2719;137.3451;137.3856;137.4703;137.4892;137.5739;137.6315;137.7167;137.7351;137.8202;137.8202;137.8734;137.9206;137.9206;137.9461;137.9658;137.9673;138.1302;138.1302;138.1770;138.1770;138.1772;138.1960;138.1960;138.2019;138.2019;138.2039;138.2708;138.2971;138.3653;138.3653;138.3872;138.3881;138.4102;138.4102;138.4102;138.4311;138.5045;138.5709;138.5709;138.5709;138.6004;138.6004;138.6060;138.6060;138.6317;138.6317;138.6317;138.6317;138.6317;138.6461;138.7030;138.7030;138.7101;138.7126;138.7198;138.7245;138.7278;138.7316;138.7316;138.7316;138.7329;138.7329;138.7329;138.7329;138.7729;138.7729;138.7889;138.7889;138.7908;138.8483;138.8483;138.8503;138.8520;138.8539;138.8539;138.8554;138.8578;138.8578;138.8578;138.8586;138.8586;138.8587;138.8590;138.8591;138.8594;138.8595;138.8601;138.8618;138.8625;138.8625;138.8626;138.8628;138.8629;138.8648;138.8649;138.8651;138.8652;138.8661
LXBV,16,10,6030,139.0859198632565,149.2632720953485,True,328.37479231170227,5.626906082999994,196.73 71.95;815.43 194.25;902.80 -806.04;-272.69 827.99;352.76 705.52;52.30 530.24;515.10 371.05;758.26 611.33;271.12 -765.90;-799.60 161.24;-409.71 -789.08;-748.13 -723.79;-716.80 -396.91;845.74 -139.01;-387.93 256.36;844.45 -472.51,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;136.6039;136.6039;136.6039;136.7460;137.0779;137.0813;137.2062;137.2390;137.4093;137.4093;137.4317;137.4402;137.5045;137.5045;137.5231;137.5231;137.5994;137.5994;137.6406;137.6407;137.6408;137.6408;137.6408;137.6408;137.6408;137.6408;137.6410;137.6411;137.6411;137.6413;137.6413;137.6420;137.6420;137.6433;137.6433;137.6473;137.6473;137.6473;137.6473;137.6473;137.6473;137.6473;137.6473;137.6473;137.6473;137.6473;137.8480;137.8707;137.8988;137.9171;137.9171;137.9420;137.9420;137.9457;137.9457;137.9693;138.0514;138.0514;138.1024;138.1024;138.1153;138.1275;138.1410;138.1936;138.2071;138.2379;138.2513;138.2513;138.3665;138.3665;138.4677;138.4677;138.4677;138.5542;138.5542;138.5542;138.5542;138.6684;138.6684;138.6684;138.6778;138.6905;138.6905;138.7898;138.7898;138.7898;138.8093;138.8093;138.8344;138.8344;138.8344;138.8470;138.8470;138.8470;138.8974;138.8974;138.9240;138.9240;138.9292;138.9292;138.9292;138.9334;139.0017;139.0047;139.0255;139.0285;139.0297;139.0298;139.0349;139.0349;139.0379;139.0408;139.0408;139.0408;139.0408;139.0417;139.0417;139.0417;139.0417;139.0429;139.0661;139.0671;139.0677;139.0695;139.0700;139.0709;139.0720;139.0732;139.0743;139.0755;139.0766;139.0770;139.0782;139.0786;139.0797;139.0801;139.0810;139.0816;139.0825;139.0830;139.0830;139.0845;139.0845;139.0859;139.0859
