Algorithm,Dataset,Radius,Turbines,Seed,Calls,Objective,Ideal,WakeLoss,Feasible,MinSpacing,Seconds,Coordinates,Curve
LXBV25,1,500,6,1,6030,83111.68963611488,84274.42421840897,1162.7345822940842,True,323.67528061773686,2.1049730690001525,-495.041 69.726;-234.981 -441.271;-155.865 140.675;315.147 -120.330;349.951 356.909;211.899 -427.097,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;81254.054;81254.054;81254.054;81254.054;81367.620;81367.620;81367.620;81367.620;81367.620;81367.620;81367.908;82057.036;82057.036;82074.392;82174.933;82174.933;82212.324;82212.324;82212.324;82216.492;82217.758;82218.847;82282.714;82282.714;82348.632;82348.632;82348.632;82348.705;82352.689;82352.689;82357.125;82357.125;82357.125;82357.129;82357.132;82357.132;82357.133;82357.133;82366.025;82423.434;82424.161;82455.759;82458.584;82505.696;82507.469;82527.055;82527.055;82542.583;82543.482;82544.357;82544.983;82545.242;82550.889;82556.410;82556.426;82561.838;82564.499;82565.162;82565.524;82565.528;82565.631;82570.129;82570.410;82571.728;82571.728;82572.385;82572.436;82573.091;82573.091;82573.091;82573.091;82573.091;83000.344;83000.344;83027.463;83052.739;83053.058;83053.058;83054.677;83056.088;83057.192;83061.591;83062.517;83062.896;83063.272;83063.272;83063.623;83063.892;83064.038;83064.988;83065.225;83065.318;83065.411;83065.504;83065.596;83065.596;83065.596;83065.596;83065.596;83065.596;83065.596;83065.596;83065.596;83065.596;83065.596;83065.596;83065.596;83065.596;83065.596;83065.596;83065.596;83065.596;83065.596;83068.125;83073.522;83077.188;83082.438;83082.581;83087.646;83092.539;83099.922;83100.028;83104.610;83104.610;83108.192;83108.235;83108.235;83110.014;83110.140;83110.161;83111.047;83111.607;83111.670;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690;83111.690
LXBV25,1,500,6,2,6030,83592.24306223236,84274.42421840897,682.181156176608,True,382.2850537137251,2.084945976000199,216.211 409.392;206.172 -455.398;-247.480 174.566;-252.390 -431.308;499.492 -21.973;0.062 -133.434,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;80942.891;80942.891;82184.995;82184.995;82300.918;82300.918;82310.526;82330.495;82330.495;82330.495;82330.495;82333.360;82336.318;82336.318;82337.136;82337.136;82338.840;82338.840;82339.241;82339.241;82340.125;82340.125;82342.573;82342.573;82342.573;82342.577;82342.594;82342.594;82342.594;82342.595;82420.353;82458.580;82545.919;82545.919;82570.059;82574.131;82596.389;82621.994;82621.994;82633.400;82640.751;82642.663;82643.264;82648.630;82653.929;82656.762;82662.043;82662.987;82663.989;82666.792;82672.024;82672.598;82677.782;82677.883;82685.804;82686.081;82688.831;82693.930;82699.256;82699.256;82702.081;82707.096;82707.607;82712.589;82715.289;82720.218;82720.715;82720.715;82723.492;82728.377;82728.998;82731.895;82736.737;82736.983;82741.785;82744.511;82749.275;82749.515;82749.617;82756.939;82757.175;82761.860;82764.432;82764.663;82767.311;82767.539;82767.636;82770.383;82772.880;82773.102;82777.839;82777.839;82778.734;82781.303;82781.522;82786.159;82790.734;82795.272;82804.238;82804.238;82808.761;82808.862;82811.319;82815.805;82815.805;82818.339;82818.928;82821.338;82823.817;82823.827;82852.225;82856.447;82856.447;82856.633;82863.193;82863.193;82865.277;82865.324;82868.575;82868.685;82870.753;82870.800;82870.847;82874.078;82874.078;82874.123;82874.169;82877.387;82877.387;82877.477;82880.683;82880.683;82880.826;82881.404;82882.488;82882.488;82883.087;82884.105;82884.105;83527.887;83532.175;83539.483;83539.483;83563.219;83564.376;83565.423;83566.454;83566.646;83569.022;83569.589;83570.662;83573.014;83573.615;83574.165;83575.215;83575.756;83576.322;83576.824;83577.815;83578.305;83578.552;83580.882;83581.287;83583.596;83584.081;83584.561;83584.622;83587.144;83589.409;83589.466;83589.519;83590.643;83590.904;83590.982;83591.464;83591.464;83591.490;83591.515;83592.113;83592.243
LXBV25,1,500,6,3,6030,83867.21863840117,84274.42421840897,407.2055800077942,True,314.5476665666916,2.0059498669997993,144.367 -478.511;412.965 217.909;-476.830 150.176;-353.334 -253.490;-117.415 227.269;9.846 -194.180,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;80442.994;80442.994;80442.994;80442.994;80442.994;80442.994;81954.699;81954.699;81954.699;83386.139;83386.139;83390.668;83390.668;83392.296;83392.296;83394.562;83395.820;83395.820;83395.820;83396.090;83397.312;83397.312;83398.114;83398.114;83398.150;83398.150;83398.150;83398.155;83398.265;83398.265;83398.289;83398.289;83398.289;83398.289;83510.887;83510.887;83515.336;83516.345;83553.204;83568.456;83573.731;83825.801;83829.435;83829.804;83846.082;83846.082;83847.410;83849.318;83850.210;83850.950;83851.822;83852.578;83853.009;83853.658;83854.785;83855.162;83855.895;83856.253;83857.100;83857.452;83857.869;83858.057;83858.845;83858.845;83859.440;83859.617;83860.028;83860.547;83860.587;83861.049;83861.092;83861.130;83861.163;83861.478;83861.756;83862.128;83862.297;83862.498;83862.698;83862.983;83862.998;83863.266;83863.282;83863.762;83863.960;83863.975;83863.989;83864.119;83864.282;83864.412;83864.663;83864.800;83864.977;83865.112;83865.343;83865.426;83865.525;83865.608;83865.706;83865.887;83865.887;83866.027;83866.145;83866.145;83866.263;83866.304;83866.402;83866.517;83866.524;83866.632;83866.729;83866.843;83866.850;83866.980;83867.092;83867.092;83867.203;83867.211;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219;83867.219
LXBV25,1,500,6,4,6030,83859.35647602842,84274.42421840897,415.0677423805464,True,376.10673227747395,2.077041667999765,-348.477 -358.422;79.944 493.219;437.470 213.033;312.812 -141.815;-206.280 114.392;80.837 -458.976,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;78967.987;78967.987;80519.240;80519.240;80760.218;80913.007;81023.989;81594.797;81594.797;81650.750;81656.620;81690.635;81690.635;81690.635;81691.589;81700.165;81700.165;81710.903;81710.903;81710.955;81711.011;81711.861;81711.861;81711.891;81711.891;81712.499;81712.499;81713.528;81713.528;81786.650;81914.033;81954.105;81957.904;81962.583;81984.780;82000.465;82021.559;82021.559;82029.095;82048.031;82049.092;82060.364;82069.680;82071.439;82072.920;82092.100;82110.234;82127.609;82128.659;82139.902;82147.628;82148.662;82158.780;82163.761;82164.761;82181.745;82182.748;82193.654;82200.287;82201.351;82211.176;82221.808;82225.371;82227.845;82227.845;82236.347;82237.162;82237.800;82245.696;82246.693;82251.382;82254.119;82258.000;82260.350;82260.546;82262.479;82262.599;82263.898;82264.614;82264.614;82264.614;82264.614;82264.614;82264.614;82286.474;82288.944;82319.468;82319.468;82826.916;82883.333;82885.663;82887.901;82890.052;82931.404;82943.124;82944.452;82945.489;82945.936;82946.659;82947.312;82947.824;82948.046;82951.236;82954.112;82954.469;82957.713;82958.068;82958.322;82958.603;82959.075;82959.075;82959.222;82959.223;82959.658;82961.148;82962.648;82962.825;82963.060;82963.185;82963.185;82963.257;82963.257;82963.257;82963.257;83139.799;83759.115;83761.848;83761.848;83764.789;83768.517;83826.295;83830.170;83832.090;83832.333;83834.867;83835.640;83836.886;83836.886;83837.349;83837.723;83838.089;83838.636;83838.883;83839.066;83839.294;83839.318;83839.318;83839.318;83839.318;83839.318;83839.318;83839.318;83839.318;83839.318;83839.318;83840.560;83842.626;83845.053;83846.845;83847.797;83849.068;83851.258;83852.660;83853.829;83854.816;83855.794;83856.633;83857.112;83857.356;83857.597;83857.889;83858.125;83858.414;83858.648;83858.802;83858.947;83859.092;83859.356;83859.356
LXBV25,1,500,6,5,6030,83845.58849888378,84274.42421840897,428.8357195251883,True,320.9737992029477,2.0706220599995504,-135.702 -436.318;-128.731 428.251;-339.445 186.127;152.051 12.959;360.205 323.306;475.000 -10.728,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;83094.357;83094.357;83094.357;83094.357;83522.822;83522.822;83566.165;83566.165;83566.165;83566.165;83570.086;83624.526;83624.598;83626.043;83631.933;83631.933;83631.933;83634.592;83637.706;83637.706;83638.847;83638.847;83638.847;83638.899;83639.046;83639.046;83639.046;83639.078;83639.087;83639.089;83639.092;83639.092;83639.094;83639.094;83639.094;83639.094;83639.098;83639.098;83644.872;83651.257;83653.957;83656.331;83662.946;83665.220;83666.171;83666.528;83672.723;83675.060;83680.864;83681.103;83681.232;83681.232;83705.560;83706.088;83707.523;83707.809;83708.185;83708.185;83708.474;83709.437;83709.577;83709.763;83709.947;83709.947;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83710.426;83838.047;83845.588
LXBV25,1,500,6,6,6030,84046.19988595185,84274.42421840897,228.22433245711727,True,469.6671661004737,2.093911298000421,489.844 -99.493;-468.001 174.690;351.111 352.417;-107.699 487.500;-324.041 -326.290;132.665 -435.868,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;82297.784;82297.784;82877.940;82877.940;82969.698;82969.698;83407.641;83407.641;83407.641;83778.316;83830.967;83857.511;83857.511;83858.899;83858.899;83859.199;83859.701;83859.701;83860.011;83860.011;83860.011;83860.110;83860.237;83860.237;83860.366;83860.366;83860.410;83860.410;83860.429;83860.429;83860.460;83860.460;83860.491;83860.491;83860.531;83860.531;83870.255;83872.192;83896.896;83898.826;83898.826;83901.174;83901.873;83902.551;83903.119;83903.451;83903.779;83903.920;83904.402;83904.885;83905.842;83906.319;83906.794;83907.730;83907.867;83908.340;83908.811;83909.278;83910.206;83910.339;83910.799;83911.256;83912.161;83912.610;83912.741;83913.859;83914.319;83914.773;83915.221;83916.110;83916.554;83916.996;83939.816;83940.182;83940.405;83940.624;83940.842;83941.275;83941.489;83941.701;83941.811;83941.917;83942.022;83942.127;83942.232;83942.440;83942.532;83942.532;83942.532;83942.532;83942.532;83942.532;83942.532;83990.315;83991.421;83991.421;84014.143;84015.082;84015.821;84016.150;84017.002;84017.706;84018.245;84018.874;84019.605;84039.677;84040.025;84040.454;84040.558;84041.010;84041.233;84041.634;84041.935;84042.213;84042.317;84042.660;84042.980;84043.174;84043.513;84043.731;84044.043;84044.236;84044.538;84044.640;84044.852;84045.043;84045.085;84045.252;84045.355;84045.450;84045.476;84045.570;84045.678;84045.731;84045.784;84045.857;84045.929;84045.976;84045.986;84046.042;84046.127;84046.140;84046.187;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200;84046.200
LXBV25,1,500,6,7,6030,83871.43980674462,84274.42421840897,402.9844116643508,True,359.6536351917637,2.07127354900058,86.584 468.172;254.667 -149.116;-141.754 -27.071;482.812 128.913;-305.384 -395.334;-300.482 399.098,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;80867.998;80867.998;80867.998;80870.065;80870.065;82654.094;82654.094;82744.099;82775.542;82868.528;82917.160;82917.160;82917.160;82917.826;82924.374;82929.806;82929.806;82929.806;82930.850;82931.821;82931.821;82932.902;82932.902;82933.529;82933.529;82933.529;82933.561;82933.626;82933.626;82933.626;82933.629;82933.670;82933.670;82933.670;82933.671;82985.428;83024.835;83024.835;83034.273;83035.617;83037.717;83039.191;83040.670;83042.569;83044.675;83045.902;83046.036;83055.331;83055.478;83064.649;83073.668;83073.699;83082.584;83082.589;83083.857;83088.244;83114.025;83114.380;83116.833;83117.408;83117.653;83117.653;83118.739;83118.987;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83119.160;83134.689;83135.924;83135.924;83136.583;83137.227;83137.700;83138.020;83140.195;83140.195;83141.279;83168.155;83168.155;83168.155;83168.155;83480.519;83554.954;83573.697;83623.724;83624.275;83624.275;83839.115;83839.881;83864.155;83865.163;83865.955;83866.772;83868.078;83868.586;83869.074;83869.542;83869.542;83869.900;83870.027;83870.140;83870.252;83870.399;83870.619;83870.763;83870.907;83871.051;83871.194;83871.256;83871.379;83871.440;83871.440;83871.440;83871.440;83871.440;83871.440;83871.440;83871.440;83871.440;83871.440;83871.440;83871.440;83871.440;83871.440;83871.440;83871.440;83871.440;83871.440;83871.440;83871.440;83871.440;83871.440;83871.440;83871.440;83871.440;83871.440;83871.440
LXBV25,1,500,6,8,6030,83948.35502244864,84274.42421840897,326.0691959603282,True,384.779014557145,2.2752830439994796,-474.837 -155.996;-327.060 332.432;-95.354 -92.373;64.863 -495.158;302.304 397.872;477.145 -147.630,nan;nan;nan;nan;nan;nan;nan;81570.001;81570.001;81570.001;81570.001;81570.001;81570.001;81602.419;81602.419;83508.191;83508.191;83508.191;83508.191;83527.481;83527.481;83602.054;83602.054;83614.292;83617.529;83617.529;83617.529;83617.529;83623.476;83628.682;83628.682;83645.634;83645.634;83835.557;83835.557;83867.028;83867.028;83867.028;83867.079;83867.079;83867.109;83867.109;83867.113;83867.496;83867.496;83867.496;83867.497;83867.497;83867.497;83867.523;83867.523;83877.684;83881.878;83886.085;83889.367;83894.280;83909.692;83914.313;83914.519;83914.519;83916.338;83917.077;83919.260;83919.260;83919.260;83919.681;83919.779;83919.870;83919.887;83919.887;83919.911;83919.912;83919.912;83919.912;83919.912;83919.912;83939.149;83940.344;83941.490;83941.737;83943.098;83944.196;83944.427;83944.615;83945.155;83945.367;83946.059;83946.269;83946.559;83946.559;83946.851;83947.115;83947.433;83947.488;83947.750;83947.777;83947.832;83947.978;83948.107;83948.159;83948.315;83948.328;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355;83948.355
LXBV25,1,500,6,9,6030,83547.35036299654,84274.42421840897,727.0738554124255,True,406.075337817803,2.0736552280004616,-370.422 296.036;164.045 472.224;-104.008 -489.062;-490.625 -91.840;26.315 36.649;458.162 -199.997,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;82494.643;82494.643;82562.853;82562.853;82562.853;82562.853;83287.441;83287.441;83287.441;83287.441;83287.441;83368.028;83382.073;83382.073;83382.073;83398.295;83398.295;83424.580;83473.388;83474.178;83474.178;83476.575;83476.597;83476.949;83477.921;83477.921;83477.921;83478.045;83478.045;83478.084;83478.084;83478.102;83478.102;83478.111;83478.111;83478.112;83478.238;83478.238;83478.238;83478.238;83487.588;83492.843;83493.966;83504.662;83505.912;83507.188;83508.441;83512.881;83514.704;83515.926;83515.926;83517.556;83517.974;83519.144;83520.293;83521.814;83522.919;83523.296;83524.378;83525.800;83526.843;83527.869;83528.209;83530.203;83530.526;83531.146;83531.730;83532.310;83532.952;83533.247;83533.539;83534.110;83534.398;83535.853;83536.160;83536.442;83536.866;83538.445;83539.885;83540.190;83540.795;83541.075;83541.354;83541.631;83542.016;83542.185;83542.326;83542.466;83542.880;83542.880;83543.017;83543.138;83543.292;83543.361;83543.361;83543.361;83543.361;83543.361;83543.361;83543.361;83543.361;83543.361;83543.361;83543.361;83543.361;83543.361;83543.361;83543.361;83543.361;83543.361;83543.361;83543.361;83543.361;83543.361;83543.361;83543.361;83543.361;83543.361;83544.079;83544.337;83544.861;83545.904;83546.071;83546.342;83546.672;83546.941;83546.941;83547.075;83547.201;83547.276;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350;83547.350
LXBV25,1,500,6,10,6030,83342.02158718935,84274.42421840897,932.402631219622,True,321.61159611226515,2.055759552999916,-444.511 228.264;-270.861 -409.628;383.435 320.400;361.605 -148.382;149.487 93.361;37.255 -256.099,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;77170.190;77170.190;78141.121;78141.121;80029.580;80029.580;80029.580;80053.603;80115.197;80115.197;80117.353;80117.353;80122.143;80124.198;80127.066;80130.516;80133.516;80133.516;80134.065;80134.149;80134.879;80134.879;80134.879;80135.011;80135.527;80135.527;80135.527;80135.539;80135.687;80135.687;80136.182;80136.182;81557.489;81600.667;81675.308;81685.236;81738.575;81794.741;81803.629;81812.208;82615.743;82619.162;82622.390;82635.105;82637.670;82649.991;82711.933;82729.842;82731.158;82743.064;82743.649;82743.983;82744.556;82745.205;82748.984;82749.618;82750.867;82754.278;82760.099;82763.503;82769.245;82770.488;82778.883;82779.486;82780.752;82781.374;82781.963;82782.575;82783.778;82784.353;82784.942;82785.523;82786.098;82786.661;82789.467;82789.467;82790.933;82791.838;82793.999;82794.154;82794.265;82795.064;82796.450;82796.450;82796.450;82796.450;82796.450;82796.450;82796.450;82796.450;82796.450;82796.450;82796.450;82808.211;82810.518;82811.828;82818.742;82825.481;82830.027;82853.774;82854.318;82858.812;82863.369;82863.695;82868.293;82868.293;82868.455;82872.047;82872.210;82872.525;82872.785;82874.221;82874.482;82875.265;82876.345;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;82877.207;83329.759;83332.148;83332.148;83332.148;83341.083;83341.083;83341.466;83342.022
