Algorithm,Turbines,Seed,Calls,AEP,IdealAEP,Feasible,MinSpacing,Seconds,Coordinates,Curve
LXSSA,16,1,6030,137.49220055314947,149.2632720953485,True,321.5993991613187,6.226983886999733,749.83 232.75;608.78 -826.75;936.74 -785.66;-331.68 819.74;-838.22 543.52;681.01 -124.65;-490.93 514.59;-79.66 -714.41;745.39 656.47;16.78 622.20;-161.81 353.96;-153.71 -5.37;-670.13 833.32;-401.26 -713.48;-732.64 -828.91;299.50 140.56,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;136.5630;136.9483;136.9483;137.0868;137.0868;137.1675;137.1675;137.1675;137.1675;137.1817;137.1817;137.2999;137.2999;137.3039;137.3039;137.3324;137.3324;137.3500;137.3500;137.3500;137.3500;137.3513;137.3518;137.3653;137.3653;137.3666;137.3666;137.3675;137.3681;137.4550;137.4550;137.4550;137.4559;137.4559;137.4631;137.4633;137.4879;137.4881;137.4885;137.4885;137.4887;137.4887;137.4891;137.4891;137.4894;137.4894;137.4895;137.4895;137.4897;137.4898;137.4899;137.4901;137.4901;137.4903;137.4903;137.4905;137.4905;137.4905;137.4905;137.4913;137.4913;137.4913;137.4913;137.4913;137.4913;137.4920;137.4920;137.4920;137.4920;137.4920;137.4920;137.4921;137.4921;137.4921;137.4921;137.4921;137.4921;137.4922;137.4922;137.4922;137.4922;137.4922;137.4922;137.4922;137.4922;137.4922;137.4922
LXSSA,16,2,6030,137.2188977773976,149.2632720953485,True,340.8137654455872,6.027982255000097,494.57 157.82;-469.80 -834.68;812.49 -263.70;-86.69 543.31;-37.52 -361.24;626.34 813.14;-84.55 93.44;321.44 -662.59;184.54 321.69;-696.26 -504.81;915.75 -736.64;-362.47 813.21;-520.35 23.77;243.87 701.79;-348.38 -500.95;-696.92 404.14,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;135.3469;135.6438;135.7867;135.8798;135.8798;135.8798;136.0925;136.1306;136.2176;136.4190;136.4200;136.5302;136.5920;136.6873;136.6873;136.7454;136.7454;136.7454;136.9149;136.9149;137.0722;137.0722;137.0722;137.0722;137.0722;137.0722;137.1071;137.1071;137.1071;137.1449;137.1449;137.1449;137.1449;137.1449;137.1449;137.1685;137.1685;137.1685;137.1685;137.1720;137.1720;137.2059;137.2080;137.2080;137.2095;137.2095;137.2100;137.2109;137.2124;137.2124;137.2124;137.2133;137.2135;137.2142;137.2150;137.2150;137.2150;137.2152;137.2154;137.2154;137.2156;137.2158;137.2158;137.2160;137.2160;137.2161;137.2164;137.2164;137.2164;137.2165;137.2165;137.2165;137.2165;137.2166;137.2168;137.2168;137.2168;137.2168;137.2173;137.2173;137.2188;137.2188;137.2188;137.2188;137.2188;137.2188;137.2189;137.2189;137.2189;137.2189;137.2189;137.2189;137.2189;137.2189;137.2189;137.2189;137.2189;137.2189;137.2189;137.2189;137.2189;137.2189;137.2189;137.2189
LXSSA,16,3,6030,135.37783361945426,149.2632720953485,True,333.7571553546113,6.206611442999929,371.79 200.34;-511.61 321.51;-20.55 155.84;208.57 -751.71;124.12 819.60;-353.28 -466.07;748.51 273.12;155.58 464.13;-754.33 -158.50;190.53 -102.69;-350.69 -8.23;614.13 -216.87;-201.01 601.09;881.31 -449.80;540.65 559.62;-734.69 -655.85,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;134.2851;134.2851;134.5227;134.7860;134.8435;134.8435;134.8435;134.8435;134.8435;134.8435;134.8435;134.8435;134.9001;134.9001;134.9001;134.9001;134.9001;134.9001;134.9001;135.0469;135.0963;135.0963;135.1195;135.1195;135.1195;135.1195;135.1195;135.1479;135.1479;135.2315;135.2672;135.2736;135.3098;135.3098;135.3114;135.3114;135.3115;135.3127;135.3127;135.3668;135.3679;135.3679;135.3680;135.3702;135.3702;135.3714;135.3721;135.3725;135.3725;135.3731;135.3732;135.3733;135.3733;135.3738;135.3744;135.3744;135.3753;135.3753;135.3756;135.3756;135.3764;135.3764;135.3766;135.3766;135.3766;135.3766;135.3766;135.3767;135.3769;135.3769;135.3769;135.3770;135.3771;135.3771;135.3771;135.3771;135.3772;135.3772;135.3772;135.3772;135.3775;135.3775;135.3775;135.3775;135.3775;135.3775;135.3776;135.3776;135.3777;135.3777;135.3777;135.3777;135.3777;135.3777;135.3778;135.3778;135.3778;135.3778
LXSSA,16,4,6030,135.78333481029497,149.2632720953485,True,320.75657381951777,6.354360508999889,-364.79 90.55;567.11 -747.22;265.30 -280.46;626.04 -422.92;-537.87 751.54;-170.94 -194.28;34.31 -529.32;284.31 428.75;89.32 149.22;-214.45 539.54;-796.14 -183.85;-872.46 289.36;645.31 755.55;493.55 80.15;238.94 -776.32;-311.98 -504.51,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;134.7885;134.7885;134.7885;134.7885;134.7885;134.8703;134.8703;134.8703;134.8703;134.8703;134.8703;135.1840;135.1840;135.1961;135.1961;135.1961;135.1961;135.2136;135.2136;135.2429;135.2550;135.4427;135.4427;135.5589;135.5589;135.5589;135.5589;135.5589;135.5589;135.5745;135.5745;135.6257;135.6257;135.7213;135.7213;135.7213;135.7213;135.7218;135.7218;135.7220;135.7220;135.7522;135.7522;135.7524;135.7524;135.7537;135.7537;135.7537;135.7541;135.7541;135.7541;135.7541;135.7541;135.7543;135.7543;135.7545;135.7545;135.7551;135.7551;135.7554;135.7554;135.7562;135.7562;135.7569;135.7569;135.7571;135.7572;135.7812;135.7812;135.7826;135.7826;135.7826;135.7826;135.7826;135.7827;135.7827;135.7827;135.7827;135.7828;135.7828;135.7828;135.7828;135.7828;135.7829;135.7829;135.7829;135.7829;135.7829;135.7829;135.7830;135.7830;135.7833;135.7833;135.7833;135.7833;135.7833;135.7833;135.7833;135.7833;135.7833;135.7833;135.7833;135.7833;135.7833;135.7833
LXSSA,16,5,6030,136.36972109448536,149.2632720953485,False,317.10834048870174,6.013104334999298,-734.96 586.63;341.11 609.16;679.56 527.22;643.01 171.00;-233.50 -175.85;-233.78 -514.18;705.94 -748.17;-214.08 833.19;-534.58 834.67;368.75 -47.43;-99.36 -819.95;-672.36 273.25;-373.98 125.93;-783.40 -25.48;740.47 838.43;-682.52 -502.99,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
LXSSA,16,6,6030,136.15173766190634,149.2632720953485,True,322.21083263868053,6.255041321001045,749.03 746.32;-74.23 427.89;-539.22 22.04;541.82 63.82;-38.65 -218.27;-157.08 98.77;383.21 -462.42;-186.69 -538.07;-531.77 -672.45;-648.32 831.57;-676.54 -284.62;671.67 -628.89;272.02 -771.89;-338.59 730.33;666.28 -270.73;-49.54 -829.63,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;135.1078;135.1488;135.1488;135.4295;135.4295;135.5815;135.9307;135.9307;135.9307;135.9492;135.9492;135.9861;136.0673;136.0962;136.0965;136.0965;136.0965;136.1346;136.1379;136.1379;136.1389;136.1389;136.1389;136.1393;136.1393;136.1403;136.1403;136.1408;136.1426;136.1426;136.1426;136.1432;136.1432;136.1434;136.1434;136.1437;136.1437;136.1439;136.1439;136.1441;136.1442;136.1442;136.1449;136.1449;136.1449;136.1450;136.1452;136.1452;136.1452;136.1453;136.1457;136.1457;136.1465;136.1465;136.1467;136.1467;136.1473;136.1473;136.1492;136.1492;136.1506;136.1506;136.1512;136.1512;136.1517;136.1517;136.1517;136.1517;136.1517;136.1517;136.1517;136.1517;136.1517;136.1517;136.1517;136.1517
LXSSA,16,7,6030,135.62455997263712,149.2632720953485,True,320.1883917265142,5.999854540999877,-27.92 -426.01;416.37 298.92;-796.33 -66.05;450.11 626.42;-905.90 678.54;-871.48 249.47;109.63 626.41;309.68 -630.75;253.87 -266.65;658.14 -693.23;-498.75 72.62;-602.66 459.55;84.84 302.76;469.02 -16.91;-748.96 -629.99;49.67 -833.08,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;135.2240;135.3113;135.3491;135.3491;135.3930;135.4279;135.4537;135.4615;135.4880;135.5609;135.5613;135.6066;135.6068;135.6092;135.6093;135.6126;135.6173;135.6173;135.6173;135.6185;135.6186;135.6205;135.6205;135.6209;135.6215;135.6215;135.6215;135.6221;135.6221;135.6224;135.6228;135.6228;135.6236;135.6236;135.6236;135.6237;135.6237;135.6239;135.6240;135.6240;135.6241;135.6241;135.6241;135.6242;135.6242;135.6243;135.6243;135.6243;135.6243;135.6243;135.6244;135.6244;135.6244;135.6244;135.6244;135.6245;135.6245;135.6245;135.6245;135.6245;135.6245;135.6245;135.6245;135.6245;135.6245;135.6245;135.6246;135.6246;135.6246;135.6246;135.6246;135.6246;135.6246;135.6246
LXSSA,16,8,6030,136.98486301960955,149.2632720953485,True,324.7371089107688,5.687297137999849,-785.59 -374.74;119.71 491.29;42.53 -715.45;640.16 -638.00;572.06 211.23;177.28 821.85;765.31 574.84;-905.93 831.67;-759.11 -15.54;-317.13 -478.96;832.89 -165.93;-262.58 -147.54;-177.43 194.59;101.41 -245.88;-300.82 713.85;480.58 -100.36,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;136.1408;136.1408;136.1408;136.1408;136.1408;136.1408;136.1408;136.1408;136.2050;136.2050;136.2050;136.2050;136.2050;136.2050;136.2050;136.2050;136.2517;136.2517;136.2517;136.2517;136.2518;136.2518;136.2551;136.2551;136.2655;136.2655;136.4262;136.4262;136.4262;136.4262;136.4622;136.4622;136.4622;136.4622;136.4622;136.4622;136.4622;136.4622;136.4622;136.4622;136.4810;136.4912;136.5915;136.5915;136.6020;136.6952;136.7808;136.7841;136.7874;136.7874;136.7874;136.8409;136.8409;136.8409;136.8412;136.8495;136.8918;136.8918;136.9482;136.9482;136.9482;136.9482;136.9487;136.9487;136.9492;136.9503;136.9503;136.9513;136.9513;136.9513;136.9516;136.9520;136.9520;136.9520;136.9521;136.9523;136.9524;136.9525;136.9525;136.9527;136.9527;136.9528;136.9528;136.9528;136.9529;136.9529;136.9530;136.9530;136.9534;136.9534;136.9535;136.9535;136.9829;136.9829;136.9837;136.9837;136.9842;136.9842;136.9843;136.9843;136.9844;136.9844;136.9844;136.9844;136.9844;136.9844;136.9845;136.9845;136.9845;136.9845;136.9845;136.9845;136.9845;136.9845;136.9846;136.9846;136.9846;136.9846;136.9849;136.9849
LXSSA,16,9,6030,135.97441870410128,149.2632720953485,False,318.72446995183367,5.98014784499901,-768.02 -579.72;318.62 -517.02;-862.31 410.35;-393.08 -754.82;-601.88 96.04;-696.00 717.75;670.74 -835.31;268.95 467.27;693.58 639.35;619.22 328.78;52.25 -726.59;829.44 85.48;680.53 -197.13;666.19 -516.62;-282.67 79.29;-250.71 509.82,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
LXSSA,16,10,6030,136.3707665637433,149.2632720953485,True,320.4699006636945,5.996832783999707,-335.17 373.84;671.64 331.78;-580.30 -395.11;-117.63 686.00;36.72 -517.70;-767.43 718.47;390.00 786.06;606.20 -225.61;341.95 -406.92;-635.81 -25.29;258.05 -90.12;149.52 -823.90;140.03 310.57;736.05 689.20;-189.65 -262.22;608.09 -762.84,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;135.2999;135.2999;135.6789;135.6789;135.6789;135.6789;135.6789;135.6789;135.6789;135.6789;135.6789;135.6789;135.6789;135.6789;135.7339;135.7725;135.7725;135.7725;136.0129;136.0129;136.1651;136.1651;136.1651;136.1651;136.1653;136.1653;136.1686;136.1686;136.2482;136.2482;136.2482;136.2482;136.2482;136.2482;136.2482;136.2482;136.2482;136.2482;136.2484;136.3399;136.3399;136.3399;136.3399;136.3422;136.3544;136.3544;136.3554;136.3554;136.3554;136.3562;136.3563;136.3567;136.3584;136.3584;136.3585;136.3593;136.3596;136.3597;136.3597;136.3603;136.3604;136.3608;136.3628;136.3628;136.3631;136.3631;136.3661;136.3661;136.3671;136.3671;136.3689;136.3689;136.3698;136.3698;136.3698;136.3699;136.3699;136.3700;136.3700;136.3700;136.3700;136.3700;136.3700;136.3701;136.3704;136.3704;136.3705;136.3705;136.3705;136.3705;136.3706;136.3706;136.3707;136.3707;136.3707;136.3707;136.3707;136.3707;136.3707;136.3707;136.3707;136.3707;136.3708;136.3708;136.3708;136.3708
