Algorithm,Dataset,Radius,Turbines,Seed,Calls,Objective,Ideal,WakeLoss,Feasible,MinSpacing,Seconds,Coordinates,Curve
LXVNS25,1,500,6,1,6030,83413.1123604503,84274.42421840897,861.3118579586735,True,344.29901482145834,2.2234095169999364,-458.631 -33.605;-273.452 -415.835;-25.049 68.623;372.916 -120.195;407.207 270.635;218.905 -428.128,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;81254.054;81254.054;81254.054;81254.054;81367.620;81367.620;81367.620;81367.620;81367.620;81367.620;81367.908;82057.036;82057.036;82074.392;82174.933;82174.933;82212.324;82212.324;82212.324;82216.492;82217.758;82218.847;82282.714;82282.714;82348.632;82348.632;82348.632;82348.705;82352.689;82352.689;82357.125;82357.125;82357.125;82357.129;82357.132;82357.132;82357.133;82357.133;82786.235;82789.934;82798.980;82798.980;82798.980;82798.980;82798.980;82798.980;82804.730;82804.730;82810.436;82810.436;82810.436;82810.436;82810.436;82810.436;82810.436;83175.746;83238.029;83238.029;83238.029;83238.029;83238.029;83260.282;83293.551;83293.551;83293.551;83293.551;83293.551;83293.551;83293.551;83293.551;83334.614;83349.484;83349.484;83349.484;83349.484;83349.484;83349.484;83349.484;83349.484;83362.114;83362.194;83362.194;83362.194;83362.194;83362.194;83362.194;83362.194;83368.995;83368.995;83368.995;83369.964;83371.074;83371.074;83371.074;83371.074;83371.074;83371.074;83371.074;83371.074;83407.463;83409.377;83409.377;83409.377;83409.377;83409.377;83409.377;83409.377;83409.377;83409.377;83409.377;83409.377;83409.377;83409.377;83409.377;83409.377;83409.377;83409.377;83409.377;83409.377;83409.377;83409.377;83409.377;83409.377;83409.377;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112;83413.112
LXVNS25,1,500,6,2,6030,83571.49706867538,84274.42421840897,702.9271497335867,True,314.0990433505115,2.17357483700016,357.195 318.844;250.230 -431.984;-95.093 165.453;-271.469 -418.326;492.092 35.188;23.312 -159.877,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;80942.891;80942.891;82184.995;82184.995;82300.918;82300.918;82310.526;82330.495;82330.495;82330.495;82330.495;82333.360;82336.318;82336.318;82337.136;82337.136;82338.840;82338.840;82339.241;82339.241;82340.125;82340.125;82342.573;82342.573;82342.573;82342.577;82342.594;82342.594;82342.594;82342.595;82393.105;82417.895;82450.632;82450.821;82450.821;82450.821;82548.508;83203.226;83203.226;83203.226;83203.226;83203.226;83203.226;83203.226;83212.498;83212.498;83212.498;83274.968;83274.968;83274.968;83274.968;83278.695;83278.695;83278.695;83278.695;83278.695;83278.695;83278.695;83278.695;83278.695;83278.695;83278.695;83278.695;83282.984;83282.984;83282.984;83282.984;83282.984;83282.984;83282.984;83282.984;83282.984;83282.984;83282.984;83290.373;83290.539;83290.539;83302.301;83302.301;83302.301;83302.301;83302.301;83302.301;83302.301;83302.301;83302.301;83302.301;83302.301;83302.540;83302.540;83302.540;83302.540;83302.540;83302.540;83302.540;83302.540;83302.540;83302.540;83325.480;83342.540;83557.593;83557.684;83557.684;83557.684;83557.684;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.262;83558.813;83571.209;83571.209;83571.209;83571.209;83571.209;83571.497;83571.497;83571.497;83571.497;83571.497;83571.497;83571.497;83571.497;83571.497;83571.497;83571.497;83571.497;83571.497;83571.497;83571.497;83571.497;83571.497;83571.497;83571.497;83571.497;83571.497;83571.497;83571.497;83571.497;83571.497;83571.497;83571.497
LXVNS25,1,500,6,3,6030,83875.82897538785,84274.42421840897,398.5952430211182,True,317.22326961692096,2.1591686669999035,139.908 -479.785;397.101 156.630;-475.903 151.317;-328.781 -260.056;-134.229 214.711;2.926 -193.662,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;80442.994;80442.994;80442.994;80442.994;80442.994;80442.994;81954.699;81954.699;81954.699;83386.139;83386.139;83390.668;83390.668;83392.296;83392.296;83394.562;83395.820;83395.820;83395.820;83396.090;83397.312;83397.312;83398.114;83398.114;83398.150;83398.150;83398.150;83398.155;83398.265;83398.265;83398.289;83398.289;83398.289;83398.289;83398.289;83398.289;83398.289;83398.289;83398.289;83398.289;83415.123;83415.123;83415.123;83415.123;83415.123;83472.772;83769.702;83769.702;83769.702;83769.702;83769.702;83779.623;83780.012;83780.012;83780.012;83780.012;83807.252;83807.413;83807.413;83807.413;83807.413;83807.413;83807.413;83808.334;83809.851;83809.851;83809.851;83811.491;83811.552;83811.552;83811.552;83811.552;83811.552;83811.552;83811.552;83811.552;83811.552;83811.552;83811.552;83811.552;83863.078;83863.078;83863.078;83863.078;83863.078;83863.078;83863.078;83863.078;83863.078;83863.078;83863.078;83863.078;83863.078;83863.078;83864.469;83864.490;83864.490;83864.490;83864.490;83864.490;83864.490;83864.490;83864.490;83864.490;83864.490;83864.490;83864.490;83864.490;83864.490;83864.490;83864.490;83864.490;83864.490;83864.490;83864.490;83864.490;83864.490;83865.694;83865.694;83865.694;83865.694;83865.694;83865.694;83865.694;83865.694;83865.694;83865.694;83865.694;83865.694;83865.694;83865.694;83865.694;83865.694;83865.694;83865.694;83865.694;83865.694;83865.694;83865.694;83867.650;83867.650;83867.650;83867.650;83872.069;83872.069;83872.069;83872.069;83872.069;83872.069;83872.069;83872.069;83872.069;83872.069;83872.069;83872.069;83872.069;83872.069;83872.069;83872.069;83872.069;83872.069;83872.737;83872.737;83872.737;83872.737;83872.737;83872.737;83872.737;83872.737;83872.737;83872.737;83872.737;83872.737;83874.252;83874.267;83874.267;83874.267;83874.267;83874.267;83874.267;83874.267;83875.156;83875.829;83875.829
LXVNS25,1,500,6,4,6030,83812.70074711135,84274.42421840897,461.72347129762056,True,326.48058681377375,2.2451520960000835,-346.147 -284.684;53.834 396.442;373.856 331.824;238.979 -57.560;-166.504 136.336;60.157 -442.325,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;78967.987;78967.987;80519.240;80519.240;80760.218;80913.007;81023.989;81594.797;81594.797;81650.750;81656.620;81690.635;81690.635;81690.635;81691.589;81700.165;81700.165;81710.903;81710.903;81710.955;81711.011;81711.861;81711.861;81711.891;81711.891;81712.499;81712.499;81713.528;81713.528;81838.539;81838.539;81838.539;81838.539;81838.539;81838.539;81838.539;81838.539;81838.539;82077.614;82112.060;82691.489;82691.489;82691.489;82691.489;82691.489;82725.957;82725.957;82725.957;82725.957;82725.957;82725.957;82725.957;82725.957;82725.957;82725.957;82725.957;82725.957;82725.957;82725.957;82725.957;82725.957;82725.957;82725.957;83067.042;83067.042;83067.042;83067.042;83067.042;83067.042;83067.042;83067.042;83067.042;83067.042;83067.042;83067.042;83067.042;83067.042;83067.042;83067.042;83067.042;83067.042;83067.042;83067.042;83067.042;83067.042;83067.042;83072.454;83080.533;83080.533;83080.533;83080.533;83080.533;83111.667;83111.667;83119.234;83119.234;83699.083;83699.083;83699.083;83699.083;83699.083;83699.083;83699.083;83699.083;83699.083;83699.083;83699.083;83699.083;83699.083;83699.083;83699.083;83699.083;83699.083;83699.083;83699.083;83699.083;83699.083;83699.083;83699.083;83699.083;83699.083;83699.083;83699.083;83699.083;83699.083;83699.083;83699.083;83699.083;83699.083;83699.083;83715.724;83766.963;83766.963;83766.963;83766.963;83766.963;83766.963;83767.596;83767.596;83767.596;83791.075;83791.075;83791.075;83791.075;83791.075;83791.075;83791.075;83792.234;83792.234;83792.234;83792.234;83792.234;83792.735;83792.735;83792.735;83792.735;83792.735;83792.735;83800.063;83804.523;83805.577;83812.701;83812.701;83812.701;83812.701;83812.701;83812.701;83812.701;83812.701;83812.701;83812.701;83812.701;83812.701;83812.701;83812.701;83812.701;83812.701;83812.701;83812.701
LXVNS25,1,500,6,5,6030,83903.14553605951,84274.42421840897,371.27868234945345,True,326.96830322521186,2.1236283850000746,-287.488 -331.985;-76.608 464.530;-484.990 99.540;165.999 -54.668;360.599 324.775;489.802 -100.058,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;83094.357;83094.357;83094.357;83094.357;83522.822;83522.822;83566.165;83566.165;83566.165;83566.165;83570.086;83624.526;83624.598;83626.043;83631.933;83631.933;83631.933;83634.592;83637.706;83637.706;83638.847;83638.847;83638.847;83638.899;83639.046;83639.046;83639.046;83639.078;83639.087;83639.089;83639.092;83639.092;83639.094;83639.094;83639.094;83639.094;83639.098;83639.098;83672.119;83672.119;83672.119;83672.862;83672.862;83672.862;83674.435;83674.435;83677.017;83677.017;83677.017;83677.017;83677.017;83677.017;83677.017;83677.017;83678.305;83679.556;83681.532;83681.532;83681.532;83686.896;83686.896;83686.896;83686.896;83704.772;83706.763;83712.019;83712.019;83712.019;83712.019;83712.019;83712.019;83714.698;83714.698;83719.439;83725.901;83725.901;83725.901;83725.901;83725.901;83725.901;83725.901;83725.901;83725.901;83725.901;83732.861;83732.861;83732.861;83732.861;83732.861;83732.861;83732.861;83732.861;83732.861;83732.861;83732.861;83732.861;83753.230;83753.230;83753.230;83753.230;83753.230;83753.230;83753.230;83753.230;83753.230;83753.230;83753.230;83753.230;83753.230;83753.230;83753.230;83753.230;83753.230;83753.230;83753.230;83753.230;83756.299;83756.299;83756.299;83756.299;83756.299;83756.299;83756.299;83757.420;83757.420;83757.420;83757.420;83760.276;83760.413;83760.413;83760.413;83760.413;83760.413;83760.413;83760.413;83760.413;83760.413;83760.413;83760.413;83762.287;83762.287;83762.287;83762.287;83762.287;83762.287;83762.287;83762.287;83762.287;83762.287;83762.287;83762.287;83762.287;83762.287;83762.287;83762.287;83762.287;83762.287;83762.287;83762.287;83762.287;83762.287;83762.287;83762.287;83762.287;83762.287;83762.287;83762.287;83762.287;83762.287;83762.287;83762.287;83762.287;83903.088;83903.146;83903.146;83903.146;83903.146;83903.146;83903.146;83903.146;83903.146;83903.146;83903.146;83903.146;83903.146;83903.146;83903.146;83903.146
LXVNS25,1,500,6,6,6030,83955.48584009643,84274.42421840897,318.9383783125377,True,413.9640272001891,2.202150149999852,483.658 -124.935;-487.755 90.719;340.893 316.099;-85.151 404.603;-296.744 -399.023;110.202 -323.121,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;82297.784;82297.784;82877.940;82877.940;82969.698;82969.698;83407.641;83407.641;83407.641;83778.316;83830.967;83857.511;83857.511;83858.899;83858.899;83859.199;83859.701;83859.701;83860.011;83860.011;83860.011;83860.110;83860.237;83860.237;83860.366;83860.366;83860.410;83860.410;83860.429;83860.429;83860.460;83860.460;83860.491;83860.491;83860.531;83860.531;83888.473;83888.473;83888.473;83888.473;83888.473;83888.473;83888.473;83890.509;83890.509;83890.509;83894.796;83894.796;83939.571;83939.571;83939.571;83939.571;83939.571;83939.571;83939.571;83939.571;83939.571;83939.571;83939.571;83939.571;83939.571;83939.571;83939.571;83939.571;83939.571;83939.571;83939.571;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83939.635;83941.062;83941.062;83941.062;83941.062;83941.062;83941.062;83941.270;83941.270;83941.270;83941.270;83941.270;83941.270;83941.270;83950.948;83950.948;83951.650;83951.650;83951.650;83951.650;83951.650;83951.650;83951.650;83951.650;83951.650;83951.852;83954.920;83954.920;83954.920;83954.920;83954.920;83954.920;83954.920;83954.920;83954.920;83954.920;83954.920;83954.920;83954.920;83954.920;83954.920;83954.920;83954.920;83954.920;83954.920;83954.920;83954.920;83954.920;83954.920;83954.920;83954.920;83954.920;83954.920;83954.920;83954.920;83954.920;83954.920;83954.920;83955.486;83955.486;83955.486;83955.486;83955.486;83955.486;83955.486;83955.486;83955.486;83955.486;83955.486;83955.486;83955.486;83955.486;83955.486;83955.486;83955.486;83955.486;83955.486;83955.486
LXVNS25,1,500,6,7,6030,83858.3811556078,84274.42421840897,416.04306280116725,True,315.08145252638315,2.1172720129998197,16.803 464.209;222.135 -196.292;-124.875 40.182;480.635 34.549;-293.939 -400.948;-292.463 403.952,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;80867.998;80867.998;80867.998;80870.065;80870.065;82654.094;82654.094;82744.099;82775.542;82868.528;82917.160;82917.160;82917.160;82917.826;82924.374;82929.806;82929.806;82929.806;82930.850;82931.821;82931.821;82932.902;82932.902;82933.529;82933.529;82933.529;82933.561;82933.626;82933.626;82933.626;82933.629;82933.670;82933.670;82933.670;82933.671;82933.671;82933.671;82933.671;82933.671;82933.671;82933.671;82933.671;82934.894;82986.675;83032.145;83057.366;83057.366;83057.366;83057.366;83057.366;83057.366;83057.366;83057.366;83099.951;83099.951;83099.951;83099.951;83099.951;83099.951;83099.951;83099.951;83099.951;83099.951;83099.951;83099.951;83099.951;83099.951;83099.951;83099.951;83099.951;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83103.889;83109.537;83151.838;83153.774;83834.584;83834.584;83834.584;83834.584;83835.044;83835.044;83835.044;83835.044;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83847.927;83849.033;83849.033;83849.033;83849.033;83849.033;83849.033;83858.381;83858.381;83858.381;83858.381;83858.381;83858.381;83858.381;83858.381;83858.381;83858.381;83858.381;83858.381;83858.381
LXVNS25,1,500,6,8,6030,83943.31595873149,84274.42421840897,331.1082596774795,True,397.13380526704475,2.1258481089998895,-476.316 -142.143;-289.345 324.088;-86.233 -67.638;55.684 -495.254;288.401 403.231;478.853 -127.087,nan;nan;nan;nan;nan;nan;nan;81570.001;81570.001;81570.001;81570.001;81570.001;81570.001;81602.419;81602.419;83508.191;83508.191;83508.191;83508.191;83527.481;83527.481;83602.054;83602.054;83614.292;83617.529;83617.529;83617.529;83617.529;83623.476;83628.682;83628.682;83645.634;83645.634;83835.557;83835.557;83867.028;83867.028;83867.028;83867.079;83867.079;83867.109;83867.109;83867.113;83867.496;83867.496;83867.496;83867.497;83867.497;83867.497;83867.523;83867.523;83867.523;83873.273;83878.502;83878.502;83886.659;83886.988;83886.988;83886.988;83887.870;83887.870;83887.870;83887.870;83887.870;83887.870;83895.549;83895.549;83895.549;83895.549;83899.103;83899.103;83899.103;83899.103;83899.103;83899.103;83899.103;83899.633;83899.633;83899.633;83899.633;83899.633;83899.633;83899.633;83936.562;83936.562;83936.562;83936.562;83936.562;83936.562;83936.562;83936.562;83936.562;83936.562;83936.562;83936.562;83936.562;83936.562;83936.562;83936.562;83936.562;83936.562;83936.562;83936.562;83936.562;83937.313;83937.313;83937.313;83937.313;83937.313;83937.313;83937.313;83937.313;83937.313;83937.313;83937.313;83937.313;83937.313;83937.313;83937.313;83937.313;83937.313;83937.313;83937.313;83937.313;83937.313;83937.313;83937.313;83937.313;83937.313;83937.313;83937.313;83937.313;83937.313;83937.313;83937.313;83937.313;83937.313;83937.313;83937.313;83937.313;83937.313;83937.923;83937.923;83937.923;83937.923;83937.923;83937.923;83938.412;83938.412;83938.412;83941.083;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83941.129;83943.316;83943.316;83943.316;83943.316
LXVNS25,1,500,6,9,6030,83923.35019988565,84274.42421840897,351.0740185233153,True,439.39750509301666,2.1790367670000705,-342.426 343.990;193.869 458.604;-123.736 -475.261;-491.000 -94.032;24.174 -61.506;466.689 -165.226,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;82494.643;82494.643;82562.853;82562.853;82562.853;82562.853;83287.441;83287.441;83287.441;83287.441;83287.441;83368.028;83382.073;83382.073;83382.073;83398.295;83398.295;83424.580;83473.388;83474.178;83474.178;83476.575;83476.597;83476.949;83477.921;83477.921;83477.921;83478.045;83478.045;83478.084;83478.084;83478.102;83478.102;83478.111;83478.111;83478.112;83478.238;83478.238;83478.238;83478.238;83839.554;83839.554;83839.554;83839.554;83839.554;83839.554;83839.554;83842.939;83844.341;83846.515;83846.515;83846.515;83846.515;83846.515;83846.515;83846.575;83846.596;83846.596;83847.254;83847.254;83847.254;83847.254;83847.254;83849.129;83852.284;83852.284;83862.399;83862.399;83862.399;83862.399;83862.399;83881.597;83881.597;83881.597;83881.597;83881.597;83881.597;83881.597;83881.597;83881.597;83881.597;83881.981;83881.981;83881.981;83881.981;83881.981;83881.981;83881.981;83882.685;83882.685;83882.685;83882.685;83884.076;83884.076;83884.076;83884.076;83884.076;83884.076;83884.076;83884.076;83884.076;83884.076;83884.076;83884.076;83894.061;83894.106;83894.106;83894.106;83894.106;83894.106;83895.424;83895.424;83898.242;83898.242;83898.242;83898.242;83898.242;83898.242;83898.242;83898.242;83898.242;83898.242;83898.242;83898.242;83898.242;83898.242;83898.242;83898.242;83898.242;83898.242;83898.242;83898.242;83898.242;83898.242;83898.242;83898.242;83898.242;83898.242;83898.242;83898.242;83898.242;83898.977;83898.977;83914.133;83914.781;83914.781;83914.781;83914.781;83914.781;83914.781;83914.781;83921.161;83921.161;83921.161;83921.161;83921.161;83921.161;83923.293;83923.350;83923.350;83923.350;83923.350;83923.350;83923.350;83923.350;83923.350;83923.350;83923.350;83923.350;83923.350;83923.350;83923.350;83923.350;83923.350;83923.350;83923.350;83923.350;83923.350;83923.350;83923.350;83923.350;83923.350;83923.350;83923.350;83923.350;83923.350;83923.350;83923.350;83923.350;83923.350
LXVNS25,1,500,6,10,6030,83353.89923752855,84274.42421840897,920.5249808804219,True,314.8251842609339,2.1426167340000575,-282.434 366.253;-286.179 -409.118;424.266 261.229;377.405 -152.047;126.663 158.530;-11.377 -217.609,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;77170.190;77170.190;78141.121;78141.121;80029.580;80029.580;80029.580;80053.603;80115.197;80115.197;80117.353;80117.353;80122.143;80124.198;80127.066;80130.516;80133.516;80133.516;80134.065;80134.149;80134.879;80134.879;80134.879;80135.011;80135.527;80135.527;80135.527;80135.539;80135.687;80135.687;80136.182;80136.182;80456.973;80456.973;80456.973;80456.973;80456.973;80456.973;80456.973;80456.973;80504.916;80504.916;80504.916;80504.916;80504.916;80504.916;81578.204;81578.204;81578.204;81578.204;81578.204;81578.204;81578.204;81578.204;81578.204;81578.204;81578.204;81578.204;81607.603;81607.603;81607.603;81607.603;81613.343;81613.343;81613.343;81613.343;81613.343;81613.343;81613.343;81613.343;81613.343;81613.343;81645.880;81645.880;81645.880;81645.880;81645.880;81645.880;81649.070;81676.949;82290.821;82290.821;82290.821;82290.821;82315.818;82315.818;82315.818;82315.818;82315.818;82315.818;82315.818;82315.818;82315.818;82315.818;82352.624;82352.624;82352.624;82352.624;82352.624;82352.624;82352.624;82352.624;82354.371;82355.017;82357.580;82927.967;82928.152;82928.152;82928.152;82929.836;83162.534;83163.118;83186.145;83186.145;83186.145;83186.145;83186.145;83231.395;83231.395;83231.395;83231.395;83231.395;83231.395;83231.395;83231.395;83231.395;83236.136;83236.136;83236.136;83236.136;83236.136;83236.136;83236.136;83236.136;83236.136;83236.136;83236.136;83236.136;83236.136;83236.136;83236.136;83236.136;83236.136;83236.136;83270.899;83270.899;83270.899;83270.899;83332.745;83332.745;83332.745;83332.745;83332.745;83332.745;83332.745;83333.651;83333.651;83348.478;83348.478;83348.478;83348.969;83352.751;83353.899;83353.899;83353.899;83353.899;83353.899;83353.899;83353.899;83353.899;83353.899;83353.899;83353.899;83353.899;83353.899;83353.899;83353.899;83353.899;83353.899;83353.899;83353.899;83353.899
