Algorithm,Dataset,Radius,Turbines,Seed,Calls,Objective,Ideal,WakeLoss,Feasible,MinSpacing,Seconds,Coordinates,Curve
BVNS,1,500,2,1,6030,28091.474739469657,28091.474739469657,0.0,True,933.9501904844934,1.647856418999993,-471.774 22.894;433.596 -206.386,28080.978;28082.469;28082.913;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475
BVNS,1,500,2,2,6030,28091.474739469657,28091.474739469657,0.0,True,871.6897683949726,1.665263890999995,35.604 453.742;44.208 -417.905,28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475
BVNS,1,500,2,3,6030,28091.474739469657,28091.474739469657,0.0,True,994.359529814421,1.6658943639999961,475.971 143.594;-485.209 -111.127,28079.947;28081.657;28082.740;28083.126;28083.280;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475
BVNS,1,500,2,4,6030,28091.474739469657,28091.474739469657,0.0,True,950.7862827340939,1.7930778869999813,479.616 -1.431;-441.816 232.999,28082.269;28082.728;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475
BVNS,1,500,2,5,6030,28091.474739469657,28091.474739469657,0.0,True,985.1422243186627,1.6339248440000347,-476.781 141.987;475.000 -112.214,28083.246;28083.359;28083.406;28083.410;28083.412;28083.412;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475
BVNS,1,500,2,6,6030,28091.474739469657,28091.474739469657,0.0,True,822.7278284642205,1.6177454510000189,-445.525 218.637;377.171 211.407,28079.584;28081.374;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475
BVNS,1,500,2,7,6030,28091.474739469657,28091.474739469657,0.0,True,975.0254476472329,1.6628949650000209,-455.748 -192.929;487.830 52.705,28079.641;28081.419;28082.541;28082.940;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475
BVNS,1,500,2,8,6030,28091.474739469657,28091.474739469657,0.0,True,969.2284019415928,1.7463821890000304,439.204 223.383;-496.243 -30.275,28080.057;28081.743;28082.491;28082.934;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475
BVNS,1,500,2,9,6030,28091.474739469657,28091.474739469657,0.0,True,784.6288035869177,1.8417784069999925,-262.727 -374.141;417.193 17.460,28068.857;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475
BVNS,1,500,2,10,6030,28091.474739469657,28091.474739469657,0.0,True,975.6063178544479,1.661894659999973,-483.552 -50.308;462.621 187.526,28080.914;28082.418;28083.129;28083.244;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475
