Algorithm,Turbines,Seed,Calls,AEP,IdealAEP,Feasible,MinSpacing,Seconds,Coordinates,Curve
BVNS,16,1,6030,138.43014666848748,149.2632720953485,True,326.1899651001491,5.589771603000145,811.52 237.56;577.29 -834.13;911.54 -808.60;-276.66 834.47;-867.61 597.16;680.09 -116.48;-465.30 523.97;-6.39 -689.96;718.85 748.62;7.63 674.53;-153.63 344.70;-183.64 -2.43;-638.85 830.21;-388.29 -749.70;-727.15 -834.30;404.52 123.18,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;137.0117;137.2035;137.3447;137.3858;137.4805;137.5134;137.6133;137.6591;137.7210;137.7937;137.8052;137.9187;137.9187;137.9719;138.0412;138.0792;138.0792;138.0985;138.0985;138.1100;138.1118;138.1233;138.1233;138.1288;138.1289;138.1289;138.1293;138.1488;138.1492;138.1492;138.1526;138.2577;138.2577;138.2577;138.2577;138.2585;138.2649;138.2657;138.2689;138.2689;138.2696;138.3874;138.3874;138.4150;138.4150;138.4163;138.4163;138.4171;138.4176;138.4184;138.4189;138.4196;138.4199;138.4216;138.4216;138.4226;138.4226;138.4226;138.4226;138.4230;138.4230;138.4230;138.4244;138.4244;138.4252;138.4252;138.4256;138.4260;138.4264;138.4267;138.4268;138.4273;138.4274;138.4274;138.4278;138.4280;138.4283;138.4285;138.4288;138.4289;138.4294;138.4296;138.4299;138.4300;138.4300;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301;138.4301
BVNS,16,2,6030,137.13441603980993,149.2632720953485,True,320.1050776714469,5.7240723350000735,-562.84 648.93;-904.27 653.07;0.40 -680.83;-298.40 395.04;-54.18 -352.94;-655.07 264.25;328.94 -831.67;619.17 -696.62;-666.42 -828.76;11.80 662.17;843.30 -27.95;-737.77 -60.28;-413.07 -359.65;-296.32 832.48;-335.09 -795.18;50.03 306.99,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;134.8024;135.1338;135.1391;135.1990;135.4721;135.4721;135.6154;135.6154;135.7905;135.7905;135.9820;135.9820;136.0054;136.0566;136.0715;136.0802;136.1090;136.1702;136.1702;136.2151;136.3470;136.3918;136.3918;136.3918;136.5460;136.5460;136.5460;136.5520;136.6073;136.6131;136.6155;136.6213;136.6213;136.6228;136.6228;136.7284;136.7284;136.7284;136.7284;136.7316;136.7585;136.7606;136.7652;136.7702;136.7749;136.7749;136.7749;136.8044;136.8044;136.8044;136.8044;136.8644;136.8644;136.8657;136.8808;136.8821;136.8845;136.8858;136.8880;136.8893;136.8893;136.9020;136.9020;136.9020;136.9032;136.9032;136.9397;136.9397;136.9419;136.9451;136.9473;136.9473;136.9473;136.9473;136.9545;136.9725;137.0316;137.0530;137.0602;137.0602;137.0602;137.0656;137.0656;137.0663;137.0673;137.0680;137.0680;137.0686;137.0686;137.0686;137.0697;137.0697;137.0701;137.1028;137.1028;137.1028;137.1058;137.1058;137.1079;137.1079;137.1090;137.1090;137.1094;137.1094;137.1101;137.1124;137.1131;137.1146;137.1152;137.1157;137.1163;137.1163;137.1163;137.1167;137.1167;137.1189;137.1189;137.1195;137.1195;137.1199;137.1199;137.1228;137.1228;137.1228;137.1344
BVNS,16,3,6030,137.16963213838702,149.2632720953485,True,322.03236112447223,5.843787433999978,153.38 416.15;-254.40 -819.23;-114.30 -247.45;91.64 -696.08;-565.37 573.32;-462.38 -213.44;855.06 -414.66;-779.86 310.43;147.18 57.26;-819.91 -159.06;-757.02 -569.65;384.38 -830.27;-369.70 832.56;843.44 -28.36;444.73 276.84;-11.66 706.17,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;135.1765;135.3681;135.3681;135.4736;135.5519;135.5791;135.6778;135.7605;135.8808;135.9652;136.0291;136.0291;136.1022;136.1265;136.1681;136.1681;136.1681;136.1833;136.1956;136.2108;136.3243;136.3243;136.3243;136.3709;136.4322;136.5103;136.5291;136.5360;136.6251;136.6508;136.6508;136.6508;136.6508;136.7109;136.7109;136.7215;136.7476;136.7476;136.7686;136.7686;136.7892;136.7892;136.7999;136.7999;136.7999;136.7999;136.8329;136.8507;136.8837;136.8851;136.8896;136.8902;136.8947;136.8947;136.9083;136.9083;136.9083;136.9119;136.9119;136.9119;136.9269;136.9269;136.9278;136.9958;136.9958;137.0449;137.0482;137.0805;137.0860;137.0879;137.0890;137.0899;137.0909;137.0927;137.0937;137.0961;137.0961;137.0970;137.0981;137.0981;137.0992;137.0998;137.1009;137.1009;137.1020;137.1020;137.1029;137.1030;137.1039;137.1039;137.1054;137.1290;137.1299;137.1300;137.1309;137.1319;137.1319;137.1338;137.1338;137.1347;137.1348;137.1356;137.1357;137.1384;137.1384;137.1394;137.1394;137.1402;137.1402;137.1422;137.1422;137.1434;137.1442;137.1442;137.1448;137.1448;137.1459;137.1459;137.1459;137.1551;137.1551;137.1551;137.1563;137.1563;137.1571;137.1576;137.1580;137.1588;137.1588;137.1597;137.1600;137.1610;137.1612;137.1622;137.1623;137.1629;137.1632;137.1639;137.1642;137.1649;137.1652;137.1659;137.1661;137.1661;137.1670;137.1670;137.1677;137.1677;137.1684;137.1684;137.1688;137.1696
BVNS,16,4,6030,137.4495368218971,149.2632720953485,True,323.57684083379957,5.696862231000068,-506.54 233.78;677.70 -825.08;136.80 -154.83;879.00 -313.19;-872.09 818.43;-286.80 -31.73;96.65 -516.39;342.82 490.31;142.60 192.47;-151.47 327.47;-809.41 -254.71;-859.64 163.40;693.59 816.31;690.21 19.79;524.14 -504.41;-410.18 -396.91,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;134.7240;134.9598;134.9598;135.1187;135.1187;135.2005;135.2741;135.4634;135.4634;135.5320;135.6230;135.6230;135.6420;135.7096;135.7939;135.9360;135.9410;135.9697;136.0036;136.0036;136.0142;136.0247;136.0366;136.0366;136.0719;136.0719;136.2047;136.2047;136.2047;136.2047;136.2146;136.2307;136.2854;136.2884;136.3484;136.3634;136.3741;136.3751;136.3975;136.3975;136.3975;136.4276;136.5525;136.6128;136.6689;136.7292;136.8265;136.8868;136.8868;136.8977;136.9574;136.9574;136.9797;136.9816;137.0041;137.0041;137.0041;137.0041;137.0352;137.0352;137.0352;137.0468;137.0468;137.1283;137.1283;137.1452;137.1676;137.1845;137.1845;137.2047;137.2047;137.2047;137.2047;137.2413;137.2413;137.2517;137.3009;137.3114;137.3174;137.3478;137.3538;137.3580;137.3685;137.3685;137.3713;137.3713;137.3757;137.3757;137.3757;137.3757;137.3776;137.3776;137.3788;137.3902;137.3914;137.3915;137.3947;137.3947;137.3955;137.3970;137.4206;137.4221;137.4221;137.4243;137.4249;137.4263;137.4263;137.4275;137.4276;137.4287;137.4295;137.4307;137.4314;137.4314;137.4326;137.4326;137.4348;137.4348;137.4354;137.4354;137.4358;137.4362;137.4362;137.4362;137.4380;137.4380;137.4386;137.4389;137.4397;137.4400;137.4400;137.4406;137.4408;137.4414;137.4415;137.4421;137.4423;137.4429;137.4429;137.4436;137.4436;137.4443;137.4443;137.4450;137.4450;137.4451;137.4457;137.4462;137.4472;137.4472;137.4479;137.4479;137.4484;137.4484;137.4495;137.4495
BVNS,16,5,6030,138.05984199298504,149.2632720953485,True,322.32146743329264,5.894173374000047,-843.11 804.20;675.33 678.83;-183.99 -49.29;604.87 293.64;-29.50 -494.31;-516.28 153.79;735.98 -281.90;165.75 831.75;-259.47 553.72;162.08 -211.23;-28.14 -818.69;126.78 441.72;-813.97 277.38;-729.36 -833.28;158.79 112.62;-647.95 -288.14,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;134.4194;134.5841;134.5841;134.8186;134.8758;135.0825;135.1100;135.2502;135.2502;135.3084;135.5592;135.6690;135.6690;135.7213;135.7586;135.7828;135.8064;135.8221;135.8783;135.9249;135.9582;135.9650;135.9891;135.9891;136.0219;136.0219;136.0677;136.0677;136.1898;136.1923;136.2544;136.2544;136.4023;136.4023;136.4136;136.4575;136.4575;136.4847;136.4847;136.4847;136.6129;136.6129;136.7289;136.7289;136.8460;136.8497;136.8497;137.0096;137.0096;137.0559;137.0559;137.0559;137.1425;137.1425;137.1425;137.1425;137.1994;137.1994;137.2014;137.2304;137.2330;137.2825;137.2920;137.2920;137.3588;137.3588;137.4029;137.4029;137.4029;137.4029;137.4029;137.4525;137.4639;137.5237;137.5971;137.6204;137.6204;137.6258;137.6258;137.7205;137.7205;137.7205;137.7501;137.7501;137.7875;137.7875;137.7875;137.7875;137.8164;137.8164;137.8469;137.8469;137.8495;137.8495;137.8562;137.8562;137.8595;137.8595;137.9020;137.9046;137.9070;137.9096;137.9172;137.9199;137.9199;137.9226;137.9226;137.9252;137.9252;137.9252;137.9252;137.9269;137.9275;138.0036;138.0045;138.0045;138.0063;138.0067;138.0085;138.0085;138.0339;138.0339;138.0363;138.0363;138.0379;138.0379;138.0396;138.0396;138.0420;138.0420;138.0434;138.0434;138.0435;138.0450;138.0450;138.0463;138.0463;138.0477;138.0477;138.0492;138.0492;138.0505;138.0505;138.0518;138.0518;138.0518;138.0524;138.0528;138.0552;138.0552;138.0565;138.0575;138.0588;138.0588;138.0594;138.0598
BVNS,16,6,6030,136.91491310964838,149.2632720953485,True,320.13552764559284,5.77702000499994,427.34 -305.61;-871.42 410.61;85.14 628.25;-779.11 817.12;-321.91 -792.42;-769.14 -361.61;-541.51 51.79;887.04 -552.06;-384.34 -441.31;-431.98 353.02;768.51 158.97;-237.53 -128.31;110.30 -131.20;-460.15 789.68;21.71 -820.99;142.03 -468.84,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;135.1882;135.1882;135.3164;135.3757;135.5014;135.5852;135.6639;135.6639;135.7341;135.7341;135.8245;135.8245;135.8496;135.8836;135.8836;135.9654;135.9654;136.0181;136.0181;136.1237;136.1237;136.1410;136.1410;136.1646;136.1646;136.1700;136.1727;136.2369;136.2921;136.2921;136.3003;136.3003;136.3005;136.3093;136.3095;136.3632;136.3632;136.4032;136.4032;136.4103;136.4298;136.4298;136.4298;136.4298;136.4361;136.4778;136.4880;136.5224;136.5224;136.6021;136.6021;136.6141;136.6141;136.6324;136.6324;136.6388;136.6388;136.6430;136.6440;136.6482;136.6482;136.6500;136.6543;136.6597;136.6597;136.6597;136.6819;136.6819;136.6851;136.7246;136.7277;136.7515;136.7546;136.7555;136.7587;136.7587;136.7622;136.7622;136.7622;136.7637;136.7637;136.7637;136.7637;136.7718;136.7718;136.7745;136.7745;136.8028;136.8028;136.8047;136.8050;136.8053;136.8072;136.8170;136.8170;136.8170;136.8189;136.8301;136.8320;136.8322;136.8341;136.8344;136.8363;136.8363;136.8363;136.8377;136.8377;136.8383;136.8390;136.8390;136.8402;136.8402;136.8452;136.8452;136.8464;136.8464;136.8484;136.8510;136.8510;136.8510;136.8530;136.8563;136.8563;136.8563;136.8563;136.8584;136.8600;136.8600;136.8600;136.8612;136.8612;136.9007;136.9007;136.9007;136.9015;136.9021;136.9021;136.9021;136.9050;136.9050;136.9079;136.9079;136.9096;136.9096;136.9096;136.9109;136.9109;136.9119;136.9119;136.9129;136.9130;136.9139;136.9140;136.9149;136.9149
BVNS,16,7,6030,138.15160270642184,149.2632720953485,True,325.46093791605807,5.909295042999929,-279.03 -398.06;702.37 352.08;-826.34 -3.58;567.90 780.40;-903.29 721.83;-888.37 396.71;193.77 805.73;260.63 -820.32;324.47 -462.44;645.50 -797.10;-284.66 356.50;-602.61 236.20;372.14 435.22;711.16 -166.79;-683.44 -469.96;-217.00 -802.13,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;136.7434;136.7434;136.9330;136.9397;137.1466;137.1466;137.1677;137.2645;137.2952;137.4093;137.4093;137.4568;137.5134;137.5608;137.7500;137.7685;137.8249;137.8434;137.8491;137.8656;137.8676;137.8676;137.8676;137.8676;137.9318;137.9318;137.9552;137.9552;137.9591;137.9877;137.9917;137.9917;137.9984;137.9984;137.9986;138.0013;138.0015;138.0015;138.0015;138.0407;138.0407;138.0407;138.0407;138.0418;138.0418;138.0418;138.0418;138.0432;138.0446;138.0447;138.0474;138.0474;138.0499;138.0499;138.0513;138.0514;138.0527;138.0527;138.0944;138.0944;138.0947;138.0955;138.0957;138.0962;138.0967;138.0984;138.0987;138.0999;138.1009;138.1013;138.1023;138.1028;138.1028;138.1030;138.1030;138.1036;138.1036;138.1041;138.1041;138.1087;138.1087;138.1115;138.1115;138.1115;138.1116;138.1143;138.1163;138.1163;138.1163;138.1177;138.1185;138.1199;138.1257;138.1271;138.1271;138.1271;138.1281;138.1301;138.1301;138.1301;138.1322;138.1322;138.1328;138.1328;138.1329;138.1329;138.1348;138.1348;138.1375;138.1375;138.1389;138.1389;138.1389;138.1403;138.1403;138.1404;138.1416;138.1418;138.1426;138.1431;138.1439;138.1439;138.1448;138.1448;138.1455;138.1456;138.1462;138.1462;138.1463;138.1471;138.1472;138.1477;138.1479;138.1484;138.1485;138.1485;138.1486;138.1487;138.1487;138.1501;138.1501;138.1502;138.1502;138.1516;138.1516
BVNS,16,8,6030,136.82703668428204,149.2632720953485,True,325.3692906670547,5.807601637999824,444.85 -167.93;196.03 493.60;-109.38 605.82;769.94 -762.50;782.30 475.16;345.70 818.17;792.47 94.15;-376.90 834.61;-558.65 189.20;-195.44 254.92;-734.82 620.38;-626.21 -489.83;-297.42 -791.33;465.26 285.65;102.80 -43.76;830.32 -257.79,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;134.8528;134.9575;135.0714;135.0714;135.2215;135.2215;135.3534;135.3534;135.4580;135.4580;135.5664;135.5664;135.6512;135.6705;135.7553;135.7553;135.8398;135.8398;135.8398;135.9064;135.9626;136.0478;136.0478;136.0478;136.0914;136.0914;136.1430;136.1564;136.1712;136.2891;136.2891;136.3320;136.3320;136.3387;136.3387;136.3387;136.3387;136.3428;136.3428;136.3756;136.3825;136.4566;136.4666;136.4666;136.4666;136.4666;136.4728;136.5634;136.5634;136.5695;136.5695;136.5695;136.5841;136.5841;136.5841;136.5937;136.5937;136.6437;136.6437;136.6498;136.6498;136.6534;136.6557;136.6585;136.7071;136.7099;136.7107;136.7107;136.7135;136.7135;136.7135;136.7152;136.7152;136.7188;136.7188;136.7188;136.7754;136.7760;136.7809;136.7905;136.7955;136.7955;136.7955;136.7986;136.7986;136.8014;136.8014;136.8026;136.8026;136.8026;136.8031;136.8046;136.8046;136.8046;136.8079;136.8079;136.8084;136.8110;136.8132;136.8132;136.8163;136.8163;136.8193;136.8193;136.8202;136.8202;136.8202;136.8207;136.8207;136.8207;136.8215;136.8221;136.8229;136.8229;136.8236;136.8236;136.8242;136.8243;136.8247;136.8249;136.8249;136.8254;136.8254;136.8259;136.8259;136.8262;136.8262;136.8266;136.8266;136.8270;136.8270;136.8270;136.8270;136.8270;136.8270;136.8270;136.8270;136.8270;136.8270;136.8270;136.8270;136.8270;136.8270;136.8270;136.8270;136.8270
BVNS,16,9,6030,138.72636697160775,149.2632720953485,True,326.06383641031533,5.7520075179998,-832.47 27.12;62.78 -738.09;-628.12 -587.06;-156.71 -484.15;-801.05 -297.42;-677.40 758.52;715.30 -824.63;375.69 131.39;804.06 196.99;161.02 381.96;-218.63 390.47;615.94 -147.33;760.46 648.30;889.93 -505.43;-57.51 800.84;305.75 707.38,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;136.3944;136.5355;136.5989;136.7399;136.7399;136.8860;136.9140;136.9622;137.0715;137.1197;137.2053;137.3085;137.3085;137.3784;137.3784;137.3787;137.4434;137.4434;137.4755;137.4816;137.5137;137.5342;137.5342;137.5663;137.5663;137.6473;137.6473;137.6483;137.6618;137.7568;137.7568;137.8055;137.8055;137.8055;137.8219;137.8219;137.8793;137.8793;137.8793;137.9942;137.9942;137.9997;137.9997;138.0306;138.0306;138.1543;138.2033;138.2033;138.3039;138.3039;138.3039;138.3039;138.3457;138.4013;138.4428;138.4891;138.4891;138.5305;138.5305;138.5369;138.5369;138.5369;138.5369;138.5462;138.5462;138.5790;138.5790;138.6030;138.6030;138.6112;138.6239;138.6321;138.6321;138.6321;138.6332;138.6332;138.6348;138.6513;138.6513;138.6513;138.6513;138.6513;138.6786;138.6786;138.6803;138.6805;138.6824;138.6826;138.6843;138.6843;138.6857;138.6875;138.6875;138.6907;138.6907;138.6927;138.6927;138.6945;138.6945;138.6958;138.6958;138.6964;138.6964;138.6984;138.6984;138.6986;138.6991;138.6991;138.6996;138.6996;138.6996;138.6996;138.7006;138.7090;138.7100;138.7100;138.7111;138.7111;138.7120;138.7120;138.7130;138.7131;138.7140;138.7140;138.7149;138.7150;138.7159;138.7159;138.7159;138.7168;138.7168;138.7174;138.7177;138.7177;138.7183;138.7187;138.7199;138.7208;138.7210;138.7219;138.7219;138.7219;138.7226;138.7228;138.7234;138.7234;138.7244;138.7250;138.7253;138.7258;138.7262;138.7264
BVNS,16,10,6030,138.51179086075737,149.2632720953485,True,327.0238923999241,5.807964913999967,-451.47 190.67;783.20 402.94;-471.49 -718.51;-60.19 814.84;334.83 -578.79;-872.94 833.45;423.18 615.77;831.10 68.75;860.26 -513.20;-775.58 -241.47;504.44 -290.31;83.56 -831.70;82.01 -282.55;751.03 728.37;-230.44 -172.43;737.83 -832.45,nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;137.0811;137.1580;137.2959;137.3030;137.4398;137.4475;137.4475;137.5225;137.5573;137.6539;137.7300;137.7726;137.8266;137.8692;137.8692;137.9070;137.9070;137.9713;137.9713;137.9713;138.0564;138.0564;138.1207;138.1674;138.2318;138.2318;138.2548;138.2548;138.2548;138.2548;138.2884;138.2884;138.2986;138.2996;138.3113;138.3219;138.3247;138.3262;138.3272;138.3402;138.3402;138.3446;138.3446;138.3488;138.3594;138.3637;138.3637;138.3665;138.3936;138.3963;138.4016;138.4043;138.4043;138.4083;138.4083;138.4083;138.4110;138.4135;138.4162;138.4162;138.4189;138.4213;138.4240;138.4240;138.4262;138.4266;138.4301;138.4305;138.4326;138.4332;138.4332;138.4353;138.4353;138.4380;138.4380;138.4401;138.4401;138.4422;138.4422;138.4434;138.4443;138.4455;138.4464;138.4464;138.4476;138.4476;138.4476;138.4507;138.4549;138.4549;138.4549;138.4748;138.4748;138.4778;138.4778;138.4829;138.4829;138.4854;138.4854;138.4881;138.4881;138.4895;138.4895;138.4895;138.4895;138.4916;138.4916;138.4935;138.4935;138.4950;138.4953;138.4969;138.4969;138.4989;138.4989;138.5003;138.5005;138.5018;138.5018;138.5018;138.5024;138.5024;138.5035;138.5035;138.5057;138.5057;138.5071;138.5071;138.5077;138.5083;138.5089;138.5089;138.5089;138.5095;138.5095;138.5095;138.5095;138.5105;138.5105;138.5112;138.5112;138.5117;138.5118
