Dataset,Radius,Turbines,Algorithm,Seed,Objective,WakeLoss,Coordinates
1,500,10,LXVNS,19,136661.05608967648,3796.317607671808,140.379 -478.757;223.010 -21.780;462.742 188.111;-347.232 -352.882;-146.015 102.961;-37.218 -199.807;423.667 -257.960;-471.604 -15.202;150.601 442.482;-270.893 415.997
1,500,10,SLSQP,4,138171.16097149582,2286.2127258524706,-315.241 388.099;277.950 -409.233;-187.184 43.614;-27.616 -450.465;-17.684 306.630;460.744 -160.380;-365.669 -337.806;-485.533 -33.045;273.514 408.751;140.280 40.721
1,750,12,LXVNS,4,166162.47747260073,2386.3709642172034,-549.865 8.149;-153.556 -497.043;55.819 -735.944;506.889 182.158;671.635 -330.321;462.549 -575.027;77.016 337.233;241.517 -148.231;-667.632 330.269;252.159 695.396;-151.918 654.342;-414.849 -269.650
1,750,12,VNS,14,166626.22462089037,1922.6238159275672,9.506 -749.877;-255.617 85.410;574.275 -135.765;134.335 167.224;-606.422 -345.158;-116.582 -388.897;297.572 -367.391;687.181 195.446;-21.440 692.317;-743.154 99.511;-405.127 546.296;360.517 625.137
1,1000,15,LXVNS,10,207849.8830769288,2836.1774690936145,572.907 -799.722;598.334 796.828;-244.982 -461.541;762.546 522.751;461.203 -462.468;-53.497 -748.616;-58.378 128.843;592.910 -84.025;-934.939 281.323;-697.661 -468.049;-278.387 900.291;-470.685 -727.122;967.479 -63.638;-507.895 194.324;154.937 -183.359
1,1000,15,VNS,28,208107.84428658715,2578.216259435285,769.000 594.558;978.821 -162.644;10.980 61.219;-443.315 -12.617;462.708 -101.298;-137.617 -453.182;-378.258 424.155;5.564 -883.188;-849.449 511.335;646.301 261.239;-215.739 874.578;-486.110 -771.831;466.365 871.784;-852.806 -403.429;167.420 600.732
2,500,10,LXVNS,14,67704.7140710589,5449.06987578774,-149.172 -103.313;429.818 247.111;-32.790 479.481;-362.412 -341.314;-357.005 323.261;453.872 -167.218;265.827 -422.106;-463.612 1.552;-49.693 -400.528;120.341 139.302
2,500,10,VNS,27,68162.25334614678,4991.530600699858,-11.855 -263.861;472.005 -113.763;184.105 463.046;-307.826 131.552;-211.774 443.653;99.243 55.520;291.454 -405.590;-483.239 -125.987;418.586 201.269;-294.855 -399.613
2,750,12,LXVNS,4,83383.81302512482,4400.727711091153,-565.853 10.710;-153.366 -486.893;107.063 -706.069;528.526 289.804;636.650 -23.268;406.038 -507.496;-30.042 359.598;197.200 -117.888;-679.801 312.800;386.312 640.215;-137.366 672.837;-400.148 -283.092
2,750,12,VNS,2,83596.10991062333,4188.430825592644,60.643 704.219;136.635 -451.870;-376.371 634.239;166.413 296.282;356.217 559.462;405.265 -630.977;617.251 15.140;446.412 -249.246;-722.073 48.205;-298.556 -220.058;-435.548 -521.435;-526.086 326.061
2,1000,15,LXVNS,26,104826.3682889519,4904.307631318079,9.825 427.804;431.777 -207.402;-259.257 -154.662;584.003 -744.245;-639.898 609.655;-429.399 -486.821;97.749 -949.736;585.614 68.762;-232.467 924.779;-509.472 56.463;11.366 -355.360;-651.202 -753.016;696.563 670.671;927.125 -355.262;-841.699 319.491
2,1000,15,SLSQP,10,105183.68193564596,4546.993984624001,480.112 134.742;887.911 -308.765;-932.203 -356.937;-954.080 299.380;-999.931 -11.187;469.785 644.080;-777.128 625.285;-106.494 301.614;-155.318 748.412;-430.932 -587.581;-311.436 -949.692;506.196 -845.798;61.247 997.214;990.658 -16.010;563.246 -540.451
