Dataset,Radius,Turbines,Algorithm,Seed,Linear,Ideal,Cubic,IdealCubic,CubicCutout,IdealCubicCutout,GaussLoss004,GaussLoss0022,JensenLoss,MinSpacing,Feas5D,Feas6D
1,500,4,DE,1,56034.13821267476,56182.949478939314,46249.73521170637,46425.34620769364,44062.80987850421,44203.234916733825,174.89425241991557,190.6497836239214,148.8112662645508,413.85756697144706,True,False
1,500,4,DE,2,56027.56092349571,56182.949478939314,46243.285038271664,46425.34620769364,44053.09524147409,44203.234916733825,205.9772741604247,343.3978869863204,155.38855544360558,413.7716882608773,True,False
1,500,4,DE,3,56019.881100271676,56182.949478939314,46234.47511829153,46425.34620769364,44045.20889546475,44203.234916733825,279.9970099727798,467.22423901876755,163.06837866763817,390.0912312664522,True,False
1,500,4,DE,4,56070.67251587746,56182.949478939314,46292.68466861194,46425.34620769364,44097.46546772689,44203.234916733825,126.11421046518808,165.16722389451024,112.2769630618568,483.95345430372635,True,True
1,500,4,DE,5,56047.41062974095,56182.949478939314,46265.15538358563,46425.34620769364,44075.71331969025,44203.234916733825,228.81945627857203,276.28756315098144,135.53884919836128,534.7036430598961,True,True
1,500,4,DE,6,55996.471257399106,56182.949478939314,46206.28347625633,46425.34620769364,44024.69552035176,44203.234916733825,259.68576317850966,480.35912307834224,186.47822154020832,342.7193751750002,False,False
1,500,4,DE,7,56040.40187177775,56182.949478939314,46257.7968130395,46425.34620769364,44067.139562357865,44203.234916733825,173.54001822664577,200.28352892768453,142.54760716156306,358.6574092049191,False,False
1,500,4,DE,8,56052.92744200762,56182.949478939314,46271.92035964521,46425.34620769364,44080.238008082146,44203.234916733825,193.08737523601303,194.72235253317194,130.02203693169577,504.8398426203134,True,True
1,500,4,DE,9,56031.42354305737,56182.949478939314,46246.54514353798,46425.34620769364,44059.74158191168,44203.234916733825,158.40841562518472,229.56961930209945,151.52593588194577,551.167837025689,True,True
1,500,4,DE,10,56026.64403624855,56182.949478939314,46242.25690548498,46425.34620769364,44052.11811076103,44203.234916733825,186.36839227029122,270.8767915096323,156.305442690762,395.5763535263788,True,False
1,500,4,DE,11,56084.26322533482,56182.949478939314,46308.808611062756,46425.34620769364,44110.09658087056,44203.234916733825,175.09298157289595,143.920466600699,98.68625360449369,531.9518559683252,True,True
1,500,4,DE,12,56008.31849726509,56182.949478939314,46219.70164451553,46425.34620769364,44037.00613181181,44203.234916733825,190.18884773066384,262.81939604548825,174.6309816742214,403.7635558498869,True,False
1,500,4,DE,13,56017.68336574552,56182.949478939314,46230.727714443135,46425.34620769364,44046.1474747223,44203.234916733825,342.37269861580717,414.7994389004598,165.266113193793,387.54022786182657,True,False
1,500,4,DE,14,56044.362667418805,56182.949478939314,46262.35182867782,46425.34620769364,44071.01465724252,44203.234916733825,168.7718449841268,276.3283729963805,138.5868115205085,412.21836750878253,True,False
1,500,4,DE,15,56053.80243677535,56182.949478939314,46272.59480504698,46425.34620769364,44082.09314107437,44203.234916733825,166.8322813955092,230.01255284379295,129.14704216396058,533.691303465895,True,True
1,500,4,DE,16,55998.483844243696,56182.949478939314,46208.723246446905,46425.34620769364,44025.953987032764,44203.234916733825,260.9914357133821,446.45955396964564,184.46563469561806,423.98128341411234,True,False
1,500,4,DE,17,56025.642344717584,56182.949478939314,46241.664115355336,46425.34620769364,44049.95205157759,44203.234916733825,213.98755320623604,317.67054160200496,157.30713422172994,378.8167464160046,False,False
1,500,4,DE,18,56059.871822735375,56182.949478939314,46279.78715608247,46425.34620769364,44087.897622529345,44203.234916733825,159.26842284036684,275.31980235847004,123.07765620393911,491.6955642951834,True,True
1,500,4,DE,19,56043.630156249645,56182.949478939314,46261.56690231633,46425.34620769364,44069.771570596,44203.234916733825,169.415536544293,296.4172984224497,139.3193226896692,439.4085980555944,True,False
