Dataset,Radius,Turbines,Algorithm,Linear,Cubic,CubicCutout,JensenLoss,GaussLoss004,GaussLoss0022,Feas5D,Feas6D,MinSpacingMin,RelChangeCubicPct,RelChangeCubicCutoutPct
1,500,4,DE,56037.539970867845,46254.2066406455,44064.68616807805,145.40950807146655,213.7213358256658,284.9309891357807,0.8666666666666667,0.36666666666666664,342.7193751750002,-17.458534645361656,-21.365773388721387
1,500,4,LXSSA,56080.34047917039,46304.298011595834,44106.1219299674,102.60899976893148,183.23662653608505,204.66457912828773,1.0,0.6666666666666666,398.6860210579391,-17.432209548024435,-21.35190058921006
1,500,4,PSO,56073.16681864836,46295.84000679201,44099.31794706803,109.78266029095248,199.21939652513709,217.87100823762498,0.9333333333333333,0.6,381.4959032050574,-17.436730198381955,-21.35397294450322
1,500,4,SSA,56082.39784829727,46306.71793390703,44108.10422014755,100.55163064204268,170.59782671106345,188.19533780698282,0.9,0.6333333333333333,332.23798474028035,-17.430923586458313,-21.351251172498277
1,750,8,DE,109402.64246617795,89368.3088393048,85577.31252548829,2963.2564917006744,3032.7568767602684,5066.600628038005,0.03333333333333333,0.0,308.66785640635317,-18.312476897499806,-21.77765491181377
1,750,8,LXSSA,111434.96954143203,91753.64134744745,87524.95764316803,930.9294164466061,1369.3994597960277,2095.8629594857584,0.1,0.0,308.00201097823947,-17.66171631308875,-21.45647097733907
1,750,8,PSO,110713.36612091119,90906.25747481061,86837.07171992605,1652.5328369674398,1719.8550420002875,2541.5429398565416,0.06666666666666667,0.0,310.2782832443037,-17.890440278429466,-21.56586439157634
1,750,8,SSA,111270.51710705661,91559.2204234294,87371.49852150405,1095.381850822021,1497.841468120456,2209.44750687797,0.0,0.0,311.3502745825208,-17.714752475413043,-21.478302794763337
1,1000,8,DE,111333.80044820339,91631.98073640783,87437.96859442352,1032.0985096752518,1081.878863007126,1706.4914738770497,0.2,0.03333333333333333,308.66714174285,-17.696171003307814,-21.46323197230394
1,1000,8,LXSSA,111927.21351261908,92332.02216597102,87996.48479723782,438.68544525953814,674.6319587941248,913.2087371576878,0.6666666666666666,0.2,314.7214175675965,-17.507084051939547,-21.380616888745497
1,1000,8,PSO,111744.34745893917,92116.26378666656,87825.0231193227,621.5514989394559,786.8644907475314,1150.8723624978995,0.3333333333333333,0.06666666666666667,313.2208159890912,-17.565169172861307,-21.405399810854608
1,1000,8,SSA,111886.13061490435,92283.83003023939,87956.72453620996,479.76834297428434,751.9676418896585,961.5934992996661,0.5666666666666667,0.16666666666666666,317.0963261519505,-17.519866382843464,-21.38728540095456
2,500,4,DE,28897.187744865023,18355.05756213002,18307.724684758123,364.32583387363724,430.7153656718707,578.0375201041808,0.5333333333333333,0.16666666666666666,311.4656588342923,-36.48150912058327,-36.645306642299914
2,500,4,LXSSA,29024.388021735864,18452.52577463604,18404.928981942612,237.12555700279688,332.3078800025921,384.0111935564177,0.6666666666666666,0.3,336.7801639358519,-36.42406599299437,-36.5880549551657
2,500,4,PSO,29023.48957239954,18457.916724464772,18410.34782692111,238.0240063391199,316.8576235311237,398.25286869166786,0.6333333333333333,0.23333333333333334,312.0335120748432,-36.40352350319138,-36.56742142947279
2,500,4,SSA,28971.66379318062,18407.360356771544,18359.8944517293,289.8497855580372,351.72745324058934,439.6915516934895,0.6666666666666666,0.26666666666666666,308.84919509091867,-36.46426215568508,-36.628097775831336
2,750,8,DE,55567.24755747391,34676.66390552305,34599.55937183406,2955.7796000034136,2781.5783019476935,4163.287779813847,0.0,0.0,310.93015677275304,-37.595138449755794,-37.73389740773592
2,750,8,LXSSA,56708.27367218545,35693.27390022521,35608.567809466345,1814.7534852918745,2111.0417629067433,3128.108271092157,0.16666666666666666,0.0,320.0398263380757,-37.058084140317916,-37.20745580211198
2,750,8,PSO,56325.334412496275,35347.78002209522,35265.849732748626,2197.692744981049,2254.735542899473,3318.7485186430395,0.23333333333333334,0.0,308.8785754421093,-37.24355054294538,-37.389009580519094
2,750,8,SSA,56620.37922337651,35628.492542010456,35542.583598173485,1902.6479341008128,2152.9896815598086,3140.262636521698,0.16666666666666666,0.0,312.961355359779,-37.07478997720889,-37.22651793278835
2,1000,8,DE,56985.58249426135,35938.63072350397,35852.57005353871,1537.444663215975,1531.539663927423,2313.3552321959646,0.26666666666666666,0.0,314.5135384273734,-36.933818782806824,-37.084840613589954
2,1000,8,LXSSA,57661.2600707206,36548.102815653,36456.57206049704,861.7670867567174,1019.6353333908555,1415.4321032281664,0.4666666666666667,0.1,321.9085186635569,-36.61584438004416,-36.774583115624516
2,1000,8,PSO,57398.24542880557,36317.04719104808,36227.36015775889,1124.7817286717545,1175.087749957556,1715.0375359587772,0.4666666666666667,0.16666666666666666,314.78291028750283,-36.727948877646,-36.88420284084497
2,1000,8,SSA,57506.61330014316,36396.4132386672,36306.34258749521,1016.4138573341661,1226.4929861855153,1773.655112226653,0.6333333333333333,0.16666666666666666,316.65092364997264,-36.70916934596009,-36.86579594245585
