Spacing,Greedy,Iterations,Evaluations,Dataset,Radius,Turbines,Run,Objective,WakeLoss,Violation,Feasible,Seconds,Coordinates
4D,False,100,3030,1,500,4,1,56119.85336658325,63.096112356062804,0.0,True,0.27705975800000715,-254.5060 -430.0972;-499.3937 24.6146;436.9658 -243.0244;8.4338 499.8176
4D,False,100,3030,1,500,4,2,56121.145475983976,61.80400295533764,0.0,True,0.2689207839999881,-198.8541 -454.1989;496.5117 -58.9573;-452.0445 212.6945;281.9591 412.9153
4D,False,100,3030,1,500,4,3,56066.48027498704,116.46920395227062,0.0,True,0.26062992999999324,465.6336 182.1684;145.2751 475.0722;-480.5904 -137.9508;-95.5325 -490.7887
4D,False,100,3030,1,500,4,4,56122.14615064714,60.80332829217514,0.0,True,0.28200355400002763,422.0239 268.1339;-209.5543 435.1159;230.4189 -443.7397;-401.7219 -297.6902
4D,False,100,3030,1,500,4,5,56093.06696399689,89.88251494242286,0.0,True,0.28033812499995747,-28.3930 499.1885;-499.0230 -31.2421;-45.8266 -497.8955;424.9727 -263.4353
4D,False,100,3030,1,500,4,6,56105.08911827385,77.86036066546512,0.0,True,0.26013530900002024,424.7111 -261.4388;233.7152 442.0148;-368.0178 336.7195;-145.0958 -478.4842
4D,False,100,3030,1,500,4,7,56084.08717105952,98.8623078797973,0.0,True,0.2639387150000516,-457.7235 201.2192;497.3012 51.8786;59.0667 155.6380;-282.3721 -412.6330
4D,False,100,3030,1,500,4,8,56095.99551153368,86.95396740563592,0.0,True,0.2595530649999773,-187.8493 463.3710;-494.3435 -74.9959;301.1442 376.0150;-174.0118 -468.7428
4D,False,100,3030,1,500,4,9,56080.37403174136,102.5754471979526,0.0,True,0.2667628859999809,403.6894 293.8667;-43.0436 327.7052;-233.6790 -337.3704;-406.5548 291.0553
4D,False,100,3030,1,500,4,10,56110.00315561771,72.94632332160108,0.0,True,0.26710590400000456,90.6275 -491.7181;325.6882 379.3158;-491.1956 -93.4180;-183.6296 465.0593
4D,False,100,3030,1,500,4,11,56105.40944134458,77.54003759473562,0.0,True,0.27327965099999574,499.7011 -17.2860;-490.3108 -1.4902;30.5042 -499.0686;12.9522 499.8322
4D,False,100,3030,1,500,4,12,56119.2450057167,63.70447322261316,0.0,True,0.27359353199994985,-259.3415 -427.1051;434.5077 247.3926;262.9644 -386.6053;-438.3306 240.5518
4D,False,100,3030,1,500,4,13,56122.12366764512,60.825811294191226,0.0,True,0.2605227839999884,-277.1245 -416.1751;220.3744 448.8152;445.9652 -226.0371;-285.0433 410.7922
4D,False,100,3030,1,500,4,14,56112.070714139416,70.87876479989791,0.0,True,0.2585359290000042,-181.6836 465.8230;450.3161 172.3580;58.3997 -496.5682;-497.0346 51.3498
4D,False,100,3030,1,500,4,15,56116.893481289175,66.05599765013903,0.0,True,0.2630012139999849,-224.9157 -446.5567;258.0725 -428.2499;248.7289 433.7441;-416.1372 277.1819
4D,False,100,3030,1,500,4,16,56092.656512074565,90.29296686474845,0.0,True,0.26446170999997776,-468.0484 134.1929;155.4187 -475.2314;473.5394 139.4557;-85.8600 492.5729
4D,False,100,3030,1,500,4,17,56125.41767704586,57.53180189345585,0.0,True,0.29384973099996614,324.1897 380.6587;493.1772 -82.3182;-175.7407 -467.6478;-180.6084 306.5266
