Experiment,Algorithm,Budget,Calls,Spacing,Dataset,Radius,Turbines,Seed,Objective,Ideal,WakeLoss,Feasible,MinSpacing,Seconds,Coordinates
crowded,LXSSA,6030,6030,4D,1,500,10,1,129236.14132273284,140457.3736973483,11221.232374615443,False,306.895719493524,2.760913157999994,479.5011 15.7405;-72.8560 -67.1108;-233.9990 274.7702;226.0358 -160.1842;-110.8941 -482.5541;-370.4025 -157.9981;161.7109 141.0296;198.2295 -465.8176;63.6027 432.9902;395.0560 342.5272
crowded,LXSSA,6030,6030,4D,1,500,10,2,132497.329546439,140457.3736973483,7960.0441509092925,True,308.00043544157705,2.659603025000024,-180.8936 41.1943;294.0988 -223.1666;-151.5295 370.5758;-429.7805 238.5129;180.1337 64.5413;123.1960 -480.5782;429.2634 254.5746;-159.9854 -354.3199;-482.7233 -110.1003;159.0363 413.9731
crowded,LXSSA,6030,6030,4D,1,500,10,3,131824.9017682252,140457.3736973483,8632.471929123101,True,308.0505204804415,2.5861676250001437,-275.0308 393.9925;26.2446 499.3106;336.5811 308.6827;47.4160 187.5109;448.4663 -37.5827;-424.3317 -250.1746;108.3130 -121.2331;-242.8995 27.2545;-99.1104 -444.9257;234.8099 -402.1132
crowded,LXSSA,6030,6030,4D,1,500,10,4,134164.02023093888,140457.3736973483,6293.353466409404,True,309.8040611489171,2.5752792549999413,-351.6575 -274.7611;404.2027 -294.3008;453.6763 158.9624;-171.5737 469.6396;-440.6859 228.7241;23.0569 203.9508;40.4442 -427.2471;195.0601 -63.1163;-217.1407 8.2886;230.0663 443.9251
crowded,LXSSA,6030,6030,4D,1,500,10,5,130518.0719123915,140457.3736973483,9939.301784956784,False,307.037827120653,2.708835906000104,185.3918 -108.9703;-240.2873 -135.7343;-462.8126 77.3910;-160.9738 -447.8772;442.6035 -278.6693;313.8235 459.6382;-153.5959 158.8108;151.2243 198.0051;473.2960 74.2912;1.9751 484.8301
crowded,LXSSA,6030,6030,4D,1,500,10,6,130742.88438354965,140457.3736973483,9714.489313798636,True,308.41854647313534,2.667861147000167,-109.1914 103.4107;474.6054 -155.9722;-260.3085 425.7948;45.8710 370.0146;185.7708 -12.8312;-418.3732 91.5032;-421.6850 -261.0289;64.0695 -495.7909;355.2010 348.9143;-109.5784 -212.5080
crowded,LXSSA,6030,6030,4D,1,500,10,7,133195.29541348113,140457.3736973483,7262.0782838671585,False,307.85772796908503,2.719048889000078,-392.5556 339.7569;462.5381 67.2546;221.8080 375.6288;-84.6307 346.1039;-431.3867 -246.0025;-145.6417 -451.8001;410.8312 -284.5811;164.3249 -471.4039;-50.6954 -141.1146;-294.8820 47.6553
crowded,LXSSA,6030,6030,4D,1,500,10,8,130926.42572084705,140457.3736973483,9530.947976501237,True,308.0004610210233,2.5426374510000187,-191.7260 404.0593;-99.9506 -487.7896;163.4980 471.2829;42.0148 188.2526;345.9941 120.1486;206.0674 -406.2101;41.6679 -145.7283;445.4288 -189.3863;-222.7979 13.3247;-467.6106 -176.6997
crowded,LXSSA,6030,6030,4D,1,500,10,9,133364.07691436217,140457.3736973483,7093.296782986115,True,308.0001761177091,2.593003146000001,122.8245 465.4889;407.5207 -289.4166;-167.1596 -412.3431;-452.1502 -192.5629;-472.8217 157.2638;-215.5395 412.5798;440.3122 232.7050;14.8374 168.7456;139.2514 -443.5906;260.1097 -17.7733
crowded,LXSSA,6030,6030,4D,1,500,10,10,129423.18794113967,140457.3736973483,11034.185756208622,True,311.3303408195735,2.4551731490000748,441.1718 234.8473;-59.7358 -172.2327;-426.3283 261.2016;-84.0393 162.4421;-34.4536 -498.2033;-189.1253 462.8482;122.7646 464.5097;357.3996 -346.0081;-370.1155 -128.3282;198.2597 3.6591
