Algorithm,Penalty,Dataset,Radius,Turbines,Seed,Score,Objective,Feasible
SSA,count,1,500,4,1,77.37880626093101,56105.57067267838,True
SSA,count,1,500,4,2,111.86127173982823,56071.088207199486,True
SSA,count,1,500,4,3,103.7220343183144,56079.227444621,True
SSA,count,1,500,4,4,103.03492736677435,56079.91455157254,True
SSA,count,1,500,4,5,120.62076940206316,56062.32870953725,True
SSA,count,1,500,4,6,116.91976237333438,56066.02971656598,True
SSA,count,1,500,4,7,64.93910340066941,56118.010375538644,True
SSA,count,1,500,4,8,78.53638135638175,56104.41309758293,True
SSA,count,1,500,4,9,112.98892063461972,56069.960558304694,True
SSA,count,1,500,4,10,106.327828595131,56076.62165034418,True
SSA,count,1,500,4,11,112.82282853119978,56070.126650408114,True
SSA,count,1,500,4,12,139.51899218695326,56043.43048675236,True
SSA,count,1,500,4,13,170.60890667503554,56012.34057226428,True
SSA,count,1,500,4,14,134.58638392155262,56048.36309501776,True
SSA,count,1,500,4,15,104.28022902562952,56078.669249913684,True
SSA,count,1,500,4,16,112.05263839330291,56070.89684054601,True
SSA,count,1,500,4,17,139.37313355572405,56043.57634538359,True
SSA,count,1,500,4,18,98.43535525532207,56084.51412368399,True
SSA,count,1,500,4,19,152.47150152417453,56030.47797741514,True
SSA,count,1,500,4,20,96.54631871682795,56086.403160222486,True
SSA,count,1,500,4,21,88.9835737437752,56093.96590519554,True
SSA,count,1,500,4,22,90.44484781767824,56092.504631121636,True
SSA,count,1,500,4,23,115.05186187066283,56067.89761706865,True
SSA,count,1,500,4,24,135.46054632251617,56047.4889326168,True
SSA,count,1,500,4,25,111.09086971686338,56071.85860922245,True
SSA,count,1,500,4,26,104.06458587866655,56078.88489306065,True
SSA,count,1,500,4,27,148.2624644471798,56034.687014492134,True
SSA,count,1,500,4,28,151.00668984930235,56031.94278909001,True
SSA,count,1,500,4,29,93.65084459819627,56089.29863434112,True
SSA,count,1,500,4,30,84.93198635111185,56098.0174925882,True
SSA,count,1,750,8,1,892.5814877820667,111473.31747009656,True
SSA,count,1,750,8,2,1089.3148746424558,111276.58408323617,True
SSA,count,1,750,8,3,969.1778974762419,111396.72106040239,True
SSA,count,1,750,8,4,728.601310005397,111637.29764787323,True
SSA,count,1,750,8,5,896.7864088952483,111469.11254898338,True
SSA,count,1,750,8,6,2973.972689410424,109391.9262684682,True
SSA,count,1,750,8,7,736.8331928036641,111629.06576507496,True
SSA,count,1,750,8,8,758.8228322227078,111607.07612565592,True
SSA,count,1,750,8,9,10000000780.300713,111585.59824508063,False
SSA,count,1,750,8,10,2441.6598395240435,109924.23911835458,True
SSA,count,1,750,8,11,1205.7454894297698,111160.15346844886,True
SSA,count,1,750,8,12,873.9568172131112,111491.94214066552,True
SSA,count,1,750,8,13,948.242724900847,111417.65623297778,True
SSA,count,1,750,8,14,1185.1299772573257,111180.7689806213,True
SSA,count,1,750,8,15,858.8884094332025,111507.01054844543,True
SSA,count,1,750,8,16,799.9732714061392,111565.92568647249,True
SSA,count,1,750,8,17,1472.2372641569673,110893.66169372166,True
SSA,count,1,750,8,18,758.0360731332039,111607.86288474542,True
SSA,count,1,750,8,19,1133.7447813060862,111232.15417657254,True
SSA,count,1,750,8,20,2105.143425062779,110260.75553281585,True
SSA,count,1,750,8,21,2058.364971620802,110307.53398625783,True
SSA,count,1,750,8,22,760.9588950662292,111604.9400628124,True
SSA,count,1,750,8,23,931.460796305968,111434.43816157266,True
SSA,count,1,750,8,24,10000001020.700914,111345.19804362024,False
SSA,count,1,750,8,25,1284.607978587257,111081.29097929137,True
SSA,count,1,750,8,26,1239.5317638239358,111126.36719405469,True
SSA,count,1,750,8,27,3156.18805932744,109209.71089855119,True
SSA,count,1,750,8,28,858.065173762996,111507.83378411563,True
SSA,count,1,750,8,29,424.7318162065494,111941.16714167208,True
SSA,count,1,750,8,30,716.662612257569,111649.23634562106,True
SSA,count,1,1000,8,1,437.0573040461313,111928.8416538325,True
SSA,count,1,1000,8,2,628.2384529235569,111737.66050495507,True
SSA,count,1,1000,8,3,268.96902344029513,112096.92993443833,True
SSA,count,1,1000,8,4,406.0792159382254,111959.8197419404,True
SSA,count,1,1000,8,5,587.4007305880368,111778.49822729059,True
SSA,count,1,1000,8,6,338.0325652310712,112027.86639264756,True
SSA,count,1,1000,8,7,387.97663261482376,111977.9223252638,True
SSA,count,1,1000,8,8,411.9475955460075,111953.95136233262,True
SSA,count,1,1000,8,9,455.53416818741243,111910.36478969122,True
SSA,count,1,1000,8,10,655.568029802831,111710.3309280758,True
SSA,count,1,1000,8,11,397.49330829097016,111968.40564958766,True
SSA,count,1,1000,8,12,386.78734280273784,111979.11161507589,True
SSA,count,1,1000,8,13,668.2047968998959,111697.69416097873,True
SSA,count,1,1000,8,14,543.6803874589968,111822.21857041963,True
SSA,count,1,1000,8,15,471.023642294429,111894.8753155842,True
SSA,count,1,1000,8,16,429.46584312782215,111936.4331147508,True
SSA,count,1,1000,8,17,413.3134018688579,111952.58555600977,True
SSA,count,1,1000,8,18,341.08759279853257,112024.8113650801,True
SSA,count,1,1000,8,19,531.394826123229,111834.5041317554,True
SSA,count,1,1000,8,20,373.3792256647139,111992.51973221391,True
SSA,count,1,1000,8,21,987.0551184229407,111378.84383945569,True
SSA,count,1,1000,8,22,1036.8894370987837,111329.00952077984,True
SSA,count,1,1000,8,23,323.0980157814338,112042.8009420972,True
