Radius,Turbines,Seed,Algorithm,WakeLoss,EnergyProduction,Runtime,RuntimeSingleRun,Evaluations,ObjectiveCalls,SurrogateInferences,SurrogateTrainPasses,Iterations,GateAdmissionRate,Dataset,Coordinates,Feasible308m
500,4,1,DE,148.8113873252587,56034.13821267474,0.0126771789044141,,3030,3030,0,0,100,0,1,453.68100191527327 -106.41707054460659;-139.15566566535082 -444.4783285429767;-364.4482178309601 307.59226633941955;284.4395980254153 271.2539939399733,True
500,4,2,DE,155.3886765042989,56027.5609234957,0.0126771789044141,,3030,3030,0,0,100,0,1,167.48792101357873 394.5424055315295;-45.63914176258561 -65.16351454390009;-461.071606228166 -110.17802981773669;358.04425303745006 25.647975747665726,True
500,4,3,DE,163.0684997283533,56019.88110027165,0.0126771789044141,,3030,3030,0,0,100,0,1,-414.373452018801 226.68668869148814;195.1444082421874 -247.63714795073335;38.659986878186686 159.76245505850613;422.86214688733423 92.23565330333548,True
500,4,4,DE,112.2770841225502,56070.67251587745,0.0126771789044141,,3030,3030,0,0,100,0,1,-431.76199305911894 220.55793878513913;407.70267004883084 -260.81559292849664;-68.39801078011607 -347.64351267049096;181.51885138715573 364.9840785642562,True
500,4,5,DE,135.5389702590692,56047.41062974093,0.0126771789044141,,3030,3030,0,0,100,0,1,-193.1649927642272 436.68714582855824;440.88477599551584 212.5171294689174;-404.38073691401246 -122.97665881880985;39.45166288105551 -421.1725454330885,True
500,4,6,DE,186.4783426009089,55996.47125739909,0.0126771789044141,,3030,3030,0,0,100,0,1,146.03309972269534 -403.21395970086917;382.3946592032041 120.77371990817936;-419.32634656185814 -174.2682403007602;-196.66154157212543 86.26382056551176,True
500,4,7,DE,142.5477282222637,56040.40187177774,0.0126771789044141,,3030,3030,0,0,100,0,1,162.37243160534382 437.4904871244027;-322.68812097705836 -64.71468575528485;-125.72111781786418 -364.4464605875017;388.1541200817994 -254.16425698494166,True
500,4,8,DE,130.0221579923964,56052.9274420076,0.0126771789044141,,3030,3030,0,0,100,0,1,218.92107326223203 416.76083610865805;-15.047353056521217 -472.2899511774438;390.58308260947626 -57.99744053722566;-291.6397775558717 357.87637418804513,True
500,4,9,DE,151.5260569426464,56031.42354305735,0.0126771789044141,,3030,3030,0,0,100,0,1,-160.1442075772856 -337.1286172534958;118.57308058061162 417.69673145170134;-398.0104758183461 166.83686730947335;406.8749944100058 -52.05638567886655,True
500,4,10,DE,156.3055637514626,56026.64403624854,0.0126771789044141,,3030,3030,0,0,100,0,1,50.678360144598344 -175.6258366009355;461.69939605410127 -83.1777604642692;286.3361312687277 271.4042143074916;-380.3473237915556 -200.8968927194909,True
500,4,11,DE,98.68637466519432,56084.26322533481,0.0126771789044141,,3030,3030,0,0,100,0,1,337.46942484285137 326.31039639989694;142.16271758620329 -400.7212506742923;-259.48917275673494 407.9929248812235;-419.30283917908775 -99.38501028426113,True
500,4,12,DE,174.631102734922,56008.31849726508,0.0126771789044141,,3030,3030,0,0,100,0,1,-450.4960886772841 84.50766633975772;334.956665687871 13.325490803056027;-78.20724909934592 -369.33268090110477;148.67818492481933 371.5507504332978,True
500,4,13,DE,165.2662342544863,56017.68336574551,0.0126771789044141,,3030,3030,0,0,100,0,1,-387.44647443364994 156.9649198680522;436.18748797301873 104.40376208734014;135.78204808355179 349.23839994728905;-219.46186088273038 -424.2039578507388,True
500,4,14,DE,138.5869325812091,56044.36266741879,0.0126771789044141,,3030,3030,0,0,100,0,1,230.85790591684054 419.15028975478333;-229.47553182098477 -398.3994687177663;-481.5274489326847 -21.15976036873745;469.13704153988033 82.77693165646025,True
500,4,15,DE,129.1471632246758,56053.80243677533,0.0126771789044141,,3030,3030,0,0,100,0,1,-368.3680158574067 -317.24357657119657;165.20928737308523 -306.21321518084665;393.2653032460521 268.9725567526642;-178.15442767115093 372.99815397757266,True
500,4,16,DE,184.4657557563187,55998.48384424368,0.0126771789044141,,3030,3030,0,0,100,0,1,-376.4889263341099 70.28236791018453;-200.60828537328175 456.062264769373;125.65161369224532 -38.805413740120514;282.1527698117282 365.956372145655,True
500,4,17,DE,157.3072552824378,56025.64234471756,0.0126771789044141,,3030,3030,0,0,100,0,1,-375.3967929355067 195.2294363544782;238.83614403575376 99.61981860831705;422.6584814296776 -258.6150599632469;83.2000213314949 444.98849795662215,True
500,4,18,DE,123.077777264647,56059.87182273535,0.0126771789044141,,3030,3030,0,0,100,0,1,-458.89407389583005 61.88826068931516;447.3574469902495 -202.79236749624636;-279.6991538877837 -395.9913180110989;72.24434054383553 480.4232007027849,True
500,4,19,DE,139.3194437503626,56043.63015624964,0.0126771789044141,,3030,3030,0,0,100,0,1,-473.5223260522731 17.624687738980782;415.41058743458063 12.316632090499922;223.00267278049685 -418.5421621626931;-36.82912157326177 66.3992836577094,True
500,4,20,DE,128.9589205675074,56053.99067943249,0.0126771789044141,,3030,3030,0,0,100,0,1,-4.0285688234885555 457.5782691995171;-13.365255515620362 -497.36323827936815;458.0932027847714 13.573365856979592;-359.08125835327127 52.52185485339112,True
