Dataset,Radius,Turbines,Algorithm,MeanPower,SDPower,MeanWake,SDWake,Evaluations,BatchedSecondsPerRun
1,500,4,DE,56037.53997086783,21.9586604837969,145.40962913216936,21.95866048379615,[3030],[0.0126771789044141]
1,500,4,LXSSA,56080.340479170365,19.53599375218676,102.60912082963283,19.535993752185682,[6030],[0.1456037763506174]
1,500,4,PSO,56073.166818648344,13.255794259819224,109.78278135165358,13.255794259818664,[3030],[0.0094420726100603]
1,500,4,SSA,56082.39784829725,21.774215925500705,100.5517517027433,21.7742159255015,[3030],[0.0353692649553219]
1,750,8,DE,109402.64246617793,871.9710182860997,2963.256733822053,871.9710182860987,[3030],[0.012007171412309]
1,750,8,LXSSA,111434.969541432,436.05669008678757,930.9296585679816,436.0566900867849,[6030],[0.1455716082205375]
1,750,8,PSO,110713.36612091117,959.3715342346486,1652.533079088814,959.371534234658,[3030],[0.0100068035225073]
1,750,8,SSA,111270.5171070566,613.4005935955719,1095.3820929433937,613.400593595572,[3030],[0.0135784833381573]
1,1000,8,DE,111333.80044820339,284.1443797033616,1032.0987517966257,284.14437970335877,[3030],[0.0121556767572959]
1,1000,8,LXSSA,111927.21351261907,153.3829769414041,438.6856873809137,153.3829769414025,[6030],[0.1403845304002364]
1,1000,8,PSO,111744.34745893917,186.52653569412306,621.5517410608304,186.5265356941139,[3030],[0.0095771107822656]
1,1000,8,SSA,111886.13061490435,224.57063182486485,479.7685850956623,224.57063182486777,[3030],[0.0129494294524192]
2,500,4,DE,28897.18774486503,82.41822853344371,364.3258338736404,82.41822853344303,[3030],[0.0118410410980383]
2,500,4,LXSSA,29024.388021735875,76.98974975152412,237.12555700279856,76.98974975152437,[6030],[0.1442629136145115]
2,500,4,PSO,29023.489572399554,59.59635991278287,238.02400633912185,59.59635991278336,[3030],[0.0100345062712828]
2,500,4,SSA,28971.663793180625,67.37630460217538,289.8497855580377,67.37630460217504,[3030],[0.0356430893143018]
2,750,8,DE,55567.247557473915,527.7524145747785,2955.7796000034227,527.7524145747788,[3030],[0.0125039336582024]
2,750,8,LXSSA,56708.273672185474,361.39348708210815,1814.7534852918845,361.39348708210866,[6030],[0.1457654893398285]
2,750,8,PSO,56325.334412496275,515.7155388862254,2197.692744981061,515.7155388862247,[3030],[0.0096049011995395]
2,750,8,SSA,56620.37922337651,325.7387951725651,1902.6479341008232,325.7387951725644,[3030],[0.0133723595490058]
2,1000,8,DE,56985.58249426136,157.918452763063,1537.444663215985,157.91845276306282,[3030],[0.0123903779933849]
2,1000,8,LXSSA,57661.2600707206,207.06101182510784,861.7670867567259,207.06101182510602,[6030],[0.1453317834685246]
2,1000,8,PSO,57398.245428805574,218.64763996366415,1124.7817286717652,218.64763996366545,[3030],[0.0095889919747908]
2,1000,8,SSA,57506.61330014316,248.37478048867322,1016.4138573341746,248.37478048867206,[3030],[0.0369464481870333]
