Dataset,Radius,Turbines,Baseline,MeanDifference,U,RawP,RankBiserial,HolmP
1,500,4,SSA,-2.0573691268873517,421.0,0.673495052801603,-0.06444444444444442,0.673495052801603
1,500,4,PSO,7.173660522021237,586.0,0.045146208380795055,0.30222222222222217,0.09029241676159011
1,500,4,DE,42.80050830253458,834.0,1.4294165868692731e-08,0.8533333333333333,4.2882497606078196e-08
1,750,8,SSA,164.45243437540194,530.0,0.23984999119107964,0.1777777777777778,0.23984999119107964
1,750,8,PSO,721.6034205208271,729.0,3.830668704115981e-05,0.6200000000000001,7.661337408231963e-05
1,750,8,DE,2032.3270752540702,895.0,4.9751664405934084e-11,0.9888888888888889,1.4925499321780225e-10
1,1000,8,SSA,41.08289771471755,487.0,0.5894511694056184,0.0822222222222222,0.5894511694056184
1,1000,8,PSO,182.86605367989978,727.0,4.353076572838203e-05,0.6155555555555556,8.706153145676407e-05
1,1000,8,DE,593.413064415683,866.0,8.101362326146452e-10,0.9244444444444444,2.4304086978439356e-09
2,500,4,SSA,52.72422855524928,612.0,0.016954880587293254,0.3600000000000001,0.03390976117458651
2,500,4,PSO,0.898449336320482,435.0,0.8302552839111963,-0.033333333333333326,0.8302552839111963
2,500,4,DE,127.20027687084439,771.0,2.15403414258883e-06,0.7133333333333334,6.462102427766489e-06
2,750,8,SSA,87.8944488089619,520.0,0.30417681801970364,0.15555555555555545,0.30417681801970364
2,750,8,PSO,382.9392596891994,683.0,0.0005873732857736315,0.5177777777777777,0.001174746571547263
2,750,8,DE,1141.0261147115598,881.0,1.9567799598061055e-10,0.9577777777777778,5.870339879418316e-10
2,1000,8,SSA,154.6467705774412,608.0,0.01988307641391072,0.35111111111111115,0.01988307641391072
2,1000,8,PSO,263.014641915026,728.0,4.0839534518280284e-05,0.6177777777777778,8.167906903656057e-05
2,1000,8,DE,675.6775764592385,894.0,5.494052450965186e-11,0.9866666666666666,1.6482157352895559e-10
