wind_speed_ms,power_kw
0.0,0.0
0.5,0.0
1.0,0.0
1.5,0.0
2.0,0.0
2.5,0.0
3.0,0.0
3.5,22.7
4.0,34.8
4.5,53.1
5.0,80.5
5.5,120.8
6.0,178.8
6.5,259.3
7.0,366.1
7.5,499.2
8.0,652.7
8.5,815.1
9.0,971.5
9.5,1109.3
10.0,1221.5
10.5,1307.0
11.0,1369.1
11.5,1412.6
12.0,1442.2
12.5,1462.1
13.0,1475.2
13.5,1500.0
14.0,1500.0
14.5,1500.0
15.0,1500.0
15.5,1500.0
16.0,1500.0
16.5,1500.0
17.0,1500.0
17.5,1500.0
18.0,1500.0
18.5,1500.0
19.0,1500.0
19.5,1500.0
20.0,1500.0
20.5,1500.0
21.0,1500.0
21.5,1500.0
22.0,1500.0
22.5,1500.0
23.0,1500.0
23.5,1500.0
24.0,1500.0
24.5,1500.0
25.0,1500.0
