timestamp_utc,ws_40m,ws_60m,wd_58m,temp_2m,rh_2m
2019-01-01T00:00,7.90,8.72,52,-7.0,65
2019-01-01T01:00,6.35,6.74,61,-7.9,54
2019-01-01T02:00,7.69,8.15,32,-8.8,59
2019-01-01T03:00,6.45,7.16,47,-8.4,66
2019-01-01T04:00,5.15,5.78,64,-6.1,72
2019-01-01T05:00,6.01,6.33,55,-5.1,72
2019-01-01T06:00,7.53,8.18,57,-3.8,72
2019-01-01T07:00,9.89,10.53,64,-1.4,69
2019-01-01T08:00,7.93,8.52,61,-0.6,67
2019-01-01T09:00,9.13,9.83,55,0.2,64
2019-01-01T10:00,9.22,10.24,80,1.9,64
2019-01-01T11:00,9.91,11.08,149,2.0,64
2019-01-01T12:00,9.27,9.99,142,3.2,66
2019-01-01T13:00,7.65,8.24,146,3.1,66
2019-01-01T14:00,10.79,11.28,166,2.2,56
2019-01-01T15:00,8.63,9.53,87,2.5,61
2019-01-01T16:00,6.14,6.47,73,3.3,69
2019-01-01T17:00,7.23,7.73,123,1.8,66
2019-01-01T18:00,7.01,7.57,110,0.6,68
2019-01-01T19:00,6.90,7.26,49,0.5,74
2019-01-01T20:00,7.48,8.04,50,-0.2,72
2019-01-01T21:00,5.59,5.95,60,-1.3,80
2019-01-01T22:00,8.48,8.84,53,-1.6,82
2019-01-01T23:00,11.52,12.36,51,-2.5,77
2019-01-02T00:00,11.38,12.11,72,-4.1,72
2019-01-02T01:00,14.64,15.78,219,-4.2,67
2019-01-02T02:00,13.64,14.39,200,-4.8,71
2019-01-02T03:00,13.01,13.81,214,-5.7,82
2019-01-02T04:00,11.05,11.71,205,-6.3,81
2019-01-02T05:00,11.87,12.60,204,-7.2,79
2019-01-02T06:00,10.04,10.86,104,-6.1,74
2019-01-02T07:00,12.68,13.41,213,-4.4,81
2019-01-02T08:00,11.71,12.51,220,-4.9,83
2019-01-02T09:00,11.35,12.04,233,-4.7,79
2019-01-02T10:00,11.87,13.08,226,-4.1,79
2019-01-02T11:00,12.95,13.71,229,-4.6,73
2019-01-02T12:00,11.01,11.79,225,-4.1,69
2019-01-02T13:00,11.33,11.90,222,-4.6,72
2019-01-02T14:00,11.36,11.85,228,-4.1,76
2019-01-02T15:00,10.86,11.52,232,-4.5,76
2019-01-02T16:00,10.56,11.09,236,-4.2,77
2019-01-02T17:00,10.90,11.67,231,-5.4,77
2019-01-02T18:00,10.49,11.36,227,-6.2,71
2019-01-02T19:00,9.45,10.62,229,-7.0,74
2019-01-02T20:00,9.54,10.58,239,-7.2,73
2019-01-02T21:00,11.83,12.85,244,-7.7,83
2019-01-02T22:00,10.22,11.01,254,-7.8,78
2019-01-02T23:00,12.40,13.19,249,-8.6,80
2019-01-03T00:00,11.70,12.50,280,-9.0,80
2019-01-03T01:00,8.73,9.27,353,-8.5,76
2019-01-03T02:00,8.29,8.86,359,-8.6,79
2019-01-03T03:00,8.13,8.70,358,-8.3,81
2019-01-03T04:00,9.21,9.83,358,-7.8,77
2019-01-03T05:00,9.18,9.73,355,-5.6,73
2019-01-03T06:00,10.87,11.25,355,-4.6,82
2019-01-03T07:00,11.60,12.50,352,-4.3,83
2019-01-03T08:00,12.02,12.88,354,-2.8,87
